Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300	30	959.7	0.001042	213.44	244.7	1.0581	0.91659	1.9186	686.21	0.08472	109.15	0.11781	liquid
301.67	30	953.52	0.0010487	216.44	247.9	1.0687	0.91594	1.9231	678.52	0.096577	107.24	0.11648	liquid
303.33	30	947.3	0.0010556	219.44	251.11	1.0793	0.91531	1.9276	670.88	0.10878	105.36	0.11516	liquid
305	30	941.04	0.0010627	222.45	254.33	1.0899	0.91471	1.9322	663.31	0.12134	103.53	0.11385	supercritical
306.67	30	934.74	0.0010698	225.46	257.55	1.1004	0.91413	1.9369	655.79	0.13426	101.74	0.11255	supercritical
308.33	30	928.41	0.0010771	228.47	260.78	1.1109	0.91357	1.9416	648.34	0.14756	99.995	0.11127	supercritical
310	30	922.04	0.0010846	231.49	264.02	1.1214	0.91301	1.9464	640.96	0.16124	98.283	0.11	supercritical
311.67	30	915.63	0.0010921	234.51	267.27	1.1319	0.91246	1.9513	633.64	0.17531	96.608	0.10874	supercritical
313.33	30	909.18	0.0010999	237.53	270.53	1.1423	0.9119	1.9562	626.38	0.18977	94.969	0.1075	supercritical
315	30	902.69	0.0011078	240.56	273.79	1.1527	0.91135	1.961	619.2	0.20464	93.365	0.10627	supercritical
316.67	30	896.16	0.0011159	243.59	277.06	1.163	0.9108	1.9659	612.08	0.21991	91.794	0.10505	supercritical
318.33	30	889.6	0.0011241	246.62	280.34	1.1734	0.91026	1.9708	605.03	0.23559	90.257	0.10385	supercritical
320	30	883	0.0011325	249.66	283.63	1.1837	0.90973	1.9756	598.05	0.25169	88.751	0.10266	supercritical
321.67	30	876.37	0.0011411	252.7	286.93	1.194	0.90922	1.9804	591.15	0.2682	87.277	0.10148	supercritical
323.33	30	869.69	0.0011498	255.74	290.23	1.2042	0.90874	1.9852	584.32	0.28513	85.833	0.10032	supercritical
325	30	862.99	0.0011588	258.78	293.55	1.2144	0.9083	1.9899	577.56	0.30249	84.419	0.099171	supercritical
326.67	30	856.24	0.0011679	261.83	296.87	1.2246	0.90789	1.9947	570.89	0.32027	83.033	0.098037	supercritical
328.33	30	849.47	0.0011772	264.88	300.2	1.2348	0.90753	1.9994	564.29	0.33849	81.676	0.096918	supercritical
330	30	842.66	0.0011867	267.93	303.53	1.2449	0.90721	2.0041	557.78	0.35715	80.346	0.095813	supercritical
331.67	30	835.82	0.0011964	270.98	306.88	1.255	0.90693	2.0087	551.36	0.37624	79.043	0.094723	supercritical
333.33	30	828.96	0.0012063	274.04	310.23	1.2651	0.90669	2.0133	545.03	0.39578	77.766	0.093647	supercritical
335	30	822.06	0.0012165	277.09	313.59	1.2752	0.90648	2.0179	538.8	0.41577	76.515	0.092587	supercritical
336.67	30	815.14	0.0012268	280.15	316.95	1.2852	0.9063	2.0224	532.67	0.4362	75.289	0.091541	supercritical
338.33	30	808.19	0.0012373	283.21	320.33	1.2952	0.90614	2.0269	526.64	0.45707	74.088	0.090511	supercritical
340	30	801.21	0.0012481	286.27	323.71	1.3051	0.90599	2.0312	520.72	0.47838	72.911	0.089496	supercritical
341.67	30	794.22	0.0012591	289.33	327.1	1.3151	0.90586	2.0354	514.91	0.50012	71.758	0.088496	supercritical
343.33	30	787.2	0.0012703	292.38	330.49	1.325	0.90573	2.0394	509.2	0.52226	70.628	0.087511	supercritical
345	30	780.17	0.0012818	295.44	333.9	1.3349	0.9056	2.0432	503.62	0.54481	69.521	0.086541	supercritical
346.67	30	773.12	0.0012935	298.5	337.3	1.3447	0.90547	2.0467	498.15	0.56773	68.437	0.085588	supercritical
348.33	30	766.06	0.0013054	301.56	340.72	1.3546	0.90534	2.05	492.8	0.59099	67.375	0.084649	supercritical
350	30	758.98	0.0013176	304.61	344.14	1.3644	0.9052	2.0529	487.58	0.61457	66.336	0.083726	supercritical
351.67	30	751.91	0.00133	307.66	347.56	1.3741	0.90506	2.0555	482.48	0.63844	65.318	0.082819	supercritical
353.33	30	744.83	0.0013426	310.71	350.99	1.3838	0.90491	2.0577	477.51	0.66256	64.323	0.081927	supercritical
355	30	737.75	0.0013555	313.76	354.42	1.3935	0.90476	2.0594	472.67	0.68688	63.349	0.081051	supercritical
356.67	30	730.67	0.0013686	316.8	357.85	1.4032	0.9046	2.0607	467.96	0.71137	62.396	0.080191	supercritical
358.33	30	723.6	0.001382	319.83	361.29	1.4128	0.90444	2.0615	463.39	0.73599	61.466	0.079346	supercritical
360	30	716.55	0.0013956	322.86	364.73	1.4224	0.90427	2.0618	458.95	0.76069	60.556	0.078518	supercritical
361.67	30	709.51	0.0014094	325.88	368.16	1.4319	0.9041	2.0615	454.65	0.78542	59.668	0.077705	supercritical
363.33	30	702.5	0.0014235	328.89	371.6	1.4414	0.90393	2.0607	450.49	0.81015	58.801	0.076908	supercritical
365	30	695.51	0.0014378	331.9	375.03	1.4508	0.90376	2.0592	446.47	0.83484	57.955	0.076127	supercritical
