Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	20.000	905.57	0.0011043	226.17	248.26	1.1056	0.91763	2.1267	586.17	0.29295	94.047	0.10599	liquid
301.67	20.000	897.64	0.0011140	229.53	251.81	1.1174	0.91759	2.1408	576.71	0.31685	92.071	0.10450	liquid
303.33	20.000	889.61	0.0011241	232.91	255.39	1.1293	0.91759	2.1556	567.29	0.34191	90.132	0.10302	liquid
305.00	20.000	881.46	0.0011345	236.31	259.00	1.1411	0.91763	2.1709	557.91	0.36817	88.228	0.10155	supercritical
306.67	20.000	873.19	0.0011452	239.73	262.63	1.1530	0.91768	2.1869	548.57	0.39570	86.357	0.10008	supercritical
308.33	20.000	864.79	0.0011563	243.16	266.29	1.1649	0.91774	2.2034	539.28	0.42457	84.519	0.098629	supercritical
310.00	20.000	856.27	0.0011679	246.62	269.98	1.1768	0.91780	2.2204	530.04	0.45483	82.712	0.097186	supercritical
311.67	20.000	847.62	0.0011798	250.10	273.69	1.1888	0.91784	2.2379	520.86	0.48653	80.935	0.095752	supercritical
313.33	20.000	838.84	0.0011921	253.59	277.44	1.2008	0.91789	2.2559	511.75	0.51974	79.188	0.094330	supercritical
315.00	20.000	829.92	0.0012049	257.11	281.21	1.2128	0.91794	2.2743	502.71	0.55451	77.469	0.092918	supercritical
316.67	20.000	820.87	0.0012182	260.65	285.02	1.2248	0.91803	2.2932	493.75	0.59091	75.777	0.091518	supercritical
318.33	20.000	811.67	0.0012320	264.21	288.86	1.2369	0.91816	2.3126	484.89	0.62898	74.113	0.090129	supercritical
320.00	20.000	802.33	0.0012464	267.80	292.73	1.2490	0.91835	2.3324	476.13	0.66880	72.475	0.088753	supercritical
321.67	20.000	792.85	0.0012613	271.41	296.63	1.2612	0.91862	2.3528	467.49	0.71043	70.863	0.087390	supercritical
323.33	20.000	783.23	0.0012768	275.03	300.57	1.2734	0.91896	2.3738	458.97	0.75392	69.277	0.086040	supercritical
325.00	20.000	773.46	0.0012929	278.69	304.54	1.2857	0.91938	2.3952	450.59	0.79933	67.716	0.084704	supercritical
326.67	20.000	763.55	0.0013097	282.36	308.55	1.2980	0.91986	2.4169	442.37	0.84668	66.180	0.083383	supercritical
328.33	20.000	753.49	0.0013272	286.06	312.60	1.3103	0.92039	2.4390	434.31	0.89600	64.670	0.082078	supercritical
330.00	20.000	743.30	0.0013453	289.78	316.68	1.3227	0.92095	2.4610	426.44	0.94726	63.186	0.080788	supercritical
331.67	20.000	732.98	0.0013643	293.52	320.80	1.3352	0.92151	2.4828	418.77	1.0004	61.727	0.079514	supercritical
333.33	20.000	722.53	0.0013840	297.28	324.96	1.3477	0.92205	2.5042	411.32	1.0554	60.295	0.078258	supercritical
335.00	20.000	711.96	0.0014046	301.06	329.15	1.3602	0.92254	2.5246	404.10	1.1122	58.891	0.077019	supercritical
336.67	20.000	701.28	0.0014260	304.85	333.37	1.3728	0.92295	2.5439	397.13	1.1706	57.515	0.075799	supercritical
338.33	20.000	690.52	0.0014482	308.67	337.63	1.3854	0.92325	2.5617	390.43	1.2304	56.169	0.074599	supercritical
340.00	20.000	679.68	0.0014713	312.49	341.91	1.3981	0.92342	2.5778	384.01	1.2917	54.854	0.073418	supercritical
341.67	20.000	668.78	0.0014953	316.32	346.22	1.4107	0.92344	2.5917	377.87	1.3542	53.573	0.072259	supercritical
343.33	20.000	657.85	0.0015201	320.15	350.55	1.4233	0.92329	2.6032	372.01	1.4178	52.325	0.071123	supercritical
345.00	20.000	646.90	0.0015458	323.98	354.90	1.4360	0.92298	2.6122	366.45	1.4822	51.113	0.070008	supercritical
346.67	20.000	635.95	0.0015724	327.81	359.26	1.4486	0.92250	2.6182	361.18	1.5472	49.937	0.068918	supercritical
348.33	20.000	625.04	0.0015999	331.62	363.62	1.4611	0.92189	2.6211	356.20	1.6126	48.800	0.067851	supercritical
350.00	20.000	614.18	0.0016282	335.43	367.99	1.4736	0.92115	2.6207	351.52	1.6780	47.703	0.066808	supercritical
351.67	20.000	603.40	0.0016573	339.21	372.36	1.4861	0.92032	2.6170	347.13	1.7430	46.646	0.065791	supercritical
353.33	20.000	592.72	0.0016871	342.97	376.71	1.4984	0.91942	2.6100	343.04	1.8074	45.630	0.064798	supercritical
355.00	20.000	582.18	0.0017177	346.70	381.05	1.5107	0.91847	2.5996	339.24	1.8707	44.657	0.063832	supercritical
356.67	20.000	571.79	0.0017489	350.40	385.38	1.5228	0.91749	2.5862	335.73	1.9327	43.726	0.062892	supercritical
358.33	20.000	561.57	0.0017807	354.06	389.67	1.5349	0.91650	2.5700	332.50	1.9932	42.838	0.061979	supercritical
360.00	20.000	551.54	0.0018131	357.68	393.94	1.5468	0.91549	2.5511	329.54	2.0518	41.992	0.061093	supercritical
361.67	20.000	541.72	0.0018460	361.26	398.18	1.5585	0.91447	2.5299	326.85	2.1085	41.188	0.060234	supercritical
363.33	20.000	532.13	0.0018793	364.79	402.37	1.5701	0.91343	2.5066	324.41	2.1629	40.426	0.059402	supercritical
365.00	20.000	522.76	0.0019129	368.27	406.53	1.5815	0.91238	2.4814	322.21	2.2150	39.703	0.058597	supercritical
366.67	20.000	513.64	0.0019469	371.71	410.64	1.5927	0.91131	2.4547	320.24	2.2646	39.020	0.057820	supercritical
368.33	20.000	504.76	0.0019811	375.09	414.71	1.6038	0.91022	2.4267	318.49	2.3117	38.374	0.057070	supercritical
370.00	20.000	496.14	0.0020156	378.42	418.73	1.6147	0.90910	2.3976	316.94	2.3560	37.765	0.056346	supercritical
371.67	20.000	487.76	0.0020502	381.70	422.70	1.6254	0.90795	2.3676	315.57	2.3977	37.192	0.055649	supercritical
373.33	20.000	479.65	0.0020849	384.93	426.62	1.6359	0.90679	2.3370	314.39	2.4367	36.651	0.054978	supercritical
375.00	20.000	471.78	0.0021196	388.10	430.49	1.6463	0.90560	2.3061	313.37	2.4729	36.143	0.054333	supercritical
376.67	20.000	464.17	0.0021544	391.22	434.31	1.6564	0.90439	2.2750	312.49	2.5064	35.665	0.053714	supercritical
378.33	20.000	456.80	0.0021891	394.29	438.08	1.6664	0.90318	2.2438	311.76	2.5372	35.215	0.053119	supercritical
380.00	20.000	449.68	0.0022238	397.31	441.79	1.6762	0.90195	2.2129	311.16	2.5655	34.793	0.052549	supercritical
381.67	20.000	442.79	0.0022584	400.28	445.45	1.6858	0.90073	2.1822	310.67	2.5913	34.397	0.052003	supercritical
383.33	20.000	436.13	0.0022929	403.21	449.06	1.6952	0.89950	2.1519	310.29	2.6146	34.025	0.051481	supercritical
385.00	20.000	429.69	0.0023273	406.08	452.63	1.7045	0.89829	2.1222	310.01	2.6356	33.676	0.050981	supercritical
386.67	20.000	423.46	0.0023615	408.91	456.14	1.7136	0.89708	2.0931	309.83	2.6544	33.349	0.050503	supercritical
388.33	20.000	417.44	0.0023955	411.69	459.60	1.7226	0.89589	2.0646	309.72	2.6710	33.041	0.050047	supercritical
390.00	20.000	411.63	0.0024294	414.43	463.02	1.7313	0.89472	2.0369	309.69	2.6856	32.753	0.049612	supercritical
391.67	20.000	406.00	0.0024630	417.13	466.39	1.7400	0.89357	2.0099	309.73	2.6982	32.483	0.049197	supercritical
393.33	20.000	400.56	0.0024965	419.79	469.72	1.7485	0.89245	1.9836	309.83	2.7090	32.229	0.048802	supercritical
395.00	20.000	395.30	0.0025297	422.41	473.01	1.7568	0.89136	1.9582	309.98	2.7180	31.991	0.048425	supercritical
396.67	20.000	390.20	0.0025628	424.99	476.25	1.7650	0.89030	1.9336	310.19	2.7254	31.768	0.048066	supercritical
398.33	20.000	385.27	0.0025956	427.54	479.45	1.7730	0.88927	1.9098	310.45	2.7313	31.558	0.047725	supercritical
400.00	20.000	380.50	0.0026281	430.05	482.61	1.7810	0.88827	1.8868	310.75	2.7356	31.361	0.047400	supercritical
401.67	20.000	375.87	0.0026605	432.53	485.74	1.7888	0.88731	1.8645	311.09	2.7386	31.177	0.047091	supercritical
403.33	20.000	371.39	0.0026926	434.98	488.83	1.7964	0.88638	1.8430	311.47	2.7403	31.004	0.046798	supercritical
405.00	20.000	367.05	0.0027245	437.40	491.88	1.8040	0.88549	1.8223	311.88	2.7408	30.842	0.046519	supercritical
