Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	5.0000	128.40	0.0077883	407.01	445.95	1.8509	0.85258	1.8025	223.25	10.702	16.601	0.023974	vapor
301.67	5.0000	126.01	0.0079360	409.22	448.90	1.8607	0.84426	1.7398	225.35	10.542	16.644	0.023790	vapor
303.33	5.0000	123.78	0.0080788	411.36	451.75	1.8701	0.83696	1.6855	227.35	10.385	16.690	0.023641	vapor
305.00	5.0000	121.69	0.0082173	413.44	454.52	1.8792	0.83051	1.6378	229.28	10.232	16.740	0.023522	vapor
306.67	5.0000	119.73	0.0083519	415.46	457.22	1.8880	0.82478	1.5957	231.13	10.081	16.791	0.023428	vapor
308.33	5.0000	117.88	0.0084831	417.43	459.84	1.8966	0.81966	1.5582	232.92	9.9344	16.845	0.023355	vapor
310.00	5.0000	116.13	0.0086111	419.36	462.41	1.9049	0.81508	1.5246	234.66	9.7908	16.901	0.023300	vapor
311.67	5.0000	114.47	0.0087363	421.25	464.93	1.9130	0.81096	1.4943	236.34	9.6504	16.958	0.023261	vapor
313.33	5.0000	112.88	0.0088588	423.10	467.40	1.9209	0.80724	1.4668	237.97	9.5131	17.017	0.023235	vapor
315.00	5.0000	111.37	0.0089790	424.92	469.82	1.9286	0.80388	1.4418	239.55	9.3788	17.077	0.023221	vapor
316.67	5.0000	109.93	0.0090970	426.72	472.20	1.9361	0.80085	1.4189	241.10	9.2474	17.138	0.023218	vapor
318.33	5.0000	108.54	0.0092129	428.48	474.55	1.9435	0.79810	1.3979	242.61	9.1189	17.200	0.023224	vapor
320.00	5.0000	107.22	0.0093270	430.23	476.86	1.9508	0.79562	1.3786	244.08	8.9931	17.263	0.023238	vapor
321.67	5.0000	105.94	0.0094393	431.95	479.15	1.9579	0.79337	1.3607	245.52	8.8700	17.327	0.023260	vapor
323.33	5.0000	104.71	0.0095499	433.65	481.40	1.9649	0.79134	1.3442	246.93	8.7495	17.391	0.023289	vapor
325.00	5.0000	103.53	0.0096590	435.33	483.63	1.9718	0.78951	1.3289	248.32	8.6315	17.456	0.023324	vapor
326.67	5.0000	102.39	0.0097667	437.00	485.83	1.9785	0.78786	1.3147	249.67	8.5159	17.522	0.023364	vapor
328.33	5.0000	101.29	0.0098729	438.64	488.01	1.9852	0.78638	1.3014	251.00	8.4027	17.588	0.023410	vapor
330.00	5.0000	100.22	0.0099779	440.28	490.17	1.9917	0.78505	1.2890	252.30	8.2917	17.655	0.023460	vapor
331.67	5.0000	99.189	0.010082	441.90	492.31	1.9982	0.78385	1.2774	253.58	8.1830	17.722	0.023515	vapor
333.33	5.0000	98.190	0.010184	443.50	494.43	2.0046	0.78279	1.2666	254.84	8.0764	17.790	0.023573	vapor
335.00	5.0000	97.221	0.010286	445.10	496.53	2.0109	0.78185	1.2564	256.08	7.9719	17.858	0.023635	vapor
336.67	5.0000	96.280	0.010386	446.68	498.61	2.0171	0.78101	1.2468	257.30	7.8695	17.926	0.023701	vapor
338.33	5.0000	95.366	0.010486	448.26	500.69	2.0232	0.78027	1.2378	258.50	7.7691	17.994	0.023770	vapor
340.00	5.0000	94.478	0.010584	449.82	502.74	2.0293	0.77963	1.2294	259.68	7.6706	18.063	0.023841	vapor
341.67	5.0000	93.615	0.010682	451.37	504.78	2.0353	0.77907	1.2214	260.85	7.5740	18.132	0.023916	vapor
343.33	5.0000	92.774	0.010779	452.92	506.81	2.0412	0.77860	1.2138	262.00	7.4793	18.201	0.023992	vapor
345.00	5.0000	91.955	0.010875	454.46	508.83	2.0471	0.77820	1.2067	263.13	7.3863	18.271	0.024072	vapor
346.67	5.0000	91.157	0.010970	455.98	510.84	2.0529	0.77786	1.2000	264.25	7.2951	18.340	0.024153	vapor
348.33	5.0000	90.379	0.011065	457.51	512.83	2.0586	0.77760	1.1936	265.36	7.2056	18.410	0.024236	vapor
350.00	5.0000	89.619	0.011158	459.02	514.81	2.0643	0.77739	1.1875	266.45	7.1178	18.480	0.024322	vapor
351.67	5.0000	88.878	0.011251	460.53	516.79	2.0699	0.77725	1.1818	267.53	7.0315	18.550	0.024409	vapor
353.33	5.0000	88.154	0.011344	462.03	518.75	2.0755	0.77715	1.1764	268.59	6.9469	18.620	0.024498	vapor
355.00	5.0000	87.447	0.011435	463.53	520.71	2.0810	0.77711	1.1712	269.64	6.8638	18.690	0.024589	vapor
356.67	5.0000	86.756	0.011527	465.02	522.66	2.0865	0.77712	1.1663	270.69	6.7821	18.760	0.024681	vapor
358.33	5.0000	86.080	0.011617	466.51	524.60	2.0919	0.77717	1.1617	271.72	6.7020	18.831	0.024775	vapor
360.00	5.0000	85.418	0.011707	467.99	526.53	2.0973	0.77727	1.1573	272.74	6.6232	18.901	0.024870	vapor
361.67	5.0000	84.771	0.011797	469.47	528.46	2.1026	0.77740	1.1530	273.74	6.5459	18.971	0.024966	vapor
363.33	5.0000	84.137	0.011885	470.95	530.37	2.1079	0.77758	1.1490	274.74	6.4698	19.042	0.025064	vapor
365.00	5.0000	83.516	0.011974	472.42	532.29	2.1132	0.77779	1.1452	275.73	6.3951	19.113	0.025163	vapor
366.67	5.0000	82.908	0.012062	473.88	534.19	2.1184	0.77804	1.1416	276.71	6.3217	19.183	0.025263	vapor
368.33	5.0000	82.311	0.012149	475.35	536.09	2.1235	0.77832	1.1382	277.68	6.2496	19.254	0.025364	vapor
370.00	5.0000	81.726	0.012236	476.81	537.99	2.1287	0.77863	1.1349	278.64	6.1787	19.324	0.025466	vapor
371.67	5.0000	81.153	0.012322	478.26	539.87	2.1338	0.77897	1.1318	279.59	6.1090	19.395	0.025569	vapor
373.33	5.0000	80.590	0.012408	479.72	541.76	2.1388	0.77934	1.1288	280.54	6.0404	19.466	0.025673	vapor
375.00	5.0000	80.038	0.012494	481.17	543.64	2.1438	0.77974	1.1259	281.47	5.9730	19.536	0.025778	vapor
376.67	5.0000	79.496	0.012579	482.61	545.51	2.1488	0.78017	1.1232	282.40	5.9067	19.607	0.025884	vapor
378.33	5.0000	78.963	0.012664	484.06	547.38	2.1538	0.78062	1.1207	283.32	5.8415	19.678	0.025990	vapor
380.00	5.0000	78.440	0.012749	485.50	549.25	2.1587	0.78109	1.1182	284.23	5.7774	19.748	0.026098	vapor
381.67	5.0000	77.926	0.012833	486.95	551.11	2.1636	0.78158	1.1159	285.13	5.7143	19.819	0.026206	vapor
383.33	5.0000	77.421	0.012916	488.38	552.97	2.1684	0.78210	1.1137	286.03	5.6522	19.890	0.026315	vapor
385.00	5.0000	76.925	0.013000	489.82	554.82	2.1733	0.78263	1.1115	286.92	5.5912	19.960	0.026424	vapor
386.67	5.0000	76.437	0.013083	491.26	556.67	2.1781	0.78319	1.1095	287.80	5.5311	20.031	0.026535	vapor
388.33	5.0000	75.957	0.013165	492.69	558.52	2.1828	0.78377	1.1076	288.68	5.4719	20.102	0.026645	vapor
390.00	5.0000	75.484	0.013248	494.13	560.36	2.1876	0.78436	1.1058	289.55	5.4137	20.172	0.026757	vapor
391.67	5.0000	75.020	0.013330	495.56	562.21	2.1923	0.78497	1.1040	290.41	5.3564	20.243	0.026869	vapor
393.33	5.0000	74.563	0.013412	496.99	564.04	2.1970	0.78559	1.1024	291.27	5.3000	20.313	0.026982	vapor
