Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	10.000	801.62	0.0012475	249.32	261.80	1.1894	0.94964	2.9906	414.28	0.98103	71.835	0.088193	liquid
301.67	10.000	786.18	0.0012720	254.17	266.89	1.2064	0.95490	3.1219	397.62	1.0906	69.155	0.086098	liquid
303.33	10.000	769.61	0.0012994	259.22	272.22	1.2240	0.96100	3.2789	380.55	1.2166	66.417	0.083976	liquid
305.00	10.000	751.67	0.0013304	264.53	277.84	1.2425	0.96817	3.4711	363.01	1.3634	63.604	0.081832	supercritical
306.67	10.000	732.05	0.0013660	270.15	283.81	1.2620	0.97675	3.7132	344.95	1.5370	60.691	0.079679	supercritical
308.33	10.000	710.30	0.0014079	276.17	290.25	1.2829	0.98712	4.0277	326.30	1.7456	57.644	0.077539	supercritical
310.00	10.000	685.77	0.0014582	282.72	297.30	1.3057	0.99962	4.4460	307.04	2.0006	54.417	0.075453	supercritical
311.67	10.000	657.61	0.0015207	289.95	305.15	1.3310	1.0144	5.0070	287.35	2.3157	50.960	0.073478	supercritical
313.33	10.000	624.73	0.0016007	298.08	314.09	1.3596	1.0311	5.7489	267.77	2.7069	47.227	0.071679	supercritical
315.00	10.000	586.02	0.0017064	307.37	324.43	1.3925	1.0487	6.6962	249.42	3.1888	43.210	0.070090	supercritical
316.67	10.000	541.09	0.0018481	317.97	336.46	1.4306	1.0622	7.6988	234.06	3.7627	39.012	0.068438	supercritical
318.33	10.000	493.02	0.0020283	329.45	349.73	1.4724	1.0652	8.0766	223.92	4.3625	35.027	0.065737	supercritical
320.00	10.000	448.28	0.0022308	340.59	362.90	1.5137	1.0577	7.6175	219.14	4.9031	31.758	0.061924	supercritical
321.67	10.000	410.94	0.0024335	350.50	374.83	1.5509	1.0435	6.6650	217.79	5.3322	29.341	0.057594	supercritical
323.33	10.000	381.41	0.0026218	358.91	385.13	1.5828	1.0267	5.7113	218.36	5.6431	27.630	0.053568	supercritical
325.00	10.000	358.04	0.0027930	366.05	393.98	1.6101	1.0095	4.9438	219.84	5.8657	26.402	0.050182	supercritical
326.67	10.000	339.13	0.0029487	372.22	401.70	1.6338	0.99281	4.3511	221.72	6.0242	25.494	0.047400	supercritical
328.33	10.000	323.48	0.0030913	377.64	408.56	1.6547	0.97721	3.8919	223.78	6.1351	24.802	0.045115	supercritical
330.00	10.000	310.26	0.0032232	382.50	414.73	1.6735	0.96291	3.5312	225.91	6.2103	24.262	0.043225	supercritical
331.67	10.000	298.87	0.0033460	386.91	420.37	1.6905	0.94994	3.2432	228.05	6.2584	23.831	0.041650	supercritical
