Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	15.000	865.82	0.0011550	235.26	252.58	1.1388	0.92380	2.3557	517.40	0.50150	84.652	0.098433	liquid
301.67	15.000	855.96	0.0011683	239.01	256.54	1.1520	0.92473	2.3876	505.97	0.54298	82.530	0.096766	liquid
303.33	15.000	845.86	0.0011822	242.81	260.54	1.1652	0.92575	2.4218	494.53	0.58739	80.432	0.095101	liquid
305.00	15.000	835.48	0.0011969	246.66	264.61	1.1786	0.92683	2.4583	483.07	0.63499	78.356	0.093437	supercritical
306.67	15.000	824.81	0.0012124	250.55	268.74	1.1921	0.92797	2.4973	471.61	0.68604	76.299	0.091776	supercritical
308.33	15.000	813.84	0.0012287	254.51	272.94	1.2057	0.92914	2.5388	460.17	0.74081	74.261	0.090116	supercritical
310.00	15.000	802.54	0.0012460	258.51	277.20	1.2195	0.93036	2.5830	448.77	0.79960	72.240	0.088459	supercritical
311.67	15.000	790.90	0.0012644	262.58	281.55	1.2335	0.93164	2.6301	437.42	0.86277	70.234	0.086804	supercritical
313.33	15.000	778.89	0.0012839	266.71	285.97	1.2477	0.93301	2.6804	426.15	0.93067	68.242	0.085154	supercritical
315.00	15.000	766.51	0.0013046	270.92	290.48	1.2620	0.93449	2.7343	414.97	1.0038	66.264	0.083508	supercritical
316.67	15.000	753.71	0.0013268	275.19	295.09	1.2766	0.93610	2.7920	403.91	1.0824	64.298	0.081868	supercritical
318.33	15.000	740.49	0.0013505	279.54	299.79	1.2914	0.93786	2.8536	392.99	1.1671	62.344	0.080236	supercritical
320.00	15.000	726.83	0.0013758	283.97	304.60	1.3065	0.93978	2.9188	382.22	1.2582	60.402	0.078613	supercritical
321.67	15.000	712.71	0.0014031	288.48	309.52	1.3218	0.94187	2.9871	371.66	1.3558	58.473	0.077001	supercritical
323.33	15.000	698.13	0.0014324	293.08	314.56	1.3375	0.94414	3.0573	361.35	1.4601	56.560	0.075402	supercritical
325.00	15.000	683.09	0.0014639	297.76	319.72	1.3534	0.94662	3.1280	351.34	1.5708	54.665	0.073818	supercritical
326.67	15.000	667.61	0.0014979	302.52	324.99	1.3695	0.94928	3.1981	341.71	1.6879	52.796	0.072252	supercritical
328.33	15.000	651.74	0.0015344	307.36	330.37	1.3860	0.95204	3.2662	332.54	1.8110	50.957	0.070708	supercritical
330.00	15.000	635.51	0.0015735	312.27	335.87	1.4027	0.95475	3.3309	323.89	1.9400	49.155	0.069188	supercritical
331.67	15.000	618.98	0.0016156	317.24	341.47	1.4196	0.95717	3.3897	315.83	2.0742	47.399	0.067695	supercritical
333.33	15.000	602.24	0.0016605	322.26	347.17	1.4367	0.95901	3.4390	308.42	2.2126	45.697	0.066227	supercritical
335.00	15.000	585.40	0.0017082	327.31	352.93	1.4540	0.96004	3.4748	301.72	2.3535	44.059	0.064782	supercritical
336.67	15.000	568.58	0.0017588	332.36	358.74	1.4713	0.96009	3.4935	295.77	2.4951	42.495	0.063358	supercritical
338.33	15.000	551.92	0.0018119	337.39	364.56	1.4885	0.95909	3.4932	290.58	2.6356	41.015	0.061955	supercritical
340.00	15.000	535.55	0.0018672	342.36	370.37	1.5057	0.95711	3.4738	286.11	2.7733	39.627	0.060576	supercritical
341.67	15.000	519.62	0.0019245	347.27	376.13	1.5226	0.95427	3.4364	282.34	2.9064	38.335	0.059224	supercritical
343.33	15.000	504.21	0.0019833	352.07	381.82	1.5392	0.95079	3.3830	279.20	3.0332	37.141	0.057904	supercritical
345.00	15.000	489.42	0.0020432	356.75	387.40	1.5554	0.94688	3.3164	276.63	3.1525	36.046	0.056623	supercritical
346.67	15.000	475.30	0.0021039	361.31	392.87	1.5712	0.94275	3.2397	274.57	3.2631	35.047	0.055384	supercritical
348.33	15.000	461.89	0.0021650	365.72	398.20	1.5865	0.93855	3.1561	272.97	3.3642	34.140	0.054194	supercritical
350.00	15.000	449.20	0.0022262	369.99	403.39	1.6014	0.93439	3.0688	271.76	3.4558	33.318	0.053057	supercritical
351.67	15.000	437.23	0.0022871	374.12	408.43	1.6158	0.93034	2.9801	270.88	3.5378	32.576	0.051977	supercritical
353.33	15.000	425.95	0.0023477	378.10	413.32	1.6296	0.92641	2.8921	270.29	3.6105	31.906	0.050955	supercritical
355.00	15.000	415.33	0.0024077	381.95	418.07	1.6430	0.92263	2.8060	269.95	3.6745	31.302	0.049992	supercritical
356.67	15.000	405.33	0.0024671	385.67	422.68	1.6560	0.91899	2.7228	269.82	3.7302	30.757	0.049087	supercritical
358.33	15.000	395.93	0.0025257	389.26	427.15	1.6685	0.91550	2.6431	269.86	3.7782	30.266	0.048239	supercritical
360.00	15.000	387.08	0.0025835	392.74	431.49	1.6806	0.91214	2.5672	270.06	3.8192	29.822	0.047445	supercritical
361.67	15.000	378.73	0.0026404	396.10	435.71	1.6923	0.90891	2.4954	270.38	3.8536	29.422	0.046704	supercritical
363.33	15.000	370.86	0.0026964	399.36	439.81	1.7036	0.90582	2.4276	270.82	3.8820	29.059	0.046013	supercritical
365.00	15.000	363.43	0.0027516	402.53	443.80	1.7146	0.90285	2.3639	271.34	3.9050	28.731	0.045369	supercritical
366.67	15.000	356.40	0.0028059	405.60	447.69	1.7252	0.90000	2.3039	271.95	3.9230	28.434	0.044769	supercritical
368.33	15.000	349.74	0.0028593	408.59	451.48	1.7355	0.89728	2.2477	272.62	3.9365	28.164	0.044211	supercritical
370.00	15.000	343.43	0.0029118	411.51	455.18	1.7455	0.89468	2.1949	273.34	3.9460	27.919	0.043692	supercritical
371.67	15.000	337.43	0.0029635	414.35	458.80	1.7553	0.89219	2.1454	274.11	3.9519	27.697	0.043209	supercritical
373.33	15.000	331.74	0.0030144	417.12	462.34	1.7648	0.88982	2.0990	274.93	3.9544	27.495	0.042760	supercritical
375.00	15.000	326.31	0.0030646	419.83	465.80	1.7740	0.88756	2.0555	275.77	3.9539	27.311	0.042344	supercritical
376.67	15.000	321.14	0.0031139	422.48	469.19	1.7831	0.88541	2.0146	276.65	3.9508	27.143	0.041957	supercritical
