Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	2.0000	39.420	0.025368	437.62	488.36	2.1332	0.71116	1.0206	254.15	10.840	15.282	0.018153	vapor
301.67	2.0000	39.109	0.025570	438.92	490.06	2.1388	0.71137	1.0177	255.13	10.683	15.363	0.018266	vapor
303.33	2.0000	38.804	0.025770	440.21	491.75	2.1444	0.71164	1.0150	256.10	10.529	15.444	0.018380	vapor
305.00	2.0000	38.506	0.025970	441.50	493.44	2.1500	0.71195	1.0125	257.06	10.379	15.525	0.018495	vapor
306.67	2.0000	38.213	0.026169	442.79	495.13	2.1555	0.71231	1.0102	258.01	10.232	15.606	0.018610	vapor
308.33	2.0000	37.926	0.026367	444.08	496.81	2.1610	0.71272	1.0080	258.95	10.088	15.686	0.018726	vapor
310.00	2.0000	37.645	0.026564	445.36	498.49	2.1664	0.71317	1.0059	259.89	9.9473	15.767	0.018842	vapor
311.67	2.0000	37.369	0.026760	446.64	500.16	2.1718	0.71366	1.0040	260.81	9.8095	15.847	0.018959	vapor
313.33	2.0000	37.098	0.026956	447.92	501.83	2.1771	0.71419	1.0022	261.73	9.6746	15.928	0.019077	vapor
315.00	2.0000	36.832	0.027150	449.20	503.50	2.1825	0.71475	1.0005	262.63	9.5426	16.008	0.019195	vapor
316.67	2.0000	36.571	0.027344	450.48	505.17	2.1877	0.71535	0.99899	263.53	9.4133	16.088	0.019314	vapor
318.33	2.0000	36.315	0.027537	451.76	506.83	2.1930	0.71598	0.99755	264.43	9.2866	16.168	0.019433	vapor
320.00	2.0000	36.063	0.027729	453.04	508.50	2.1982	0.71664	0.99621	265.31	9.1625	16.247	0.019552	vapor
321.67	2.0000	35.815	0.027921	454.31	510.15	2.2033	0.71733	0.99497	266.19	9.0409	16.327	0.019672	vapor
323.33	2.0000	35.572	0.028112	455.59	511.81	2.2085	0.71805	0.99382	267.06	8.9218	16.407	0.019793	vapor
325.00	2.0000	35.333	0.028302	456.86	513.47	2.2136	0.71879	0.99276	267.93	8.8050	16.486	0.019914	vapor
326.67	2.0000	35.098	0.028492	458.14	515.12	2.2187	0.71956	0.99179	268.79	8.6905	16.565	0.020035	vapor
328.33	2.0000	34.866	0.028681	459.41	516.77	2.2237	0.72035	0.99090	269.64	8.5783	16.644	0.020157	vapor
330.00	2.0000	34.639	0.028869	460.69	518.42	2.2287	0.72117	0.99008	270.49	8.4682	16.723	0.020279	vapor
331.67	2.0000	34.415	0.029057	461.96	520.07	2.2337	0.72200	0.98934	271.33	8.3603	16.802	0.020401	vapor
333.33	2.0000	34.194	0.029245	463.23	521.72	2.2387	0.72286	0.98866	272.16	8.2544	16.881	0.020524	vapor
335.00	2.0000	33.977	0.029431	464.51	523.37	2.2436	0.72373	0.98805	272.99	8.1505	16.960	0.020647	vapor
336.67	2.0000	33.764	0.029618	465.78	525.02	2.2485	0.72462	0.98751	273.82	8.0486	17.038	0.020771	vapor
338.33	2.0000	33.553	0.029803	467.05	526.66	2.2534	0.72553	0.98702	274.63	7.9486	17.117	0.020895	vapor
340.00	2.0000	33.346	0.029988	468.33	528.31	2.2582	0.72645	0.98659	275.45	7.8504	17.195	0.021019	vapor
341.67	2.0000	33.142	0.030173	469.60	529.95	2.2630	0.72738	0.98621	276.25	7.7541	17.273	0.021143	vapor
343.33	2.0000	32.941	0.030357	470.88	531.59	2.2678	0.72833	0.98589	277.06	7.6595	17.351	0.021268	vapor
345.00	2.0000	32.743	0.030541	472.15	533.24	2.2726	0.72929	0.98561	277.85	7.5667	17.429	0.021393	vapor
346.67	2.0000	32.547	0.030725	473.43	534.88	2.2774	0.73027	0.98538	278.65	7.4755	17.507	0.021518	vapor
348.33	2.0000	32.355	0.030907	474.71	536.52	2.2821	0.73125	0.98520	279.44	7.3860	17.584	0.021644	vapor
350.00	2.0000	32.165	0.031090	475.98	538.16	2.2868	0.73225	0.98506	280.22	7.2981	17.662	0.021770	vapor
351.67	2.0000	31.977	0.031272	477.26	539.80	2.2915	0.73325	0.98496	281.00	7.2118	17.739	0.021896	vapor
353.33	2.0000	31.793	0.031454	478.54	541.45	2.2961	0.73427	0.98490	281.77	7.1269	17.817	0.022022	vapor
355.00	2.0000	31.611	0.031635	479.82	543.09	2.3008	0.73529	0.98488	282.54	7.0436	17.894	0.022148	vapor
356.67	2.0000	31.431	0.031816	481.10	544.73	2.3054	0.73632	0.98490	283.31	6.9617	17.971	0.022275	vapor
358.33	2.0000	31.253	0.031996	482.38	546.37	2.3100	0.73736	0.98495	284.07	6.8813	18.048	0.022402	vapor
360.00	2.0000	31.079	0.032177	483.66	548.01	2.3145	0.73841	0.98503	284.83	6.8022	18.125	0.022530	vapor
361.67	2.0000	30.906	0.032356	484.94	549.65	2.3191	0.73947	0.98514	285.58	6.7245	18.201	0.022657	vapor
363.33	2.0000	30.735	0.032536	486.22	551.30	2.3236	0.74053	0.98529	286.34	6.6481	18.278	0.022785	vapor
365.00	2.0000	30.567	0.032715	487.51	552.94	2.3281	0.74160	0.98547	287.08	6.5730	18.354	0.022913	vapor
366.67	2.0000	30.401	0.032894	488.79	554.58	2.3326	0.74267	0.98567	287.82	6.4992	18.431	0.023041	vapor
368.33	2.0000	30.237	0.033072	490.08	556.22	2.3371	0.74375	0.98590	288.56	6.4266	18.507	0.023169	vapor
370.00	2.0000	30.075	0.033250	491.37	557.87	2.3415	0.74484	0.98616	289.30	6.3552	18.583	0.023297	vapor
371.67	2.0000	29.915	0.033428	492.65	559.51	2.3460	0.74593	0.98644	290.03	6.2849	18.659	0.023426	vapor
373.33	2.0000	29.757	0.033606	493.94	561.15	2.3504	0.74702	0.98674	290.76	6.2159	18.735	0.023555	vapor
375.00	2.0000	29.601	0.033783	495.23	562.80	2.3548	0.74812	0.98707	291.49	6.1479	18.811	0.023684	vapor
376.67	2.0000	29.446	0.033960	496.52	564.45	2.3592	0.74922	0.98742	292.21	6.0811	18.887	0.023813	vapor
378.33	2.0000	29.294	0.034137	497.82	566.09	2.3635	0.75033	0.98780	292.93	6.0153	18.962	0.023942	vapor
380.00	2.0000	29.143	0.034313	499.11	567.74	2.3679	0.75144	0.98819	293.64	5.9506	19.038	0.024072	vapor
381.67	2.0000	28.994	0.034489	500.41	569.39	2.3722	0.75255	0.98860	294.35	5.8869	19.113	0.024201	vapor
383.33	2.0000	28.847	0.034665	501.70	571.03	2.3765	0.75367	0.98903	295.06	5.8243	19.188	0.024331	vapor
385.00	2.0000	28.702	0.034841	503.00	572.68	2.3808	0.75478	0.98948	295.77	5.7626	19.263	0.024461	vapor
386.67	2.0000	28.558	0.035016	504.30	574.33	2.3851	0.75591	0.98995	296.47	5.7019	19.338	0.024591	vapor
388.33	2.0000	28.416	0.035191	505.60	575.98	2.3893	0.75703	0.99043	297.17	5.6421	19.413	0.024721	vapor
390.00	2.0000	28.276	0.035366	506.90	577.63	2.3936	0.75815	0.99093	297.87	5.5832	19.488	0.024852	vapor
391.67	2.0000	28.137	0.035541	508.20	579.28	2.3978	0.75928	0.99145	298.56	5.5253	19.563	0.024982	vapor
393.33	2.0000	27.999	0.035715	509.51	580.94	2.4020	0.76041	0.99198	299.25	5.4683	19.637	0.025113	vapor
395.00	2.0000	27.863	0.035890	510.81	582.59	2.4062	0.76154	0.99252	299.94	5.4121	19.712	0.025244	vapor
396.67	2.0000	27.729	0.036064	512.12	584.25	2.4104	0.76267	0.99308	300.63	5.3567	19.786	0.025374	vapor
398.33	2.0000	27.596	0.036237	513.43	585.90	2.4146	0.76380	0.99365	301.31	5.3022	19.860	0.025505	vapor
400.00	2.0000	27.464	0.036411	514.74	587.56	2.4187	0.76494	0.99423	301.99	5.2485	19.935	0.025637	vapor
401.67	2.0000	27.334	0.036584	516.05	589.22	2.4228	0.76607	0.99483	302.67	5.1957	20.009	0.025768	vapor
403.33	2.0000	27.205	0.036757	517.36	590.87	2.4270	0.76720	0.99544	303.35	5.1436	20.083	0.025899	vapor
405.00	2.0000	27.078	0.036930	518.67	592.53	2.4311	0.76834	0.99606	304.02	5.0922	20.156	0.026030	vapor
406.67	2.0000	26.952	0.037103	519.99	594.19	2.4352	0.76948	0.99669	304.69	5.0416	20.230	0.026162	vapor
408.33	2.0000	26.827	0.037276	521.30	595.86	2.4392	0.77061	0.99733	305.36	4.9918	20.304	0.026294	vapor
410.00	2.0000	26.704	0.037448	522.62	597.52	2.4433	0.77175	0.99798	306.02	4.9427	20.377	0.026425	vapor
411.67	2.0000	26.581	0.037620	523.94	599.18	2.4473	0.77288	0.99864	306.68	4.8942	20.450	0.026557	vapor
413.33	2.0000	26.460	0.037792	525.26	600.85	2.4514	0.77402	0.99931	307.34	4.8465	20.524	0.026689	vapor
415.00	2.0000	26.341	0.037964	526.59	602.51	2.4554	0.77516	0.99999	308.00	4.7995	20.597	0.026821	vapor
416.67	2.0000	26.222	0.038136	527.91	604.18	2.4594	0.77629	1.0007	308.66	4.7531	20.670	0.026953	vapor
418.33	2.0000	26.105	0.038307	529.24	605.85	2.4634	0.77743	1.0014	309.31	4.7074	20.743	0.027085	vapor
420.00	2.0000	25.989	0.038479	530.56	607.52	2.4674	0.77856	1.0021	309.96	4.6623	20.816	0.027217	vapor
421.67	2.0000	25.873	0.038650	531.89	609.19	2.4714	0.77970	1.0028	310.61	4.6178	20.888	0.027350	vapor
423.33	2.0000	25.759	0.038821	533.22	610.86	2.4753	0.78083	1.0035	311.26	4.5740	20.961	0.027482	vapor
425.00	2.0000	25.647	0.038992	534.55	612.53	2.4793	0.78196	1.0042	311.90	4.5308	21.034	0.027615	vapor
426.67	2.0000	25.535	0.039162	535.88	614.21	2.4832	0.78309	1.0050	312.55	4.4881	21.106	0.027747	vapor
428.33	2.0000	25.424	0.039333	537.22	615.88	2.4871	0.78422	1.0057	313.19	4.4461	21.178	0.027880	vapor
430.00	2.0000	25.314	0.039503	538.56	617.56	2.4910	0.78535	1.0064	313.83	4.4046	21.250	0.028012	vapor
431.67	2.0000	25.206	0.039673	539.89	619.24	2.4949	0.78648	1.0072	314.46	4.3637	21.323	0.028145	vapor
433.33	2.0000	25.098	0.039843	541.23	620.92	2.4988	0.78761	1.0079	315.10	4.3233	21.395	0.028278	vapor
435.00	2.0000	24.992	0.040013	542.57	622.60	2.5027	0.78874	1.0087	315.73	4.2835	21.466	0.028411	vapor
436.67	2.0000	24.886	0.040183	543.91	624.28	2.5065	0.78986	1.0095	316.36	4.2442	21.538	0.028543	vapor
438.33	2.0000	24.781	0.040353	545.26	625.96	2.5104	0.79099	1.0102	316.99	4.2054	21.610	0.028676	vapor
440.00	2.0000	24.678	0.040522	546.60	627.65	2.5142	0.79211	1.0110	317.61	4.1671	21.681	0.028809	vapor
441.67	2.0000	24.575	0.040692	547.95	629.33	2.5180	0.79323	1.0118	318.24	4.1293	21.753	0.028942	vapor
443.33	2.0000	24.473	0.040861	549.30	631.02	2.5219	0.79435	1.0126	318.86	4.0921	21.824	0.029075	vapor
445.00	2.0000	24.372	0.041030	550.65	632.71	2.5257	0.79547	1.0134	319.48	4.0553	21.896	0.029208	vapor
446.67	2.0000	24.272	0.041199	552.00	634.40	2.5294	0.79658	1.0142	320.10	4.0190	21.967	0.029342	vapor
448.33	2.0000	24.173	0.041368	553.35	636.09	2.5332	0.79770	1.0150	320.72	3.9831	22.038	0.029475	vapor
450.00	2.0000	24.075	0.041537	554.71	637.78	2.5370	0.79881	1.0158	321.33	3.9477	22.109	0.029608	vapor
451.67	2.0000	23.978	0.041705	556.07	639.48	2.5407	0.79992	1.0166	321.95	3.9128	22.180	0.029741	vapor
453.33	2.0000	23.881	0.041874	557.42	641.17	2.5445	0.80103	1.0174	322.56	3.8783	22.250	0.029874	vapor
455.00	2.0000	23.786	0.042042	558.78	642.87	2.5482	0.80214	1.0182	323.17	3.8442	22.321	0.030007	vapor
456.67	2.0000	23.691	0.042210	560.14	644.57	2.5520	0.80324	1.0190	323.78	3.8106	22.391	0.030140	vapor
458.33	2.0000	23.597	0.042379	561.51	646.26	2.5557	0.80435	1.0198	324.38	3.7774	22.462	0.030274	vapor
460.00	2.0000	23.504	0.042547	562.87	647.96	2.5594	0.80545	1.0207	324.99	3.7446	22.532	0.030407	vapor
461.67	2.0000	23.411	0.042715	564.24	649.67	2.5631	0.80655	1.0215	325.59	3.7122	22.603	0.030541	vapor
463.33	2.0000	23.320	0.042882	565.60	651.37	2.5667	0.80765	1.0223	326.19	3.6802	22.673	0.030675	vapor
465.00	2.0000	23.229	0.043050	566.97	653.07	2.5704	0.80874	1.0231	326.79	3.6486	22.743	0.030808	vapor
466.67	2.0000	23.139	0.043218	568.34	654.78	2.5741	0.80984	1.0240	327.39	3.6173	22.813	0.030942	vapor
468.33	2.0000	23.049	0.043385	569.72	656.49	2.5777	0.81093	1.0248	327.99	3.5865	22.882	0.031076	vapor
470.00	2.0000	22.961	0.043553	571.09	658.20	2.5814	0.81202	1.0256	328.58	3.5560	22.952	0.031210	vapor
471.67	2.0000	22.873	0.043720	572.47	659.91	2.5850	0.81311	1.0265	329.17	3.5259	23.022	0.031344	vapor
473.33	2.0000	22.786	0.043887	573.84	661.62	2.5886	0.81419	1.0273	329.77	3.4962	23.091	0.031477	vapor
475.00	2.0000	22.699	0.044054	575.22	663.33	2.5922	0.81528	1.0281	330.36	3.4668	23.161	0.031611	vapor
476.67	2.0000	22.613	0.044222	576.60	665.04	2.5958	0.81636	1.0290	330.94	3.4377	23.230	0.031745	vapor
478.33	2.0000	22.528	0.044388	577.98	666.76	2.5994	0.81744	1.0298	331.53	3.4090	23.299	0.031879	vapor
480.00	2.0000	22.444	0.044555	579.37	668.48	2.6030	0.81852	1.0307	332.12	3.3807	23.369	0.032013	vapor
481.67	2.0000	22.360	0.044722	580.75	670.20	2.6066	0.81959	1.0315	332.70	3.3526	23.438	0.032147	vapor
483.33	2.0000	22.277	0.044889	582.14	671.92	2.6102	0.82066	1.0324	333.28	3.3249	23.506	0.032281	vapor
485.00	2.0000	22.195	0.045055	583.53	673.64	2.6137	0.82173	1.0332	333.87	3.2976	23.575	0.032414	vapor
