Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	1.0000	18.579	0.053823	445.01	498.84	2.2894	0.68217	0.92089	262.43	10.802	15.108	0.017335	vapor
301.67	1.0000	18.458	0.054177	446.20	500.37	2.2945	0.68325	0.92095	263.24	10.648	15.189	0.017459	vapor
303.33	1.0000	18.338	0.054530	447.38	501.91	2.2995	0.68435	0.92105	264.04	10.498	15.270	0.017583	vapor
305.00	1.0000	18.221	0.054883	448.56	503.44	2.3046	0.68547	0.92121	264.83	10.351	15.351	0.017708	vapor
306.67	1.0000	18.105	0.055234	449.74	504.98	2.3096	0.68660	0.92140	265.63	10.208	15.431	0.017833	vapor
308.33	1.0000	17.990	0.055585	450.93	506.51	2.3146	0.68774	0.92164	266.41	10.067	15.512	0.017958	vapor
310.00	1.0000	17.878	0.055935	452.12	508.05	2.3196	0.68890	0.92192	267.20	9.9291	15.592	0.018084	vapor
311.67	1.0000	17.767	0.056285	453.30	509.59	2.3245	0.69006	0.92224	267.97	9.7941	15.672	0.018210	vapor
313.33	1.0000	17.657	0.056634	454.49	511.12	2.3294	0.69124	0.92259	268.75	9.6619	15.753	0.018336	vapor
315.00	1.0000	17.549	0.056982	455.68	512.66	2.3343	0.69243	0.92297	269.52	9.5323	15.833	0.018462	vapor
316.67	1.0000	17.443	0.057330	456.87	514.20	2.3392	0.69362	0.92339	270.28	9.4053	15.912	0.018589	vapor
318.33	1.0000	17.338	0.057677	458.06	515.74	2.3441	0.69483	0.92385	271.05	9.2809	15.992	0.018715	vapor
320.00	1.0000	17.234	0.058024	459.26	517.28	2.3489	0.69605	0.92433	271.80	9.1590	16.072	0.018842	vapor
321.67	1.0000	17.132	0.058370	460.45	518.82	2.3537	0.69727	0.92484	272.56	9.0395	16.152	0.018970	vapor
323.33	1.0000	17.031	0.058715	461.65	520.36	2.3585	0.69850	0.92537	273.31	8.9223	16.231	0.019097	vapor
325.00	1.0000	16.932	0.059060	462.85	521.91	2.3632	0.69974	0.92594	274.06	8.8073	16.310	0.019225	vapor
326.67	1.0000	16.834	0.059405	464.05	523.45	2.3680	0.70098	0.92653	274.80	8.6946	16.390	0.019353	vapor
328.33	1.0000	16.737	0.059749	465.25	524.99	2.3727	0.70223	0.92714	275.54	8.5841	16.469	0.019481	vapor
330.00	1.0000	16.641	0.060092	466.45	526.54	2.3774	0.70349	0.92777	276.28	8.4756	16.548	0.019609	vapor
331.67	1.0000	16.547	0.060435	467.65	528.09	2.3820	0.70475	0.92843	277.01	8.3692	16.627	0.019738	vapor
333.33	1.0000	16.453	0.060778	468.86	529.64	2.3867	0.70602	0.92911	277.74	8.2648	16.705	0.019867	vapor
335.00	1.0000	16.361	0.061120	470.06	531.18	2.3913	0.70729	0.92980	278.46	8.1624	16.784	0.019996	vapor
336.67	1.0000	16.270	0.061461	471.27	532.73	2.3960	0.70856	0.93052	279.19	8.0618	16.863	0.020125	vapor
338.33	1.0000	16.181	0.061802	472.48	534.29	2.4006	0.70984	0.93125	279.91	7.9631	16.941	0.020254	vapor
340.00	1.0000	16.092	0.062143	473.70	535.84	2.4051	0.71112	0.93200	280.62	7.8662	17.019	0.020383	vapor
341.67	1.0000	16.004	0.062484	474.91	537.39	2.4097	0.71240	0.93277	281.34	7.7711	17.098	0.020513	vapor
343.33	1.0000	15.918	0.062824	476.12	538.95	2.4142	0.71369	0.93355	282.05	7.6777	17.176	0.020643	vapor
345.00	1.0000	15.832	0.063163	477.34	540.50	2.4188	0.71498	0.93435	282.76	7.5859	17.254	0.020773	vapor
346.67	1.0000	15.747	0.063502	478.56	542.06	2.4233	0.71627	0.93515	283.46	7.4958	17.332	0.020903	vapor
348.33	1.0000	15.664	0.063841	479.78	543.62	2.4277	0.71756	0.93598	284.16	7.4073	17.410	0.021033	vapor
350.00	1.0000	15.581	0.064180	481.00	545.18	2.4322	0.71885	0.93681	284.86	7.3204	17.487	0.021164	vapor
351.67	1.0000	15.500	0.064518	482.23	546.74	2.4367	0.72015	0.93766	285.56	7.2350	17.565	0.021294	vapor
353.33	1.0000	15.419	0.064855	483.45	548.31	2.4411	0.72145	0.93852	286.25	7.1510	17.642	0.021425	vapor
355.00	1.0000	15.339	0.065193	484.68	549.87	2.4455	0.72274	0.93939	286.94	7.0685	17.720	0.021556	vapor
356.67	1.0000	15.260	0.065530	485.91	551.44	2.4499	0.72404	0.94027	287.63	6.9875	17.797	0.021687	vapor
358.33	1.0000	15.182	0.065867	487.14	553.01	2.4543	0.72534	0.94116	288.32	6.9078	17.874	0.021818	vapor
360.00	1.0000	15.105	0.066203	488.37	554.58	2.4587	0.72663	0.94206	289.00	6.8295	17.951	0.021950	vapor
361.67	1.0000	15.029	0.066539	489.61	556.15	2.4630	0.72793	0.94297	289.68	6.7525	18.028	0.022081	vapor
363.33	1.0000	14.953	0.066875	490.84	557.72	2.4674	0.72923	0.94389	290.36	6.6768	18.105	0.022213	vapor
365.00	1.0000	14.879	0.067211	492.08	559.29	2.4717	0.73053	0.94481	291.04	6.6023	18.181	0.022345	vapor
366.67	1.0000	14.805	0.067546	493.32	560.87	2.4760	0.73183	0.94575	291.71	6.5291	18.258	0.022476	vapor
368.33	1.0000	14.732	0.067881	494.57	562.45	2.4803	0.73312	0.94669	292.38	6.4571	18.335	0.022608	vapor
370.00	1.0000	14.659	0.068215	495.81	564.02	2.4846	0.73442	0.94763	293.05	6.3863	18.411	0.022740	vapor
371.67	1.0000	14.588	0.068550	497.06	565.61	2.4888	0.73571	0.94859	293.72	6.3166	18.487	0.022873	vapor
