Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	3.0000	63.376	0.015779	429.23	476.57	2.0274	0.74589	1.1623	245.13	10.859	15.543	0.019293	vapor
301.67	3.0000	62.751	0.015936	430.69	478.50	2.0338	0.74477	1.1537	246.34	10.697	15.622	0.019380	vapor
303.33	3.0000	62.145	0.016091	432.14	480.41	2.0402	0.74379	1.1456	247.53	10.540	15.701	0.019469	vapor
305.00	3.0000	61.556	0.016245	433.58	482.31	2.0464	0.74293	1.1380	248.70	10.385	15.779	0.019560	vapor
306.67	3.0000	60.982	0.016398	435.01	484.20	2.0526	0.74218	1.1309	249.86	10.235	15.858	0.019654	vapor
308.33	3.0000	60.425	0.016550	436.44	486.08	2.0587	0.74155	1.1243	251.00	10.088	15.937	0.019748	vapor
310.00	3.0000	59.881	0.016700	437.85	487.95	2.0647	0.74101	1.1181	252.12	9.9437	16.015	0.019845	vapor
311.67	3.0000	59.352	0.016849	439.26	489.81	2.0707	0.74057	1.1122	253.22	9.8031	16.094	0.019943	vapor
313.33	3.0000	58.835	0.016997	440.67	491.66	2.0766	0.74021	1.1067	254.32	9.6656	16.172	0.020043	vapor
315.00	3.0000	58.332	0.017143	442.07	493.50	2.0825	0.73994	1.1016	255.40	9.5311	16.251	0.020144	vapor
316.67	3.0000	57.840	0.017289	443.47	495.33	2.0883	0.73974	1.0967	256.46	9.3996	16.329	0.020246	vapor
318.33	3.0000	57.360	0.017434	444.85	497.16	2.0940	0.73961	1.0921	257.51	9.2708	16.408	0.020349	vapor
320.00	3.0000	56.890	0.017578	446.24	498.97	2.0997	0.73955	1.0878	258.56	9.1448	16.486	0.020454	vapor
321.67	3.0000	56.432	0.017721	447.62	500.78	2.1054	0.73956	1.0838	259.58	9.0213	16.564	0.020559	vapor
323.33	3.0000	55.983	0.017863	449.00	502.59	2.1110	0.73962	1.0799	260.60	8.9005	16.642	0.020666	vapor
325.00	3.0000	55.544	0.018004	450.37	504.38	2.1165	0.73974	1.0763	261.61	8.7821	16.720	0.020774	vapor
326.67	3.0000	55.114	0.018144	451.74	506.17	2.1220	0.73992	1.0729	262.60	8.6661	16.798	0.020882	vapor
328.33	3.0000	54.693	0.018284	453.11	507.96	2.1275	0.74014	1.0697	263.59	8.5524	16.876	0.020992	vapor
330.00	3.0000	54.281	0.018423	454.47	509.74	2.1329	0.74041	1.0667	264.56	8.4410	16.953	0.021102	vapor
331.67	3.0000	53.877	0.018561	455.83	511.51	2.1382	0.74073	1.0639	265.52	8.3318	17.031	0.021213	vapor
333.33	3.0000	53.481	0.018698	457.19	513.29	2.1436	0.74109	1.0612	266.48	8.2247	17.108	0.021325	vapor
335.00	3.0000	53.092	0.018835	458.55	515.05	2.1488	0.74148	1.0586	267.43	8.1197	17.186	0.021438	vapor
336.67	3.0000	52.711	0.018971	459.90	516.81	2.1541	0.74191	1.0562	268.36	8.0167	17.263	0.021551	vapor
338.33	3.0000	52.337	0.019107	461.25	518.57	2.1593	0.74237	1.0540	269.29	7.9157	17.340	0.021665	vapor
340.00	3.0000	51.970	0.019242	462.60	520.33	2.1645	0.74287	1.0518	270.21	7.8167	17.418	0.021780	vapor
341.67	3.0000	51.610	0.019376	463.95	522.08	2.1696	0.74340	1.0498	271.13	7.7195	17.495	0.021895	vapor
343.33	3.0000	51.256	0.019510	465.30	523.83	2.1747	0.74395	1.0480	272.03	7.6241	17.571	0.022011	vapor
345.00	3.0000	50.908	0.019643	466.64	525.57	2.1798	0.74453	1.0462	272.93	7.5305	17.648	0.022127	vapor
346.67	3.0000	50.567	0.019776	467.99	527.31	2.1848	0.74514	1.0445	273.82	7.4386	17.725	0.022244	vapor
348.33	3.0000	50.231	0.019908	469.33	529.05	2.1898	0.74577	1.0429	274.71	7.3484	17.802	0.022361	vapor
