Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	8.0000	753.17	0.0013277	259.34	269.96	1.2252	0.98934	3.9320	343.66	1.5028	63.686	0.082402	liquid
301.67	8.0000	728.38	0.0013729	265.93	276.91	1.2483	1.0078	4.4529	318.34	1.7672	59.987	0.080049	liquid
303.33	8.0000	697.99	0.0014327	273.54	285.00	1.2751	1.0355	5.3515	289.49	2.1378	55.782	0.077949	liquid
305.00	8.0000	656.77	0.0015226	283.13	295.31	1.3089	1.0822	7.3125	255.09	2.7167	50.588	0.076888	supercritical
306.67	8.0000	585.04	0.0017093	298.29	311.97	1.3634	1.1798	14.741	211.10	3.8434	42.734	0.080652	supercritical
308.33	8.0000	401.82	0.0024887	337.37	357.28	1.5107	1.2977	24.910	182.87	6.3587	28.068	0.080029	supercritical
310.00	8.0000	327.71	0.0030515	357.53	381.94	1.5905	1.1499	9.5864	194.28	7.3321	24.022	0.056778	supercritical
311.67	8.0000	296.10	0.0033773	367.66	394.68	1.6315	1.0749	6.2642	201.05	7.6936	22.629	0.048185	supercritical
313.33	8.0000	276.01	0.0036230	374.81	403.80	1.6607	1.0286	4.8335	206.08	7.8595	21.859	0.043447	supercritical
315.00	8.0000	261.29	0.0038272	380.51	411.13	1.6840	0.99624	4.0300	210.19	7.9336	21.359	0.040356	supercritical
316.67	8.0000	249.67	0.0040054	385.34	417.39	1.7038	0.97180	3.5112	213.74	7.9564	21.006	0.038152	supercritical
318.33	8.0000	240.07	0.0041654	389.60	422.92	1.7213	0.95237	3.1465	216.91	7.9475	20.746	0.036491	supercritical
320.00	8.0000	231.91	0.0043120	393.43	427.93	1.7370	0.93636	2.8750	219.80	7.9179	20.548	0.035192	supercritical
321.67	8.0000	224.81	0.0044483	396.95	432.54	1.7513	0.92283	2.6643	222.47	7.8742	20.395	0.034150	supercritical
323.33	8.0000	218.53	0.0045761	400.22	436.83	1.7646	0.91118	2.4956	224.98	7.8205	20.276	0.033297	supercritical
325.00	8.0000	212.90	0.0046971	403.29	440.87	1.7771	0.90103	2.3574	227.35	7.7599	20.183	0.032589	supercritical
326.67	8.0000	207.80	0.0048122	406.20	444.70	1.7889	0.89210	2.2418	229.61	7.6941	20.110	0.031994	supercritical
328.33	8.0000	203.15	0.0049224	408.97	448.35	1.8000	0.88418	2.1437	231.76	7.6246	20.055	0.031491	supercritical
330.00	8.0000	198.87	0.0050283	411.63	451.85	1.8106	0.87714	2.0594	233.83	7.5524	20.013	0.031061	supercritical
331.67	8.0000	194.91	0.0051305	414.18	455.22	1.8208	0.87083	1.9861	235.81	7.4783	19.983	0.030692	supercritical
333.33	8.0000	191.23	0.0052293	416.65	458.48	1.8306	0.86518	1.9217	237.72	7.4029	19.963	0.030375	supercritical
335.00	8.0000	187.79	0.0053251	419.03	461.63	1.8401	0.86009	1.8648	239.57	7.3266	19.951	0.030101	supercritical
336.67	8.0000	184.56	0.0054183	421.35	464.70	1.8492	0.85550	1.8140	241.37	7.2498	19.946	0.029865	supercritical
338.33	8.0000	181.52	0.0055091	423.61	467.68	1.8580	0.85134	1.7685	243.10	7.1727	19.947	0.029660	supercritical
340.00	8.0000	178.65	0.0055976	425.82	470.60	1.8666	0.84758	1.7274	244.79	7.0957	19.955	0.029483	supercritical
341.67	8.0000	175.93	0.0056842	427.97	473.44	1.8750	0.84415	1.6902	246.44	7.0188	19.966	0.029331	supercritical
343.33	8.0000	173.34	0.0057689	430.08	476.23	1.8831	0.84104	1.6563	248.04	6.9423	19.983	0.029200	supercritical
345.00	8.0000	170.89	0.0058519	432.15	478.97	1.8911	0.83820	1.6253	249.61	6.8663	20.003	0.029088	supercritical
346.67	8.0000	168.54	0.0059333	434.18	481.65	1.8988	0.83560	1.5968	251.14	6.7909	20.026	0.028993	supercritical
348.33	8.0000	166.30	0.0060132	436.18	484.29	1.9064	0.83323	1.5706	252.63	6.7161	20.053	0.028914	supercritical
