Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	12.000	832.47	0.0012013	242.67	257.08	1.1656	0.93421	2.6306	462.54	0.72520	77.671	0.092798	liquid
301.67	12.000	820.25	0.0012191	246.89	261.52	1.1803	0.93666	2.6954	448.82	0.79290	75.325	0.090932	liquid
303.33	12.000	807.50	0.0012384	251.21	266.07	1.1954	0.93934	2.7674	434.98	0.86742	72.978	0.089054	liquid
305.00	12.000	794.15	0.0012592	255.64	270.75	1.2108	0.94224	2.8479	421.04	0.94971	70.624	0.087164	supercritical
306.67	12.000	780.15	0.0012818	260.19	275.57	1.2265	0.94537	2.9381	407.02	1.0409	68.261	0.085264	supercritical
308.33	12.000	765.41	0.0013065	264.87	280.55	1.2427	0.94875	3.0401	392.94	1.1423	65.881	0.083353	supercritical
310.00	12.000	749.85	0.0013336	269.71	285.71	1.2594	0.95242	3.1566	378.82	1.2558	63.480	0.081434	supercritical
311.67	12.000	733.34	0.0013636	274.72	291.08	1.2767	0.95639	3.2908	364.68	1.3834	61.052	0.079512	supercritical
313.33	12.000	715.77	0.0013971	279.93	296.69	1.2946	0.96064	3.4457	350.55	1.5275	58.588	0.077591	supercritical
315.00	12.000	696.99	0.0014347	285.36	302.58	1.3134	0.96512	3.6232	336.49	1.6904	56.085	0.075675	supercritical
316.67	12.000	676.87	0.0014774	291.05	308.78	1.3330	0.96980	3.8225	322.60	1.8742	53.539	0.073772	supercritical
318.33	12.000	655.29	0.0015260	297.02	315.33	1.3537	0.97474	4.0401	309.05	2.0803	50.957	0.071887	supercritical
320.00	12.000	632.21	0.0015818	303.28	322.26	1.3753	0.98009	4.2711	296.05	2.3095	48.350	0.070028	supercritical
321.67	12.000	607.66	0.0016456	309.82	329.57	1.3981	0.98592	4.5079	283.88	2.5617	45.743	0.068204	supercritical
323.33	12.000	581.81	0.0017188	316.65	337.28	1.4220	0.99195	4.7308	272.83	2.8342	43.169	0.066400	supercritical
