Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	7.0000	706.06	0.0014163	268.53	278.44	1.2580	1.0529	5.9775	281.10	2.2042	56.761	0.079648	liquid
301.67	7.0000	648.64	0.0015417	280.89	291.68	1.3020	1.1753	12.068	222.94	3.2007	49.480	0.082386	liquid
303.33	7.0000	263.51	0.0037950	367.56	394.13	1.6413	1.1384	7.4767	192.78	8.8488	20.797	0.047798	vapor
305.00	7.0000	243.08	0.0041138	375.44	404.23	1.6746	1.0602	5.0681	199.60	9.0189	20.116	0.041092	vapor
306.67	7.0000	229.43	0.0043586	381.22	411.73	1.6991	1.0133	4.0354	204.61	9.0613	19.727	0.037550	vapor
308.33	7.0000	219.05	0.0045653	385.96	417.92	1.7192	0.98047	3.4423	208.72	9.0464	19.470	0.035260	vapor
310.00	7.0000	210.63	0.0047478	390.08	423.31	1.7366	0.95569	3.0512	212.29	8.9999	19.291	0.033632	vapor
311.67	7.0000	203.53	0.0049133	393.76	428.15	1.7522	0.93611	2.7713	215.47	8.9342	19.161	0.032408	vapor
313.33	7.0000	197.39	0.0050662	397.12	432.59	1.7664	0.92013	2.5598	218.37	8.8563	19.067	0.031453	vapor
315.00	7.0000	191.97	0.0052092	400.24	436.71	1.7795	0.90676	2.3936	221.05	8.7706	18.999	0.030688	vapor
316.67	7.0000	187.12	0.0053440	403.17	440.58	1.7918	0.89537	2.2591	223.55	8.6797	18.950	0.030065	vapor
318.33	7.0000	182.74	0.0054722	405.95	444.25	1.8034	0.88552	2.1477	225.92	8.5857	18.917	0.029551	vapor
320.00	7.0000	178.74	0.0055947	408.59	447.75	1.8143	0.87690	2.0539	228.16	8.4896	18.896	0.029121	vapor
321.67	7.0000	175.06	0.0057124	411.12	451.11	1.8248	0.86929	1.9736	230.29	8.3925	18.886	0.028760	vapor
323.33	7.0000	171.65	0.0058257	413.56	454.34	1.8348	0.86253	1.9041	232.34	8.2949	18.884	0.028454	vapor
325.00	7.0000	168.48	0.0059354	415.91	457.46	1.8444	0.85650	1.8433	234.30	8.1973	18.890	0.028195	vapor
326.67	7.0000	165.52	0.0060417	418.19	460.48	1.8537	0.85109	1.7896	236.20	8.1001	18.901	0.027975	vapor
328.33	7.0000	162.73	0.0061451	420.41	463.43	1.8627	0.84622	1.7419	238.03	8.0035	18.919	0.027788	vapor
330.00	7.0000	160.11	0.0062457	422.57	466.29	1.8714	0.84183	1.6992	239.80	7.9076	18.940	0.027630	vapor
331.67	7.0000	157.63	0.0063439	424.68	469.09	1.8799	0.83787	1.6607	241.52	7.8126	18.966	0.027496	vapor
333.33	7.0000	155.28	0.0064399	426.75	471.83	1.8881	0.83428	1.6259	243.19	7.7187	18.995	0.027383	vapor
335.00	7.0000	153.05	0.0065339	428.78	474.51	1.8961	0.83102	1.5942	244.81	7.6259	19.028	0.027290	vapor
336.67	7.0000	150.92	0.0066260	430.76	477.15	1.9040	0.82807	1.5653	246.40	7.5343	19.063	0.027213	vapor
338.33	7.0000	148.89	0.0067163	432.72	479.73	1.9116	0.82538	1.5388	247.94	7.4438	19.101	0.027150	vapor
340.00	7.0000	146.95	0.0068050	434.64	482.28	1.9191	0.82293	1.5144	249.45	7.3547	19.141	0.027101	vapor
341.67	7.0000	145.09	0.0068923	436.54	484.78	1.9265	0.82071	1.4919	250.93	7.2668	19.184	0.027064	vapor
343.33	7.0000	143.31	0.0069781	438.40	487.25	1.9337	0.81867	1.4710	252.38	7.1801	19.228	0.027037	vapor
345.00	7.0000	141.59	0.0070626	440.25	489.69	1.9408	0.81682	1.4517	253.79	7.0948	19.273	0.027020	vapor
346.67	7.0000	139.94	0.0071458	442.07	492.09	1.9477	0.81514	1.4337	255.18	7.0108	19.321	0.027012	vapor
348.33	7.0000	138.35	0.0072280	443.87	494.47	1.9546	0.81360	1.4169	256.55	6.9281	19.369	0.027011	vapor
350.00	7.0000	136.82	0.0073090	445.65	496.81	1.9613	0.81220	1.4012	257.89	6.8467	19.419	0.027018	vapor
351.67	7.0000	135.34	0.0073890	447.41	499.14	1.9679	0.81092	1.3866	259.20	6.7666	19.470	0.027032	vapor
353.33	7.0000	133.91	0.0074680	449.16	501.44	1.9744	0.80976	1.3728	260.50	6.6877	19.522	0.027052	vapor
355.00	7.0000	132.52	0.0075460	450.89	503.71	1.9809	0.80871	1.3599	261.77	6.6101	19.575	0.027077	vapor
356.67	7.0000	131.18	0.0076232	452.61	505.97	1.9872	0.80777	1.3477	263.02	6.5337	19.629	0.027107	vapor
358.33	7.0000	129.88	0.0076996	454.31	508.21	1.9935	0.80691	1.3362	264.25	6.4586	19.684	0.027143	vapor
360.00	7.0000	128.61	0.0077752	456.00	510.42	1.9996	0.80615	1.3254	265.47	6.3846	19.740	0.027183	vapor
361.67	7.0000	127.39	0.0078500	457.67	512.62	2.0057	0.80546	1.3152	266.67	6.3119	19.796	0.027227	vapor
363.33	7.0000	126.20	0.0079240	459.34	514.81	2.0118	0.80486	1.3056	267.85	6.2402	19.853	0.027274	vapor
365.00	7.0000	125.04	0.0079974	460.99	516.98	2.0177	0.80432	1.2964	269.02	6.1698	19.910	0.027326	vapor
366.67	7.0000	123.91	0.0080701	462.64	519.13	2.0236	0.80385	1.2878	270.17	6.1004	19.968	0.027381	vapor
368.33	7.0000	122.82	0.0081422	464.27	521.27	2.0294	0.80345	1.2796	271.30	6.0322	20.027	0.027439	vapor
370.00	7.0000	121.75	0.0082137	465.90	523.40	2.0352	0.80311	1.2718	272.42	5.9650	20.086	0.027500	vapor
371.67	7.0000	120.71	0.0082845	467.52	525.51	2.0409	0.80283	1.2644	273.53	5.8989	20.146	0.027564	vapor
373.33	7.0000	119.69	0.0083549	469.13	527.61	2.0465	0.80260	1.2574	274.63	5.8338	20.206	0.027630	vapor
375.00	7.0000	118.70	0.0084246	470.73	529.70	2.0521	0.80242	1.2507	275.71	5.7698	20.266	0.027699	vapor
376.67	7.0000	117.73	0.0084939	472.32	531.78	2.0576	0.80229	1.2443	276.78	5.7068	20.327	0.027770	vapor
378.33	7.0000	116.79	0.0085627	473.91	533.85	2.0631	0.80220	1.2383	277.84	5.6447	20.388	0.027844	vapor
380.00	7.0000	115.86	0.0086309	475.49	535.91	2.0685	0.80216	1.2325	278.88	5.5836	20.449	0.027919	vapor
381.67	7.0000	114.96	0.0086987	477.07	537.96	2.0739	0.80216	1.2270	279.92	5.5235	20.511	0.027997	vapor
383.33	7.0000	114.08	0.0087661	478.63	540.00	2.0793	0.80220	1.2217	280.94	5.4642	20.573	0.028076	vapor
385.00	7.0000	113.21	0.0088330	480.20	542.03	2.0845	0.80227	1.2167	281.96	5.4059	20.635	0.028158	vapor
386.67	7.0000	112.37	0.0088995	481.76	544.05	2.0898	0.80238	1.2119	282.96	5.3485	20.698	0.028241	vapor
388.33	7.0000	111.54	0.0089656	483.31	546.07	2.0950	0.80253	1.2073	283.95	5.2920	20.761	0.028325	vapor
390.00	7.0000	110.73	0.0090313	484.86	548.08	2.1002	0.80271	1.2030	284.94	5.2363	20.824	0.028411	vapor
391.67	7.0000	109.93	0.0090967	486.40	550.08	2.1053	0.80292	1.1988	285.92	5.1814	20.887	0.028499	vapor
393.33	7.0000	109.15	0.0091616	487.94	552.07	2.1104	0.80315	1.1948	286.88	5.1274	20.950	0.028588	vapor
395.00	7.0000	108.39	0.0092262	489.48	554.06	2.1154	0.80342	1.1910	287.84	5.0742	21.013	0.028678	vapor
396.67	7.0000	107.64	0.0092905	491.01	556.04	2.1204	0.80371	1.1873	288.79	5.0218	21.077	0.028769	vapor
398.33	7.0000	106.90	0.0093544	492.54	558.02	2.1254	0.80403	1.1838	289.73	4.9701	21.141	0.028862	vapor
400.00	7.0000	106.18	0.0094180	494.06	559.99	2.1303	0.80437	1.1805	290.66	4.9192	21.205	0.028956	vapor
401.67	7.0000	105.47	0.0094813	495.59	561.95	2.1352	0.80474	1.1773	291.59	4.8691	21.269	0.029051	vapor
403.33	7.0000	104.78	0.0095443	497.10	563.91	2.1401	0.80512	1.1742	292.51	4.8197	21.333	0.029147	vapor
405.00	7.0000	104.09	0.0096069	498.62	565.87	2.1449	0.80553	1.1713	293.42	4.7710	21.397	0.029244	vapor
406.67	7.0000	103.42	0.0096693	500.13	567.82	2.1497	0.80596	1.1685	294.32	4.7231	21.461	0.029342	vapor
408.33	7.0000	102.76	0.0097314	501.64	569.76	2.1545	0.80641	1.1658	295.22	4.6758	21.526	0.029441	vapor
410.00	7.0000	102.11	0.0097933	503.15	571.70	2.1592	0.80688	1.1632	296.11	4.6292	21.590	0.029541	vapor
411.67	7.0000	101.47	0.0098548	504.66	573.64	2.1640	0.80736	1.1607	296.99	4.5832	21.655	0.029642	vapor
413.33	7.0000	100.85	0.0099161	506.16	575.57	2.1686	0.80787	1.1584	297.87	4.5380	21.719	0.029743	vapor
415.00	7.0000	100.23	0.0099772	507.66	577.50	2.1733	0.80839	1.1561	298.74	4.4933	21.784	0.029845	vapor
416.67	7.0000	99.621	0.010038	509.16	579.43	2.1779	0.80892	1.1539	299.60	4.4493	21.849	0.029948	vapor
418.33	7.0000	99.024	0.010099	510.66	581.35	2.1825	0.80947	1.1518	300.46	4.4059	21.914	0.030052	vapor
420.00	7.0000	98.436	0.010159	512.15	583.27	2.1871	0.81003	1.1499	301.31	4.3631	21.978	0.030157	vapor
421.67	7.0000	97.857	0.010219	513.65	585.18	2.1917	0.81061	1.1480	302.16	4.3210	22.043	0.030262	vapor
423.33	7.0000	97.287	0.010279	515.14	587.09	2.1962	0.81120	1.1461	303.00	4.2794	22.108	0.030368	vapor
425.00	7.0000	96.725	0.010339	516.63	589.00	2.2007	0.81181	1.1444	303.83	4.2383	22.173	0.030474	vapor
426.67	7.0000	96.172	0.010398	518.12	590.91	2.2052	0.81242	1.1427	304.66	4.1979	22.238	0.030581	vapor
428.33	7.0000	95.627	0.010457	519.61	592.81	2.2096	0.81305	1.1411	305.48	4.1579	22.303	0.030689	vapor
430.00	7.0000	95.090	0.010516	521.10	594.71	2.2140	0.81369	1.1396	306.30	4.1186	22.368	0.030797	vapor
431.67	7.0000	94.561	0.010575	522.58	596.61	2.2184	0.81434	1.1381	307.12	4.0797	22.433	0.030906	vapor
433.33	7.0000	94.039	0.010634	524.07	598.51	2.2228	0.81500	1.1367	307.92	4.0414	22.498	0.031015	vapor
435.00	7.0000	93.525	0.010692	525.55	600.40	2.2272	0.81567	1.1354	308.73	4.0036	22.563	0.031124	vapor
436.67	7.0000	93.018	0.010751	527.04	602.29	2.2315	0.81635	1.1341	309.53	3.9663	22.628	0.031235	vapor
438.33	7.0000	92.518	0.010809	528.52	604.18	2.2358	0.81704	1.1329	310.32	3.9295	22.693	0.031345	vapor
440.00	7.0000	92.025	0.010867	530.00	606.07	2.2401	0.81773	1.1317	311.11	3.8932	22.758	0.031456	vapor
441.67	7.0000	91.538	0.010924	531.48	607.95	2.2444	0.81844	1.1306	311.89	3.8573	22.823	0.031567	vapor
443.33	7.0000	91.058	0.010982	532.96	609.84	2.2487	0.81915	1.1295	312.67	3.8220	22.888	0.031679	vapor
445.00	7.0000	90.584	0.011039	534.44	611.72	2.2529	0.81987	1.1285	313.45	3.7871	22.953	0.031791	vapor
446.67	7.0000	90.117	0.011097	535.92	613.60	2.2571	0.82060	1.1275	314.22	3.7526	23.018	0.031903	vapor
448.33	7.0000	89.655	0.011154	537.40	615.48	2.2613	0.82134	1.1266	314.99	3.7186	23.083	0.032015	vapor
450.00	7.0000	89.200	0.011211	538.88	617.35	2.2655	0.82208	1.1258	315.75	3.6850	23.148	0.032127	vapor
451.67	7.0000	88.750	0.011268	540.35	619.23	2.2697	0.82283	1.1249	316.51	3.6519	23.213	0.032239	vapor
453.33	7.0000	88.306	0.011324	541.83	621.10	2.2738	0.82358	1.1241	317.26	3.6192	23.278	0.032351	vapor
455.00	7.0000	87.867	0.011381	543.31	622.98	2.2779	0.82434	1.1234	318.01	3.5868	23.343	0.032461	vapor
456.67	7.0000	87.434	0.011437	544.79	624.85	2.2820	0.82511	1.1227	318.76	3.5549	23.408	0.032566	vapor
458.33	7.0000	87.006	0.011493	546.26	626.72	2.2861	0.82588	1.1220	319.50	3.5234	23.473	0.032685	vapor
460.00	7.0000	86.584	0.011550	547.74	628.59	2.2902	0.82666	1.1214	320.24	3.4923	23.538	0.032804	vapor
461.67	7.0000	86.166	0.011605	549.22	630.46	2.2943	0.82744	1.1208	320.98	3.4616	23.603	0.032923	vapor
463.33	7.0000	85.753	0.011661	550.69	632.32	2.2983	0.82822	1.1202	321.71	3.4313	23.667	0.033042	vapor
465.00	7.0000	85.346	0.011717	552.17	634.19	2.3023	0.82902	1.1197	322.44	3.4013	23.732	0.033161	vapor
466.67	7.0000	84.943	0.011773	553.65	636.05	2.3063	0.82981	1.1192	323.17	3.3717	23.797	0.033281	vapor
468.33	7.0000	84.544	0.011828	555.12	637.92	2.3103	0.83061	1.1187	323.89	3.3425	23.861	0.033401	vapor
470.00	7.0000	84.151	0.011883	556.60	639.78	2.3143	0.83141	1.1183	324.61	3.3136	23.926	0.033521	vapor
471.67	7.0000	83.762	0.011939	558.08	641.65	2.3182	0.83222	1.1178	325.32	3.2851	23.991	0.033642	vapor
473.33	7.0000	83.377	0.011994	559.55	643.51	2.3222	0.83303	1.1175	326.03	3.2569	24.055	0.033763	vapor
475.00	7.0000	82.996	0.012049	561.03	645.37	2.3261	0.83385	1.1171	326.74	3.2291	24.120	0.033883	vapor
476.67	7.0000	82.620	0.012104	562.51	647.23	2.3300	0.83466	1.1168	327.45	3.2015	24.184	0.034005	vapor
478.33	7.0000	82.248	0.012158	563.99	649.09	2.3339	0.83548	1.1165	328.15	3.1744	24.249	0.034126	vapor
480.00	7.0000	81.880	0.012213	565.46	650.96	2.3378	0.83631	1.1162	328.85	3.1475	24.313	0.034247	vapor
481.67	7.0000	81.516	0.012268	566.94	652.82	2.3417	0.83713	1.1159	329.54	3.1210	24.377	0.034369	vapor
483.33	7.0000	81.155	0.012322	568.42	654.68	2.3455	0.83796	1.1157	330.23	3.0947	24.442	0.034491	vapor
485.00	7.0000	80.799	0.012376	569.90	656.53	2.3494	0.83879	1.1155	330.92	3.0688	24.506	0.034613	vapor
486.67	7.0000	80.446	0.012431	571.38	658.39	2.3532	0.83963	1.1153	331.61	3.0432	24.570	0.034735	vapor
488.33	7.0000	80.098	0.012485	572.86	660.25	2.3570	0.84046	1.1151	332.30	3.0178	24.634	0.034857	vapor
490.00	7.0000	79.752	0.012539	574.34	662.11	2.3608	0.84130	1.1150	332.98	2.9928	24.698	0.034980	vapor
491.67	7.0000	79.411	0.012593	575.82	663.97	2.3646	0.84214	1.1149	333.65	2.9681	24.762	0.035102	vapor
493.33	7.0000	79.072	0.012647	577.30	665.83	2.3684	0.84298	1.1148	334.33	2.9436	24.826	0.035225	vapor
495.00	7.0000	78.738	0.012700	578.78	667.68	2.3721	0.84382	1.1147	335.00	2.9194	24.890	0.035348	vapor
496.67	7.0000	78.406	0.012754	580.26	669.54	2.3759	0.84467	1.1146	335.67	2.8955	24.954	0.035471	vapor
498.33	7.0000	78.078	0.012808	581.75	671.40	2.3796	0.84551	1.1146	336.34	2.8719	25.018	0.035594	vapor
500.00	7.0000	77.754	0.012861	583.23	673.26	2.3833	0.84636	1.1145	337.01	2.8485	25.082	0.035717	vapor
501.67	7.0000	77.432	0.012915	584.71	675.12	2.3870	0.84721	1.1145	337.67	2.8254	25.145	0.035841	vapor
503.33	7.0000	77.114	0.012968	586.20	676.97	2.3907	0.84806	1.1145	338.33	2.8025	25.209	0.035964	vapor
505.00	7.0000	76.798	0.013021	587.68	678.83	2.3944	0.84891	1.1145	338.99	2.7799	25.273	0.036088	vapor
506.67	7.0000	76.486	0.013074	589.17	680.69	2.3981	0.84976	1.1146	339.64	2.7576	25.336	0.036212	vapor
508.33	7.0000	76.177	0.013127	590.65	682.55	2.4017	0.85062	1.1146	340.29	2.7355	25.400	0.036336	vapor
510.00	7.0000	75.870	0.013180	592.14	684.40	2.4054	0.85147	1.1147	340.94	2.7136	25.463	0.036460	vapor
511.67	7.0000	75.567	0.013233	593.63	686.26	2.4090	0.85233	1.1147	341.59	2.6920	25.526	0.036584	vapor
513.33	7.0000	75.266	0.013286	595.12	688.12	2.4127	0.85318	1.1148	342.24	2.6706	25.590	0.036708	vapor
515.00	7.0000	74.969	0.013339	596.60	689.98	2.4163	0.85404	1.1149	342.88	2.6494	25.653	0.036833	vapor
516.67	7.0000	74.674	0.013392	598.09	691.84	2.4199	0.85490	1.1150	343.52	2.6285	25.716	0.036957	vapor
518.33	7.0000	74.382	0.013444	599.58	693.69	2.4235	0.85575	1.1152	344.16	2.6078	25.779	0.037082	vapor
520.00	7.0000	74.092	0.013497	601.08	695.55	2.4270	0.85661	1.1153	344.79	2.5873	25.842	0.037206	vapor
521.67	7.0000	73.805	0.013549	602.57	697.41	2.4306	0.85747	1.1155	345.43	2.5670	25.905	0.037331	vapor
523.33	7.0000	73.521	0.013602	604.06	699.27	2.4342	0.85833	1.1156	346.06	2.5470	25.968	0.037456	vapor
525.00	7.0000	73.239	0.013654	605.55	701.13	2.4377	0.85919	1.1158	346.69	2.5271	26.031	0.037581	vapor
526.67	7.0000	72.960	0.013706	607.05	702.99	2.4413	0.86004	1.1160	347.32	2.5075	26.094	0.037706	vapor
528.33	7.0000	72.683	0.013758	608.54	704.85	2.4448	0.86090	1.1162	347.94	2.4881	26.157	0.037831	vapor
530.00	7.0000	72.408	0.013811	610.04	706.71	2.4483	0.86176	1.1164	348.56	2.4689	26.220	0.037956	vapor
531.67	7.0000	72.137	0.013863	611.53	708.57	2.4518	0.86262	1.1166	349.18	2.4498	26.282	0.038081	vapor
533.33	7.0000	71.867	0.013915	613.03	710.43	2.4553	0.86348	1.1168	349.80	2.4310	26.345	0.038207	vapor
535.00	7.0000	71.600	0.013967	614.53	712.29	2.4588	0.86434	1.1171	350.42	2.4124	26.407	0.038332	vapor
536.67	7.0000	71.335	0.014018	616.03	714.16	2.4623	0.86520	1.1173	351.04	2.3939	26.470	0.038458	vapor
538.33	7.0000	71.072	0.014070	617.53	716.02	2.4657	0.86605	1.1176	351.65	2.3757	26.532	0.038583	vapor
540.00	7.0000	70.812	0.014122	619.03	717.88	2.4692	0.86691	1.1178	352.26	2.3576	26.595	0.038709	vapor
541.67	7.0000	70.553	0.014174	620.53	719.74	2.4726	0.86777	1.1181	352.87	2.3397	26.657	0.038834	vapor
543.33	7.0000	70.297	0.014225	622.03	721.61	2.4761	0.86862	1.1184	353.48	2.3220	26.719	0.038960	vapor
545.00	7.0000	70.043	0.014277	623.53	723.47	2.4795	0.86948	1.1187	354.08	2.3045	26.781	0.039086	vapor
546.67	7.0000	69.792	0.014328	625.04	725.34	2.4829	0.87034	1.1190	354.69	2.2872	26.843	0.039212	vapor
548.33	7.0000	69.542	0.014380	626.54	727.20	2.4863	0.87119	1.1193	355.29	2.2700	26.905	0.039337	vapor
550.00	7.0000	69.294	0.014431	628.05	729.07	2.4897	0.87205	1.1196	355.89	2.2530	26.967	0.039463	vapor
551.67	7.0000	69.048	0.014483	629.56	730.93	2.4931	0.87290	1.1199	356.48	2.2362	27.029	0.039589	vapor
553.33	7.0000	68.805	0.014534	631.06	732.80	2.4965	0.87376	1.1202	357.08	2.2195	27.091	0.039715	vapor
555.00	7.0000	68.563	0.014585	632.57	734.67	2.4998	0.87461	1.1206	357.68	2.2030	27.153	0.039841	vapor
