Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	0.0000	0.0000	infinite	451.67	508.34	-2.2722e+05	0.65692	0.84585	270.14	undefined	14.994	0.016719	vapor
301.67	0.0000	0.0000	infinite	452.76	509.75	-2.2722e+05	0.65865	0.84757	270.81	undefined	15.073	0.016847	vapor
303.33	0.0000	0.0000	infinite	453.86	511.17	-2.2722e+05	0.66037	0.84930	271.48	undefined	15.153	0.016976	vapor
305.00	0.0000	0.0000	infinite	454.96	512.59	-2.2722e+05	0.66209	0.85101	272.15	undefined	15.232	0.017105	vapor
306.67	0.0000	0.0000	infinite	456.07	514.00	-2.2722e+05	0.66380	0.85272	272.81	undefined	15.312	0.017233	vapor
308.33	0.0000	0.0000	infinite	457.18	515.43	-2.2722e+05	0.66550	0.85443	273.47	undefined	15.391	0.017362	vapor
310.00	0.0000	0.0000	infinite	458.29	516.85	-2.2722e+05	0.66720	0.85613	274.14	undefined	15.470	0.017492	vapor
311.67	0.0000	0.0000	infinite	459.40	518.28	-2.2722e+05	0.66890	0.85782	274.79	undefined	15.549	0.017621	vapor
313.33	0.0000	0.0000	infinite	460.52	519.71	-2.2722e+05	0.67058	0.85951	275.45	undefined	15.628	0.017751	vapor
315.00	0.0000	0.0000	infinite	461.64	521.15	-2.2722e+05	0.67226	0.86119	276.11	undefined	15.707	0.017881	vapor
316.67	0.0000	0.0000	infinite	462.76	522.58	-2.2722e+05	0.67394	0.86286	276.76	undefined	15.786	0.018011	vapor
318.33	0.0000	0.0000	infinite	463.88	524.02	-2.2722e+05	0.67561	0.86453	277.41	undefined	15.865	0.018141	vapor
320.00	0.0000	0.0000	infinite	465.01	525.46	-2.2722e+05	0.67727	0.86620	278.06	undefined	15.944	0.018271	vapor
321.67	0.0000	0.0000	infinite	466.14	526.91	-2.2722e+05	0.67893	0.86785	278.71	undefined	16.022	0.018402	vapor
323.33	0.0000	0.0000	infinite	467.27	528.36	-2.2722e+05	0.68058	0.86951	279.36	undefined	16.101	0.018532	vapor
325.00	0.0000	0.0000	infinite	468.41	529.81	-2.2722e+05	0.68223	0.87115	280.01	undefined	16.179	0.018663	vapor
326.67	0.0000	0.0000	infinite	469.55	531.26	-2.2722e+05	0.68387	0.87279	280.65	undefined	16.258	0.018794	vapor
328.33	0.0000	0.0000	infinite	470.69	532.72	-2.2722e+05	0.68550	0.87442	281.29	undefined	16.336	0.018925	vapor
330.00	0.0000	0.0000	infinite	471.83	534.18	-2.2722e+05	0.68713	0.87605	281.93	undefined	16.414	0.019056	vapor
331.67	0.0000	0.0000	infinite	472.98	535.64	-2.2722e+05	0.68875	0.87767	282.57	undefined	16.492	0.019188	vapor
333.33	0.0000	0.0000	infinite	474.13	537.10	-2.2722e+05	0.69037	0.87929	283.21	undefined	16.571	0.019319	vapor
335.00	0.0000	0.0000	infinite	475.28	538.57	-2.2722e+05	0.69198	0.88090	283.85	undefined	16.649	0.019451	vapor
336.67	0.0000	0.0000	infinite	476.43	540.04	-2.2722e+05	0.69358	0.88250	284.48	undefined	16.726	0.019583	vapor
338.33	0.0000	0.0000	infinite	477.59	541.51	-2.2722e+05	0.69518	0.88410	285.11	undefined	16.804	0.019715	vapor
340.00	0.0000	0.0000	infinite	478.75	542.99	-2.2722e+05	0.69677	0.88569	285.75	undefined	16.882	0.019847	vapor
341.67	0.0000	0.0000	infinite	479.91	544.46	-2.2722e+05	0.69835	0.88728	286.38	undefined	16.960	0.019979	vapor
343.33	0.0000	0.0000	infinite	481.08	545.94	-2.2722e+05	0.69993	0.88886	287.00	undefined	17.037	0.020112	vapor
345.00	0.0000	0.0000	infinite	482.25	547.43	-2.2722e+05	0.70151	0.89043	287.63	undefined	17.115	0.020244	vapor
346.67	0.0000	0.0000	infinite	483.42	548.91	-2.2722e+05	0.70308	0.89200	288.26	undefined	17.192	0.020377	vapor
348.33	0.0000	0.0000	infinite	484.59	550.40	-2.2722e+05	0.70464	0.89356	288.88	undefined	17.270	0.020510	vapor
350.00	0.0000	0.0000	infinite	485.77	551.89	-2.2722e+05	0.70620	0.89512	289.50	undefined	17.347	0.020643	vapor
351.67	0.0000	0.0000	infinite	486.94	553.38	-2.2722e+05	0.70775	0.89667	290.13	undefined	17.424	0.020776	vapor
353.33	0.0000	0.0000	infinite	488.13	554.88	-2.2722e+05	0.70929	0.89822	290.75	undefined	17.501	0.020909	vapor
355.00	0.0000	0.0000	infinite	489.31	556.38	-2.2722e+05	0.71083	0.89976	291.36	undefined	17.578	0.021042	vapor
356.67	0.0000	0.0000	infinite	490.49	557.88	-2.2722e+05	0.71236	0.90129	291.98	undefined	17.655	0.021175	vapor
358.33	0.0000	0.0000	infinite	491.68	559.38	-2.2722e+05	0.71389	0.90282	292.60	undefined	17.732	0.021309	vapor
360.00	0.0000	0.0000	infinite	492.87	560.89	-2.2722e+05	0.71541	0.90434	293.21	undefined	17.808	0.021442	vapor
361.67	0.0000	0.0000	infinite	494.07	562.40	-2.2722e+05	0.71693	0.90585	293.82	undefined	17.885	0.021576	vapor
363.33	0.0000	0.0000	infinite	495.26	563.91	-2.2722e+05	0.71844	0.90737	294.44	undefined	17.961	0.021710	vapor
365.00	0.0000	0.0000	infinite	496.46	565.42	-2.2722e+05	0.71995	0.90887	295.05	undefined	18.038	0.021844	vapor
366.67	0.0000	0.0000	infinite	497.66	566.94	-2.2722e+05	0.72144	0.91037	295.66	undefined	18.114	0.021978	vapor
368.33	0.0000	0.0000	infinite	498.87	568.45	-2.2722e+05	0.72294	0.91186	296.26	undefined	18.190	0.022112	vapor
370.00	0.0000	0.0000	infinite	500.07	569.98	-2.2722e+05	0.72443	0.91335	296.87	undefined	18.267	0.022246	vapor
371.67	0.0000	0.0000	infinite	501.28	571.50	-2.2722e+05	0.72591	0.91483	297.47	undefined	18.343	0.022380	vapor
373.33	0.0000	0.0000	infinite	502.49	573.02	-2.2722e+05	0.72739	0.91631	298.08	undefined	18.419	0.022514	vapor
