Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	16.000	874.95	0.0011429	233.19	251.48	1.1313	0.92186	2.2953	532.88	0.44851	86.701	0.10009	liquid
301.67	16.000	865.61	0.0011553	236.84	255.33	1.1441	0.92250	2.3217	521.97	0.48493	84.622	0.098468	liquid
303.33	16.000	856.06	0.0011681	240.53	259.22	1.1570	0.92323	2.3498	511.06	0.52372	82.571	0.096851	liquid
305.00	16.000	846.29	0.0011816	244.26	263.16	1.1699	0.92400	2.3796	500.15	0.56504	80.547	0.095238	supercritical
306.67	16.000	836.28	0.0011958	248.02	267.15	1.1830	0.92481	2.4111	489.25	0.60907	78.546	0.093630	supercritical
308.33	16.000	826.03	0.0012106	251.83	271.20	1.1961	0.92565	2.4444	478.38	0.65602	76.569	0.092026	supercritical
310.00	16.000	815.52	0.0012262	255.68	275.30	1.2094	0.92650	2.4795	467.55	0.70607	74.613	0.090427	supercritical
311.67	16.000	804.74	0.0012426	259.58	279.47	1.2228	0.92740	2.5165	456.77	0.75944	72.678	0.088832	supercritical
313.33	16.000	793.67	0.0012600	263.53	283.69	1.2363	0.92835	2.5555	446.07	0.81637	70.762	0.087244	supercritical
315.00	16.000	782.31	0.0012783	267.53	287.99	1.2500	0.92938	2.5967	435.46	0.87712	68.865	0.085662	supercritical
316.67	16.000	770.64	0.0012976	271.59	292.35	1.2638	0.93052	2.6402	424.96	0.94197	66.985	0.084088	supercritical
318.33	16.000	758.65	0.0013181	275.70	296.79	1.2778	0.93178	2.6862	414.58	1.0112	65.124	0.082523	supercritical
320.00	16.000	746.32	0.0013399	279.87	301.30	1.2919	0.93317	2.7347	404.35	1.0850	63.279	0.080967	supercritical
321.67	16.000	733.65	0.0013630	284.10	305.90	1.3063	0.93471	2.7853	394.30	1.1636	61.452	0.079423	supercritical
323.33	16.000	720.64	0.0013877	288.39	310.59	1.3208	0.93638	2.8377	384.44	1.2472	59.644	0.077891	supercritical
325.00	16.000	707.28	0.0014139	292.74	315.36	1.3355	0.93818	2.8910	374.83	1.3356	57.856	0.076373	supercritical
326.67	16.000	693.58	0.0014418	297.16	320.23	1.3505	0.94011	2.9443	365.50	1.4288	56.091	0.074870	supercritical
328.33	16.000	679.56	0.0014715	301.63	325.18	1.3656	0.94211	2.9967	356.51	1.5266	54.353	0.073386	supercritical
330.00	16.000	665.24	0.0015032	306.16	330.21	1.3809	0.94413	3.0473	347.91	1.6289	52.645	0.071922	supercritical
331.67	16.000	650.66	0.0015369	310.74	335.33	1.3964	0.94604	3.0952	339.75	1.7353	50.973	0.070481	supercritical
333.33	16.000	635.86	0.0015727	315.37	340.53	1.4120	0.94769	3.1391	332.07	1.8458	49.341	0.069064	supercritical
335.00	16.000	620.90	0.0016106	320.03	345.79	1.4277	0.94890	3.1772	324.91	1.9597	47.755	0.067673	supercritical
336.67	16.000	605.83	0.0016506	324.71	351.12	1.4436	0.94953	3.2075	318.30	2.0762	46.221	0.066307	supercritical
338.33	16.000	590.73	0.0016928	329.40	356.48	1.4595	0.94948	3.2277	312.28	2.1941	44.745	0.064966	supercritical
340.00	16.000	575.69	0.0017371	334.08	361.87	1.4754	0.94871	3.2360	306.85	2.3123	43.333	0.063650	supercritical
341.67	16.000	560.80	0.0017832	338.73	367.26	1.4912	0.94726	3.2316	302.02	2.4294	41.993	0.062359	supercritical
343.33	16.000	546.16	0.0018310	343.34	372.63	1.5069	0.94524	3.2147	297.76	2.5443	40.727	0.061097	supercritical
345.00	16.000	531.84	0.0018803	347.88	377.97	1.5224	0.94275	3.1862	294.04	2.6558	39.539	0.059865	supercritical
346.67	16.000	517.92	0.0019308	352.36	383.25	1.5376	0.93995	3.1471	290.84	2.7629	38.430	0.058666	supercritical
348.33	16.000	504.45	0.0019824	356.74	388.45	1.5526	0.93696	3.0992	288.10	2.8646	37.400	0.057504	supercritical
350.00	16.000	491.48	0.0020347	361.02	393.57	1.5673	0.93388	3.0439	285.80	2.9602	36.448	0.056382	supercritical
351.67	16.000	479.05	0.0020875	365.20	398.60	1.5816	0.93079	2.9832	283.89	3.0491	35.572	0.055301	supercritical
353.33	16.000	467.16	0.0021406	369.27	403.52	1.5956	0.92774	2.9187	282.33	3.1310	34.767	0.054264	supercritical
355.00	16.000	455.83	0.0021938	373.22	408.33	1.6091	0.92474	2.8519	281.10	3.2058	34.029	0.053273	supercritical
356.67	16.000	445.04	0.0022470	377.07	413.02	1.6223	0.92181	2.7841	280.14	3.2735	33.354	0.052328	supercritical
358.33	16.000	434.79	0.0023000	380.81	417.61	1.6352	0.91895	2.7164	279.43	3.3343	32.737	0.051430	supercritical
360.00	16.000	425.06	0.0023526	384.44	422.08	1.6476	0.91615	2.6496	278.94	3.3885	32.174	0.050579	supercritical
361.67	16.000	415.83	0.0024048	387.96	426.44	1.6597	0.91341	2.5844	278.64	3.4364	31.661	0.049775	supercritical
363.33	16.000	407.07	0.0024566	391.39	430.69	1.6714	0.91073	2.5212	278.50	3.4785	31.192	0.049015	supercritical
365.00	16.000	398.75	0.0025078	394.72	434.84	1.6828	0.90812	2.4603	278.51	3.5149	30.763	0.048300	supercritical
366.67	16.000	390.86	0.0025585	397.96	438.90	1.6939	0.90558	2.4019	278.65	3.5462	30.372	0.047627	supercritical
368.33	16.000	383.36	0.0026085	401.12	442.85	1.7047	0.90310	2.3462	278.89	3.5727	30.015	0.046994	supercritical
370.00	16.000	376.23	0.0026579	404.19	446.72	1.7151	0.90070	2.2931	279.24	3.5948	29.688	0.046400	supercritical
371.67	16.000	369.45	0.0027067	407.19	450.50	1.7253	0.89837	2.2426	279.66	3.6128	29.389	0.045843	supercritical
373.33	16.000	362.99	0.0027549	410.12	454.19	1.7353	0.89612	2.1948	280.16	3.6270	29.116	0.045321	supercritical
375.00	16.000	356.84	0.0028024	412.98	457.81	1.7449	0.89395	2.1494	280.71	3.6378	28.865	0.044833	supercritical
376.67	16.000	350.97	0.0028493	415.77	461.36	1.7544	0.89187	2.1065	281.33	3.6454	28.635	0.044375	supercritical
378.33	16.000	345.36	0.0028956	418.51	464.84	1.7636	0.88986	2.0659	281.98	3.6501	28.425	0.043947	supercritical
380.00	16.000	339.99	0.0029412	421.19	468.25	1.7726	0.88794	2.0274	282.68	3.6522	28.232	0.043546	supercritical
381.67	16.000	334.86	0.0029863	423.82	471.60	1.7814	0.88610	1.9911	283.41	3.6519	28.055	0.043172	supercritical
383.33	16.000	329.94	0.0030308	426.39	474.89	1.7900	0.88435	1.9567	284.18	3.6493	27.892	0.042822	supercritical
385.00	16.000	325.23	0.0030748	428.92	478.12	1.7984	0.88267	1.9242	284.96	3.6448	27.744	0.042495	supercritical
386.67	16.000	320.70	0.0031182	431.41	481.30	1.8066	0.88107	1.8934	285.77	3.6385	27.607	0.042190	supercritical
388.33	16.000	316.35	0.0031610	433.86	484.43	1.8147	0.87956	1.8642	286.60	3.6305	27.482	0.041905	supercritical
390.00	16.000	312.17	0.0032034	436.26	487.52	1.8226	0.87811	1.8365	287.45	3.6210	27.367	0.041639	supercritical
391.67	16.000	308.14	0.0032453	438.63	490.55	1.8304	0.87675	1.8103	288.31	3.6101	27.262	0.041391	supercritical
393.33	16.000	304.26	0.0032867	440.96	493.55	1.8380	0.87545	1.7855	289.18	3.5981	27.166	0.041160	supercritical
395.00	16.000	300.52	0.0033276	443.27	496.51	1.8455	0.87422	1.7619	290.06	3.5849	27.078	0.040945	supercritical
396.67	16.000	296.91	0.0033680	445.54	499.42	1.8529	0.87307	1.7394	290.94	3.5706	26.998	0.040745	supercritical
398.33	16.000	293.42	0.0034081	447.78	502.31	1.8602	0.87197	1.7181	291.84	3.5555	26.925	0.040558	supercritical
400.00	16.000	290.05	0.0034477	449.99	505.15	1.8673	0.87094	1.6979	292.74	3.5395	26.858	0.040385	supercritical
401.67	16.000	286.79	0.0034869	452.18	507.97	1.8743	0.86997	1.6786	293.64	3.5228	26.798	0.040224	supercritical
403.33	16.000	283.63	0.0035257	454.34	510.75	1.8812	0.86907	1.6602	294.55	3.5055	26.744	0.040075	supercritical
405.00	16.000	280.57	0.0035641	456.47	513.50	1.8880	0.86821	1.6427	295.46	3.4875	26.695	0.039937	supercritical
406.67	16.000	277.61	0.0036022	458.59	516.22	1.8947	0.86742	1.6260	296.37	3.4690	26.651	0.039810	supercritical
408.33	16.000	274.73	0.0036399	460.68	518.92	1.9014	0.86667	1.6100	297.28	3.4500	26.611	0.039692	supercritical
410.00	16.000	271.94	0.0036772	462.76	521.59	1.9079	0.86598	1.5948	298.19	3.4306	26.577	0.039584	supercritical
411.67	16.000	269.23	0.0037143	464.81	524.24	1.9143	0.86534	1.5803	299.10	3.4108	26.546	0.039484	supercritical
413.33	16.000	266.60	0.0037510	466.84	526.86	1.9207	0.86474	1.5664	300.01	3.3906	26.519	0.039392	supercritical
415.00	16.000	264.04	0.0037874	468.86	529.46	1.9270	0.86419	1.5531	300.92	3.3702	26.496	0.039309	supercritical
416.67	16.000	261.55	0.0038234	470.86	532.04	1.9332	0.86369	1.5404	301.82	3.3495	26.476	0.039233	supercritical
418.33	16.000	259.12	0.0038592	472.85	534.59	1.9393	0.86322	1.5282	302.73	3.3286	26.460	0.039164	supercritical
420.00	16.000	256.76	0.0038947	474.82	537.13	1.9453	0.86280	1.5165	303.63	3.3074	26.447	0.039101	supercritical
421.67	16.000	254.46	0.0039299	476.77	539.65	1.9513	0.86242	1.5053	304.53	3.2862	26.436	0.039045	supercritical
423.33	16.000	252.21	0.0039649	478.71	542.15	1.9572	0.86207	1.4945	305.43	3.2647	26.428	0.038995	supercritical
425.00	16.000	250.03	0.0039996	480.64	544.63	1.9631	0.86177	1.4842	306.33	3.2432	26.423	0.038950	supercritical
426.67	16.000	247.89	0.0040340	482.55	547.10	1.9689	0.86149	1.4743	307.22	3.2216	26.421	0.038911	supercritical
428.33	16.000	245.81	0.0040682	484.45	549.55	1.9746	0.86126	1.4648	308.11	3.1999	26.420	0.038877	supercritical
430.00	16.000	243.77	0.0041022	486.34	551.98	1.9803	0.86105	1.4557	309.00	3.1781	26.422	0.038848	supercritical
431.67	16.000	241.79	0.0041359	488.22	554.40	1.9859	0.86088	1.4469	309.88	3.1564	26.426	0.038823	supercritical
433.33	16.000	239.85	0.0041694	490.09	556.80	1.9915	0.86074	1.4385	310.76	3.1346	26.432	0.038803	supercritical
435.00	16.000	237.95	0.0042026	491.95	559.19	1.9970	0.86062	1.4303	311.63	3.1128	26.440	0.038787	supercritical
436.67	16.000	236.09	0.0042357	493.80	561.57	2.0024	0.86054	1.4225	312.50	3.0910	26.449	0.038774	supercritical
438.33	16.000	234.27	0.0042685	495.64	563.93	2.0078	0.86049	1.4150	313.37	3.0692	26.461	0.038765	supercritical
440.00	16.000	232.49	0.0043012	497.47	566.29	2.0132	0.86046	1.4077	314.24	3.0475	26.473	0.038759	supercritical
441.67	16.000	230.75	0.0043336	499.29	568.63	2.0185	0.86045	1.4007	315.10	3.0258	26.488	0.038756	supercritical
443.33	16.000	229.05	0.0043659	501.10	570.96	2.0237	0.86047	1.3940	315.95	3.0042	26.504	0.038756	supercritical
445.00	16.000	227.38	0.0043979	502.91	573.27	2.0290	0.86052	1.3875	316.81	2.9826	26.521	0.038759	supercritical
446.67	16.000	225.74	0.0044298	504.70	575.58	2.0341	0.86059	1.3812	317.66	2.9611	26.540	0.038763	supercritical
448.33	16.000	224.14	0.0044615	506.49	577.88	2.0393	0.86068	1.3752	318.50	2.9397	26.560	0.038769	supercritical
450.00	16.000	222.57	0.0044930	508.28	580.17	2.0444	0.86079	1.3694	319.34	2.9184	26.581	0.038775	supercritical
451.67	16.000	221.02	0.0045244	510.05	582.44	2.0494	0.86092	1.3637	320.18	2.8971	26.603	0.038781	supercritical
453.33	16.000	219.51	0.0045556	511.82	584.71	2.0544	0.86108	1.3583	321.01	2.8760	26.627	0.038784	supercritical
455.00	16.000	218.03	0.0045866	513.58	586.97	2.0594	0.86125	1.3530	321.84	2.8550	26.651	0.038777	supercritical
456.67	16.000	216.57	0.0046175	515.34	589.22	2.0643	0.86144	1.3480	322.67	2.8340	26.677	0.038733	supercritical
458.33	16.000	215.14	0.0046482	517.09	591.46	2.0692	0.86165	1.3431	323.49	2.8132	26.704	0.038784	supercritical
460.00	16.000	213.73	0.0046788	518.84	593.70	2.0741	0.86188	1.3383	324.31	2.7925	26.731	0.038836	supercritical
461.67	16.000	212.35	0.0047092	520.58	595.93	2.0789	0.86213	1.3337	325.12	2.7719	26.759	0.038891	supercritical
463.33	16.000	210.99	0.0047395	522.31	598.14	2.0837	0.86239	1.3293	325.93	2.7515	26.789	0.038947	supercritical
465.00	16.000	209.66	0.0047696	524.04	600.36	2.0885	0.86266	1.3250	326.74	2.7312	26.819	0.039005	supercritical
466.67	16.000	208.35	0.0047996	525.77	602.56	2.0932	0.86296	1.3209	327.54	2.7110	26.850	0.039064	supercritical
468.33	16.000	207.06	0.0048295	527.49	604.76	2.0979	0.86326	1.3169	328.34	2.6909	26.881	0.039124	supercritical
470.00	16.000	205.80	0.0048592	529.20	606.95	2.1026	0.86359	1.3130	329.14	2.6710	26.914	0.039187	supercritical
471.67	16.000	204.55	0.0048888	530.92	609.14	2.1073	0.86392	1.3092	329.93	2.6512	26.947	0.039250	supercritical
473.33	16.000	203.32	0.0049183	532.62	611.31	2.1119	0.86427	1.3056	330.72	2.6315	26.981	0.039315	supercritical
475.00	16.000	202.12	0.0049476	534.33	613.49	2.1165	0.86463	1.3021	331.50	2.6120	27.015	0.039381	supercritical
476.67	16.000	200.93	0.0049769	536.03	615.66	2.1210	0.86501	1.2987	332.29	2.5926	27.050	0.039449	supercritical
478.33	16.000	199.76	0.0050060	537.72	617.82	2.1255	0.86540	1.2954	333.06	2.5734	27.086	0.039518	supercritical
480.00	16.000	198.61	0.0050350	539.41	619.97	2.1300	0.86580	1.2922	333.84	2.5542	27.122	0.039588	supercritical
481.67	16.000	197.48	0.0050639	541.10	622.12	2.1345	0.86621	1.2891	334.61	2.5353	27.159	0.039659	supercritical
483.33	16.000	196.36	0.0050926	542.79	624.27	2.1390	0.86663	1.2861	335.38	2.5165	27.196	0.039731	supercritical
485.00	16.000	195.26	0.0051213	544.47	626.41	2.1434	0.86706	1.2832	336.14	2.4978	27.234	0.039805	supercritical
486.67	16.000	194.18	0.0051499	546.15	628.55	2.1478	0.86750	1.2804	336.90	2.4793	27.272	0.039879	supercritical
488.33	16.000	193.11	0.0051783	547.83	630.68	2.1521	0.86796	1.2776	337.66	2.4609	27.311	0.039955	supercritical
