Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	11.000	818.31	0.0012220	245.75	259.19	1.1766	0.94050	2.7802	440.09	0.83619	74.925	0.090610	liquid
301.67	11.000	804.78	0.0012426	250.23	263.89	1.1923	0.94398	2.8690	425.15	0.92025	72.444	0.088643	liquid
303.33	11.000	790.49	0.0012650	254.84	268.76	1.2084	0.94786	2.9704	410.01	1.0144	69.943	0.086657	liquid
305.00	11.000	775.36	0.0012897	259.62	273.80	1.2250	0.95218	3.0873	394.66	1.1203	67.413	0.084652	supercritical
306.67	11.000	759.25	0.0013171	264.57	279.06	1.2421	0.95702	3.2239	379.13	1.2405	64.845	0.082631	supercritical
308.33	11.000	741.99	0.0013477	269.74	284.56	1.2600	0.96245	3.3861	363.40	1.3779	62.227	0.080599	supercritical
310.00	11.000	723.38	0.0013824	275.16	290.37	1.2788	0.96855	3.5818	347.48	1.5365	59.546	0.078563	supercritical
311.67	11.000	703.15	0.0014222	280.88	296.53	1.2986	0.97533	3.8200	331.41	1.7211	56.786	0.076535	supercritical
313.33	11.000	680.98	0.0014685	286.97	303.13	1.3197	0.98268	4.1086	315.27	1.9368	53.929	0.074529	supercritical
315.00	11.000	656.53	0.0015232	293.50	310.25	1.3424	0.99044	4.4510	299.27	2.1886	50.967	0.072560	supercritical
316.67	11.000	629.51	0.0015885	300.52	317.99	1.3669	0.99850	4.8446	283.78	2.4809	47.904	0.070645	supercritical
318.33	11.000	599.75	0.0016674	308.08	326.42	1.3935	1.0067	5.2797	269.31	2.8163	44.764	0.068792	supercritical
320.00	11.000	567.35	0.0017626	316.20	335.59	1.4222	1.0143	5.7105	256.44	3.1923	41.606	0.066949	supercritical
321.67	11.000	533.16	0.0018756	324.75	345.39	1.4527	1.0202	6.0093	245.84	3.5912	38.546	0.064926	supercritical
323.33	11.000	498.94	0.0020042	333.44	355.48	1.4840	1.0236	6.0629	238.09	3.9828	35.747	0.062574	supercritical
325.00	11.000	466.63	0.0021430	341.88	365.46	1.5148	1.0231	5.8665	233.16	4.3417	33.335	0.059929	supercritical
326.67	11.000	437.57	0.0022853	349.80	374.94	1.5439	1.0179	5.4888	230.47	4.6535	31.353	0.057128	supercritical
328.33	11.000	412.31	0.0024254	357.03	383.70	1.5707	1.0088	5.0266	229.44	4.9090	29.772	0.054350	supercritical
330.00	11.000	390.66	0.0025598	363.54	391.70	1.5950	0.99755	4.5738	229.52	5.1126	28.522	0.051778	supercritical
331.67	11.000	372.12	0.0026873	369.42	398.98	1.6170	0.98526	4.1700	230.29	5.2725	27.531	0.049486	supercritical
333.33	11.000	356.15	0.0028078	374.75	405.63	1.6370	0.97287	3.8231	231.47	5.3964	26.736	0.047479	supercritical
335.00	11.000	342.25	0.0029218	379.61	411.75	1.6553	0.96094	3.5288	232.90	5.4907	26.091	0.045733	supercritical
336.67	11.000	330.04	0.0030299	384.09	417.42	1.6722	0.94978	3.2798	234.48	5.5606	25.561	0.044218	supercritical
338.33	11.000	319.22	0.0031326	388.25	422.71	1.6878	0.93953	3.0687	236.13	5.6106	25.121	0.042900	supercritical
340.00	11.000	309.54	0.0032306	392.13	427.67	1.7025	0.93022	2.8887	237.81	5.6442	24.753	0.041752	supercritical
341.67	11.000	300.81	0.0033243	395.78	432.35	1.7162	0.92180	2.7343	239.50	5.6643	24.442	0.040747	supercritical
343.33	11.000	292.89	0.0034143	399.24	436.79	1.7292	0.91421	2.6008	241.19	5.6732	24.178	0.039865	supercritical
345.00	11.000	285.65	0.0035008	402.52	441.03	1.7415	0.90737	2.4845	242.86	5.6729	23.952	0.039088	supercritical
