Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	23.000	924.31	0.0010819	221.81	246.69	1.0895	0.91649	2.0440	619.91	0.21232	98.945	0.10988	liquid
301.67	23.000	917.08	0.0010904	225.02	250.10	1.1008	0.91616	2.0536	611.16	0.23098	97.006	0.10845	liquid
303.33	23.000	909.77	0.0010992	228.25	253.53	1.1121	0.91588	2.0635	602.46	0.25038	95.106	0.10704	liquid
305.00	23.000	902.38	0.0011082	231.49	256.98	1.1235	0.91562	2.0738	593.81	0.27056	93.244	0.10563	supercritical
306.67	23.000	894.91	0.0011174	234.75	260.45	1.1348	0.91538	2.0844	585.21	0.29156	91.419	0.10423	supercritical
308.33	23.000	887.36	0.0011269	238.01	263.93	1.1461	0.91515	2.0952	576.68	0.31341	89.630	0.10285	supercritical
310.00	23.000	879.73	0.0011367	241.29	267.43	1.1575	0.91491	2.1063	568.20	0.33614	87.875	0.10148	supercritical
311.67	23.000	872.01	0.0011468	244.58	270.95	1.1688	0.91466	2.1176	559.78	0.35977	86.153	0.10012	supercritical
313.33	23.000	864.21	0.0011571	247.88	274.49	1.1801	0.91440	2.1291	551.44	0.38433	84.464	0.098771	supercritical
315.00	23.000	856.31	0.0011678	251.19	278.05	1.1914	0.91414	2.1408	543.16	0.40984	82.806	0.097436	supercritical
316.67	23.000	848.34	0.0011788	254.51	281.63	1.2028	0.91388	2.1526	534.96	0.43634	81.179	0.096113	supercritical
318.33	23.000	840.27	0.0011901	257.85	285.22	1.2141	0.91365	2.1646	526.84	0.46384	79.582	0.094803	supercritical
320.00	23.000	832.11	0.0012018	261.20	288.84	1.2254	0.91344	2.1767	518.80	0.49238	78.013	0.093506	supercritical
321.67	23.000	823.87	0.0012138	264.56	292.48	1.2368	0.91328	2.1890	510.86	0.52197	76.474	0.092223	supercritical
323.33	23.000	815.54	0.0012262	267.94	296.14	1.2481	0.91318	2.2015	503.01	0.55264	74.962	0.090954	supercritical
325.00	23.000	807.12	0.0012390	271.32	299.82	1.2595	0.91313	2.2141	495.28	0.58442	73.477	0.089699	supercritical
326.67	23.000	798.62	0.0012522	274.72	303.52	1.2708	0.91315	2.2269	487.66	0.61733	72.020	0.088459	supercritical
328.33	23.000	790.03	0.0012658	278.13	307.24	1.2822	0.91321	2.2399	480.16	0.65140	70.588	0.087234	supercritical
330.00	23.000	781.35	0.0012798	281.55	310.99	1.2936	0.91332	2.2529	472.79	0.68662	69.183	0.086024	supercritical
331.67	23.000	772.59	0.0012943	284.98	314.75	1.3049	0.91346	2.2659	465.57	0.72300	67.804	0.084830	supercritical
333.33	23.000	763.76	0.0013093	288.42	318.54	1.3163	0.91362	2.2789	458.50	0.76053	66.451	0.083652	supercritical
335.00	23.000	754.85	0.0013248	291.88	322.35	1.3277	0.91377	2.2916	451.59	0.79919	65.123	0.082490	supercritical
336.67	23.000	745.87	0.0013407	295.34	326.18	1.3391	0.91392	2.3040	444.85	0.83894	63.820	0.081345	supercritical
338.33	23.000	736.82	0.0013572	298.81	330.03	1.3505	0.91403	2.3158	438.28	0.87972	62.544	0.080217	supercritical
340.00	23.000	727.71	0.0013742	302.29	333.90	1.3620	0.91410	2.3270	431.91	0.92146	61.294	0.079106	supercritical
341.67	23.000	718.55	0.0013917	305.77	337.78	1.3734	0.91413	2.3374	425.72	0.96408	60.070	0.078013	supercritical
343.33	23.000	709.35	0.0014097	309.26	341.69	1.3848	0.91410	2.3467	419.74	1.0075	58.874	0.076939	supercritical
345.00	23.000	700.12	0.0014283	312.75	345.61	1.3961	0.91400	2.3549	413.97	1.0516	57.704	0.075883	supercritical
346.67	23.000	690.87	0.0014475	316.24	349.54	1.4075	0.91385	2.3618	408.41	1.0963	56.563	0.074846	supercritical
348.33	23.000	681.60	0.0014671	319.73	353.48	1.4188	0.91363	2.3674	403.06	1.1415	55.451	0.073829	supercritical
350.00	23.000	672.33	0.0014874	323.22	357.43	1.4302	0.91335	2.3714	397.92	1.1871	54.367	0.072831	supercritical
351.67	23.000	663.08	0.0015081	326.69	361.38	1.4414	0.91303	2.3739	393.00	1.2330	53.314	0.071855	supercritical
353.33	23.000	653.85	0.0015294	330.16	365.34	1.4527	0.91266	2.3748	388.30	1.2790	52.290	0.070899	supercritical
355.00	23.000	644.67	0.0015512	333.62	369.30	1.4638	0.91225	2.3741	383.81	1.3250	51.297	0.069964	supercritical
356.67	23.000	635.53	0.0015735	337.06	373.25	1.4749	0.91181	2.3718	379.54	1.3709	50.335	0.069051	supercritical
358.33	23.000	626.46	0.0015963	340.49	377.20	1.4860	0.91134	2.3678	375.48	1.4166	49.404	0.068159	supercritical
360.00	23.000	617.46	0.0016195	343.89	381.14	1.4970	0.91086	2.3622	371.63	1.4618	48.505	0.067289	supercritical
361.67	23.000	608.55	0.0016432	347.28	385.07	1.5079	0.91037	2.3550	368.00	1.5066	47.637	0.066441	supercritical
363.33	23.000	599.75	0.0016674	350.64	388.99	1.5187	0.90987	2.3463	364.58	1.5506	46.801	0.065614	supercritical
365.00	23.000	591.05	0.0016919	353.98	392.89	1.5294	0.90935	2.3361	361.37	1.5939	45.996	0.064809	supercritical
366.67	23.000	582.47	0.0017168	357.29	396.78	1.5400	0.90882	2.3246	358.36	1.6363	45.222	0.064026	supercritical
368.33	23.000	574.02	0.0017421	360.57	400.64	1.5505	0.90828	2.3119	355.55	1.6776	44.479	0.063265	supercritical
370.00	23.000	565.71	0.0017677	363.83	404.48	1.5609	0.90772	2.2979	352.94	1.7179	43.766	0.062525	supercritical
371.67	23.000	557.55	0.0017936	367.05	408.30	1.5712	0.90715	2.2829	350.51	1.7569	43.083	0.061807	supercritical
373.33	23.000	549.53	0.0018197	370.24	412.09	1.5814	0.90656	2.2668	348.27	1.7946	42.430	0.061110	supercritical
375.00	23.000	541.67	0.0018461	373.40	415.86	1.5915	0.90594	2.2499	346.21	1.8310	41.805	0.060434	supercritical
376.67	23.000	533.97	0.0018727	376.52	419.59	1.6014	0.90531	2.2322	344.31	1.8660	41.208	0.059778	supercritical
378.33	23.000	526.44	0.0018996	379.61	423.30	1.6112	0.90465	2.2138	342.57	1.8995	40.638	0.059143	supercritical
