Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	19.000	898.63	0.0011128	227.78	248.92	1.1115	0.91832	2.1609	573.90	0.32546	92.313	0.10461	liquid
301.67	19.000	890.42	0.0011231	231.20	252.54	1.1235	0.91839	2.1772	564.15	0.35171	90.319	0.10309	liquid
303.33	19.000	882.08	0.0011337	234.64	256.18	1.1356	0.91853	2.1942	554.42	0.37931	88.360	0.10158	liquid
305.00	19.000	873.61	0.0011447	238.10	259.85	1.1476	0.91870	2.2120	544.73	0.40834	86.435	0.10008	supercritical
306.67	19.000	864.99	0.0011561	241.59	263.55	1.1597	0.91890	2.2306	535.08	0.43887	84.542	0.098586	supercritical
308.33	19.000	856.24	0.0011679	245.10	267.29	1.1719	0.91909	2.2499	525.47	0.47098	82.679	0.097102	supercritical
310.00	19.000	847.34	0.0011802	248.63	271.05	1.1841	0.91929	2.2699	515.91	0.50475	80.846	0.095628	supercritical
311.67	19.000	838.28	0.0011929	252.19	274.85	1.1963	0.91948	2.2905	506.41	0.54025	79.042	0.094163	supercritical
313.33	19.000	829.07	0.0012062	255.77	278.69	1.2086	0.91968	2.3118	496.97	0.57757	77.266	0.092708	supercritical
315.00	19.000	819.70	0.0012200	259.38	282.56	1.2209	0.91990	2.3337	487.62	0.61677	75.516	0.091264	supercritical
316.67	19.000	810.16	0.0012343	263.01	286.47	1.2333	0.92016	2.3563	478.35	0.65795	73.793	0.089830	supercritical
318.33	19.000	800.46	0.0012493	266.68	290.41	1.2457	0.92048	2.3796	469.18	0.70118	72.095	0.088407	supercritical
320.00	19.000	790.58	0.0012649	270.37	294.40	1.2582	0.92088	2.4036	460.12	0.74656	70.422	0.086996	supercritical
321.67	19.000	780.54	0.0012812	274.08	298.43	1.2707	0.92136	2.4284	451.19	0.79416	68.774	0.085598	supercritical
323.33	19.000	770.32	0.0012982	277.83	302.49	1.2834	0.92193	2.4540	442.39	0.84408	67.151	0.084212	supercritical
325.00	19.000	759.93	0.0013159	281.60	306.61	1.2960	0.92258	2.4801	433.76	0.89635	65.552	0.082841	supercritical
326.67	19.000	749.36	0.0013345	285.41	310.76	1.3088	0.92330	2.5067	425.29	0.95101	63.977	0.081485	supercritical
328.33	19.000	738.62	0.0013539	289.24	314.96	1.3216	0.92407	2.5336	417.02	1.0081	62.428	0.080144	supercritical
330.00	19.000	727.72	0.0013742	293.10	319.21	1.3345	0.92486	2.5603	408.96	1.0675	60.904	0.078819	supercritical
331.67	19.000	716.65	0.0013954	296.98	323.50	1.3475	0.92564	2.5866	401.13	1.1291	59.407	0.077511	supercritical
333.33	19.000	705.44	0.0014175	300.90	327.83	1.3605	0.92637	2.6119	393.56	1.1930	57.937	0.076221	supercritical
335.00	19.000	694.10	0.0014407	304.83	332.20	1.3736	0.92702	2.6360	386.26	1.2588	56.497	0.074949	supercritical
