Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	22.000	918.37	0.0010889	223.20	247.15	1.0946	0.91675	2.0688	609.12	0.23680	97.357	0.10863	liquid
301.67	22.000	910.93	0.0010978	226.46	250.61	1.1061	0.91650	2.0797	600.16	0.25697	95.408	0.10718	liquid
303.33	22.000	903.40	0.0011069	229.73	254.08	1.1176	0.91630	2.0909	591.24	0.27799	93.498	0.10574	liquid
305.00	22.000	895.79	0.0011163	233.02	257.58	1.1291	0.91612	2.1026	582.37	0.29990	91.625	0.10432	supercritical
306.67	22.000	888.08	0.0011260	236.32	261.09	1.1406	0.91597	2.1146	573.56	0.32276	89.787	0.10290	supercritical
308.33	22.000	880.28	0.0011360	239.63	264.63	1.1521	0.91582	2.1270	564.80	0.34659	87.985	0.10150	supercritical
310.00	22.000	872.39	0.0011463	242.96	268.18	1.1636	0.91566	2.1397	556.09	0.37144	86.216	0.10010	supercritical
311.67	22.000	864.40	0.0011569	246.31	271.76	1.1751	0.91549	2.1527	547.45	0.39733	84.480	0.098722	supercritical
313.33	22.000	856.31	0.0011678	249.67	275.36	1.1866	0.91531	2.1659	538.88	0.42431	82.775	0.097352	supercritical
315.00	22.000	848.12	0.0011791	253.04	278.98	1.1981	0.91513	2.1794	530.38	0.45240	81.101	0.095994	supercritical
316.67	22.000	839.83	0.0011907	256.43	282.62	1.2097	0.91497	2.1931	521.95	0.48163	79.456	0.094649	supercritical
318.33	22.000	831.44	0.0012027	259.83	286.29	1.2212	0.91483	2.2070	513.61	0.51204	77.841	0.093316	supercritical
320.00	22.000	822.94	0.0012152	263.25	289.98	1.2328	0.91473	2.2212	505.36	0.54367	76.254	0.091996	supercritical
321.67	22.000	814.34	0.0012280	266.68	293.69	1.2443	0.91468	2.2356	497.20	0.57654	74.695	0.090690	supercritical
323.33	22.000	805.65	0.0012412	270.12	297.43	1.2559	0.91469	2.2503	489.15	0.61070	73.163	0.089398	supercritical
325.00	22.000	796.84	0.0012550	273.59	301.19	1.2675	0.91477	2.2652	481.22	0.64616	71.658	0.088119	supercritical
326.67	22.000	787.94	0.0012691	277.06	304.98	1.2792	0.91490	2.2803	473.42	0.68297	70.180	0.086856	supercritical
328.33	22.000	778.94	0.0012838	280.55	308.80	1.2908	0.91509	2.2956	465.75	0.72114	68.727	0.085607	supercritical
330.00	22.000	769.84	0.0012990	284.06	312.63	1.3025	0.91532	2.3110	458.23	0.76068	67.300	0.084374	supercritical
331.67	22.000	760.64	0.0013147	287.58	316.50	1.3141	0.91558	2.3264	450.86	0.80158	65.900	0.083157	supercritical
333.33	22.000	751.35	0.0013309	291.11	320.39	1.3258	0.91584	2.3416	443.66	0.84383	64.525	0.081956	supercritical
335.00	22.000	741.97	0.0013478	294.65	324.30	1.3376	0.91609	2.3565	436.65	0.88737	63.176	0.080772	supercritical
336.67	22.000	732.51	0.0013652	298.21	328.24	1.3493	0.91630	2.3708	429.82	0.93215	61.853	0.079605	supercritical
338.33	22.000	722.98	0.0013832	301.78	332.21	1.3610	0.91647	2.3845	423.19	0.97810	60.557	0.078455	supercritical
340.00	22.000	713.38	0.0014018	305.35	336.19	1.3728	0.91658	2.3972	416.78	1.0251	59.288	0.077324	supercritical
