Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	4.0000	91.965	0.010874	419.35	462.85	1.9380	0.79011	1.3850	235.04	10.832	15.944	0.021011	vapor
301.67	4.0000	90.776	0.011016	421.07	465.14	1.9456	0.78668	1.3630	236.58	10.668	16.014	0.021031	vapor
303.33	4.0000	89.636	0.011156	422.77	467.39	1.9531	0.78359	1.3429	238.09	10.507	16.085	0.021059	vapor
305.00	4.0000	88.544	0.011294	424.44	469.62	1.9604	0.78082	1.3244	239.56	10.350	16.156	0.021094	vapor
306.67	4.0000	87.493	0.011429	426.09	471.81	1.9675	0.77832	1.3074	240.99	10.197	16.228	0.021135	vapor
308.33	4.0000	86.482	0.011563	427.72	473.97	1.9746	0.77606	1.2918	242.40	10.048	16.300	0.021182	vapor
310.00	4.0000	85.508	0.011695	429.34	476.11	1.9815	0.77402	1.2773	243.77	9.9017	16.372	0.021234	vapor
311.67	4.0000	84.568	0.011825	430.93	478.23	1.9883	0.77219	1.2638	245.12	9.7593	16.445	0.021291	vapor
313.33	4.0000	83.659	0.011953	432.51	480.33	1.9950	0.77054	1.2513	246.44	9.6202	16.517	0.021352	vapor
315.00	4.0000	82.781	0.012080	434.08	482.40	2.0016	0.76906	1.2397	247.73	9.4843	16.591	0.021417	vapor
316.67	4.0000	81.930	0.012206	435.64	484.46	2.0081	0.76773	1.2288	249.01	9.3514	16.664	0.021486	vapor
318.33	4.0000	81.106	0.012330	437.18	486.50	2.0146	0.76655	1.2187	250.26	9.2215	16.737	0.021558	vapor
320.00	4.0000	80.306	0.012452	438.71	488.52	2.0209	0.76551	1.2092	251.49	9.0944	16.811	0.021632	vapor
321.67	4.0000	79.530	0.012574	440.24	490.53	2.0272	0.76459	1.2003	252.70	8.9700	16.885	0.021710	vapor
323.33	4.0000	78.776	0.012694	441.75	492.52	2.0334	0.76378	1.1920	253.89	8.8482	16.959	0.021790	vapor
325.00	4.0000	78.043	0.012813	443.25	494.50	2.0395	0.76308	1.1842	255.07	8.7291	17.033	0.021873	vapor
326.67	4.0000	77.329	0.012932	444.75	496.47	2.0455	0.76248	1.1768	256.23	8.6123	17.107	0.021958	vapor
328.33	4.0000	76.635	0.013049	446.23	498.43	2.0515	0.76198	1.1699	257.37	8.4980	17.181	0.022045	vapor
330.00	4.0000	75.958	0.013165	447.71	500.37	2.0574	0.76156	1.1633	258.49	8.3860	17.255	0.022134	vapor
331.67	4.0000	75.299	0.013280	449.18	502.31	2.0632	0.76122	1.1572	259.60	8.2763	17.329	0.022225	vapor
333.33	4.0000	74.656	0.013395	450.65	504.23	2.0690	0.76095	1.1514	260.70	8.1687	17.404	0.022317	vapor
335.00	4.0000	74.028	0.013508	452.11	506.14	2.0747	0.76076	1.1459	261.78	8.0633	17.478	0.022411	vapor
336.67	4.0000	73.415	0.013621	453.56	508.05	2.0804	0.76063	1.1407	262.85	7.9600	17.552	0.022507	vapor
338.33	4.0000	72.816	0.013733	455.01	509.95	2.0860	0.76055	1.1358	263.90	7.8586	17.627	0.022604	vapor
340.00	4.0000	72.231	0.013844	456.46	511.84	2.0916	0.76054	1.1312	264.95	7.7593	17.701	0.022703	vapor
341.67	4.0000	71.659	0.013955	457.90	513.72	2.0971	0.76058	1.1268	265.98	7.6618	17.775	0.022803	vapor
343.33	4.0000	71.099	0.014065	459.33	515.59	2.1026	0.76067	1.1226	267.00	7.5662	17.849	0.022904	vapor
345.00	4.0000	70.552	0.014174	460.76	517.46	2.1080	0.76080	1.1187	268.01	7.4724	17.924	0.023006	vapor
346.67	4.0000	70.016	0.014283	462.19	519.32	2.1134	0.76098	1.1149	269.01	7.3804	17.998	0.023109	vapor
348.33	4.0000	69.490	0.014390	463.61	521.18	2.1187	0.76120	1.1114	270.00	7.2901	18.072	0.023213	vapor
350.00	4.0000	68.976	0.014498	465.03	523.03	2.1240	0.76145	1.1080	270.98	7.2015	18.146	0.023319	vapor
351.67	4.0000	68.472	0.014605	466.45	524.87	2.1293	0.76175	1.1048	271.95	7.1145	18.221	0.023425	vapor
353.33	4.0000	67.978	0.014711	467.87	526.71	2.1345	0.76208	1.1018	272.91	7.0290	18.295	0.023532	vapor
355.00	4.0000	67.493	0.014816	469.28	528.54	2.1397	0.76244	1.0989	273.86	6.9452	18.369	0.023640	vapor
356.67	4.0000	67.017	0.014922	470.69	530.37	2.1448	0.76284	1.0962	274.80	6.8628	18.443	0.023749	vapor
358.33	4.0000	66.551	0.015026	472.09	532.20	2.1499	0.76326	1.0936	275.74	6.7819	18.517	0.023858	vapor
360.00	4.0000	66.093	0.015130	473.50	534.02	2.1550	0.76371	1.0912	276.67	6.7024	18.591	0.023969	vapor
361.67	4.0000	65.643	0.015234	474.90	535.83	2.1600	0.76419	1.0888	277.58	6.6243	18.665	0.024080	vapor
363.33	4.0000	65.201	0.015337	476.30	537.65	2.1650	0.76470	1.0866	278.49	6.5476	18.738	0.024192	vapor
365.00	4.0000	64.767	0.015440	477.70	539.46	2.1700	0.76523	1.0845	279.40	6.4723	18.812	0.024304	vapor
