Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	14.000	855.84	0.0011684	237.50	253.86	1.1469	0.92634	2.4283	500.71	0.56323	82.485	0.096679	liquid
301.67	14.000	845.37	0.0011829	241.37	257.93	1.1605	0.92763	2.4676	488.68	0.61112	80.308	0.094958	liquid
303.33	14.000	834.59	0.0011982	245.31	262.08	1.1742	0.92903	2.5100	476.59	0.66277	78.148	0.093236	liquid
305.00	14.000	823.46	0.0012144	249.30	266.30	1.1881	0.93052	2.5559	464.48	0.71853	76.005	0.091512	supercritical
306.67	14.000	811.97	0.0012316	253.36	270.60	1.2021	0.93209	2.6053	452.35	0.77879	73.876	0.089786	supercritical
308.33	14.000	800.08	0.0012499	257.49	274.99	1.2164	0.93372	2.6586	440.23	0.84399	71.758	0.088059	supercritical
310.00	14.000	787.78	0.0012694	261.70	279.47	1.2309	0.93544	2.7161	428.14	0.91462	69.650	0.086332	supercritical
311.67	14.000	775.03	0.0012903	265.98	284.05	1.2456	0.93726	2.7785	416.10	0.99126	67.550	0.084604	supercritical
313.33	14.000	761.79	0.0013127	270.35	288.73	1.2606	0.93920	2.8464	404.14	1.0745	65.456	0.082878	supercritical
315.00	14.000	748.03	0.0013369	274.82	293.54	1.2759	0.94129	2.9204	392.26	1.1652	63.367	0.081155	supercritical
316.67	14.000	733.71	0.0013629	279.39	298.47	1.2915	0.94354	3.0008	380.51	1.2639	61.281	0.079437	supercritical
318.33	14.000	718.80	0.0013912	284.07	303.54	1.3075	0.94595	3.0875	368.90	1.3714	59.198	0.077726	supercritical
320.00	14.000	703.27	0.0014219	288.86	308.77	1.3239	0.94856	3.1797	357.49	1.4880	57.118	0.076024	supercritical
321.67	14.000	687.10	0.0014554	293.77	314.14	1.3406	0.95140	3.2757	346.34	1.6139	55.046	0.074333	supercritical
323.33	14.000	670.29	0.0014919	298.80	319.69	1.3578	0.95454	3.3735	335.53	1.7491	52.987	0.072657	supercritical
325.00	14.000	652.87	0.0015317	303.95	325.39	1.3754	0.95800	3.4712	325.16	1.8934	50.948	0.071001	supercritical
326.67	14.000	634.88	0.0015751	309.20	331.26	1.3934	0.96170	3.5668	315.33	2.0464	48.939	0.069369	supercritical
328.33	14.000	616.40	0.0016223	314.56	337.28	1.4118	0.96542	3.6571	306.17	2.2075	46.972	0.067765	supercritical
330.00	14.000	597.52	0.0016736	320.01	343.44	1.4305	0.96877	3.7362	297.77	2.3753	45.059	0.066185	supercritical
331.67	14.000	578.41	0.0017289	325.52	349.72	1.4495	0.97133	3.7964	290.24	2.5473	43.216	0.064624	supercritical
333.33	14.000	559.27	0.0017881	331.05	356.08	1.4686	0.97272	3.8306	283.65	2.7206	41.461	0.063076	supercritical
335.00	14.000	540.30	0.0018508	336.56	362.47	1.4878	0.97266	3.8349	278.04	2.8923	39.810	0.061538	supercritical
336.67	14.000	521.74	0.0019167	342.01	368.85	1.5067	0.97106	3.8084	273.39	3.0597	38.276	0.060013	supercritical
338.33	14.000	503.79	0.0019850	347.36	375.15	1.5254	0.96801	3.7529	269.64	3.2201	36.867	0.058506	supercritical
340.00	14.000	486.61	0.0020550	352.57	381.34	1.5437	0.96376	3.6723	266.70	3.3709	35.586	0.057026	supercritical
341.67	14.000	470.31	0.0021262	357.61	387.38	1.5614	0.95869	3.5722	264.48	3.5100	34.432	0.055584	supercritical
343.33	14.000	454.98	0.0021979	362.47	393.24	1.5785	0.95315	3.4594	262.86	3.6361	33.399	0.054193	supercritical
345.00	14.000	440.62	0.0022695	367.13	398.91	1.5950	0.94746	3.3399	261.74	3.7489	32.478	0.052864	supercritical
346.67	14.000	427.22	0.0023407	371.60	404.37	1.6108	0.94181	3.2190	261.04	3.8485	31.661	0.051606	supercritical
348.33	14.000	414.75	0.0024111	375.88	409.64	1.6259	0.93634	3.1001	260.67	3.9354	30.936	0.050423	supercritical
350.00	14.000	403.15	0.0024805	379.98	414.71	1.6405	0.93110	2.9856	260.58	4.0104	30.293	0.049318	supercritical
351.67	14.000	392.36	0.0025487	383.91	419.59	1.6544	0.92613	2.8768	260.72	4.0744	29.722	0.048289	supercritical
353.33	14.000	382.31	0.0026157	387.68	424.30	1.6677	0.92143	2.7743	261.03	4.1283	29.214	0.047334	supercritical
355.00	14.000	372.94	0.0026814	391.31	428.85	1.6806	0.91699	2.6786	261.49	4.1731	28.762	0.046450	supercritical
356.67	14.000	364.19	0.0027458	394.79	433.23	1.6929	0.91280	2.5894	262.07	4.2097	28.360	0.045633	supercritical
358.33	14.000	356.00	0.0028090	398.16	437.48	1.7048	0.90886	2.5067	262.75	4.2388	28.000	0.044878	supercritical
360.00	14.000	348.33	0.0028708	401.40	441.59	1.7162	0.90513	2.4299	263.51	4.2612	27.678	0.044181	supercritical
361.67	14.000	341.13	0.0029314	404.54	445.58	1.7273	0.90161	2.3589	264.34	4.2778	27.390	0.043539	supercritical
363.33	14.000	334.35	0.0029908	407.59	449.46	1.7380	0.89829	2.2930	265.22	4.2891	27.131	0.042947	supercritical
365.00	14.000	327.96	0.0030491	410.54	453.23	1.7483	0.89515	2.2320	266.14	4.2957	26.899	0.042400	supercritical
366.67	14.000	321.93	0.0031063	413.41	456.90	1.7584	0.89218	2.1755	267.11	4.2981	26.689	0.041897	supercritical
368.33	14.000	316.22	0.0031624	416.21	460.48	1.7681	0.88938	2.1230	268.10	4.2969	26.501	0.041433	supercritical
370.00	14.000	310.80	0.0032175	418.94	463.98	1.7776	0.88674	2.0742	269.11	4.2923	26.331	0.041005	supercritical
371.67	14.000	305.66	0.0032716	421.60	467.40	1.7868	0.88424	2.0289	270.14	4.2849	26.178	0.040610	supercritical
373.33	14.000	300.77	0.0033248	424.20	470.75	1.7958	0.88188	1.9866	271.19	4.2748	26.041	0.040246	supercritical
375.00	14.000	296.11	0.0033771	426.74	474.02	1.8045	0.87965	1.9472	272.25	4.2625	25.916	0.039910	supercritical
376.67	14.000	291.67	0.0034286	429.24	477.24	1.8131	0.87756	1.9103	273.31	4.2481	25.804	0.039601	supercritical
