Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
378.33	6.0000	97.347	0.010273	479.09	540.73	2.1061	0.79129	1.1761	280.45	5.7527	20.004	0.026858	vapor
380.00	6.0000	96.643	0.010347	480.60	542.68	2.1112	0.79152	1.1722	281.43	5.6897	20.071	0.026952	vapor
381.67	6.0000	95.953	0.010422	482.10	544.63	2.1164	0.79177	1.1684	282.40	5.6277	20.138	0.027047	vapor
383.33	6.0000	95.276	0.010496	483.60	546.58	2.1214	0.79206	1.1648	283.36	5.5668	20.205	0.027143	vapor
385.00	6.0000	94.612	0.010569	485.10	548.52	2.1265	0.79237	1.1614	284.31	5.5068	20.272	0.027240	vapor
386.67	6.0000	93.961	0.010643	486.59	550.45	2.1315	0.79271	1.1582	285.26	5.4477	20.340	0.027339	vapor
388.33	6.0000	93.322	0.010716	488.08	552.38	2.1365	0.79308	1.1550	286.19	5.3896	20.407	0.027438	vapor
390.00	6.0000	92.694	0.010788	489.57	554.30	2.1414	0.79347	1.1521	287.12	5.3324	20.474	0.027539	vapor
391.67	6.0000	92.078	0.010860	491.05	556.22	2.1463	0.79388	1.1492	288.04	5.2761	20.542	0.027640	vapor
393.33	6.0000	91.473	0.010932	492.54	558.13	2.1512	0.79432	1.1465	288.96	5.2206	20.609	0.027742	vapor
395.00	6.0000	90.878	0.011004	494.02	560.04	2.1560	0.79478	1.1439	289.86	5.1660	20.677	0.027846	vapor
396.67	6.0000	90.294	0.011075	495.49	561.94	2.1608	0.79525	1.1414	290.76	5.1123	20.744	0.027950	vapor
398.33	6.0000	89.720	0.011146	496.97	563.84	2.1656	0.79575	1.1391	291.65	5.0593	20.812	0.028055	vapor
400.00	6.0000	89.155	0.011216	498.44	565.74	2.1704	0.79627	1.1368	292.53	5.0072	20.880	0.028160	vapor
401.67	6.0000	88.600	0.011287	499.91	567.63	2.1751	0.79680	1.1346	293.41	4.9558	20.947	0.028266	vapor
403.33	6.0000	88.053	0.011357	501.38	569.52	2.1798	0.79735	1.1326	294.28	4.9052	21.015	0.028373	vapor
405.00	6.0000	87.516	0.011426	502.85	571.41	2.1845	0.79792	1.1306	295.15	4.8553	21.082	0.028481	vapor
406.67	6.0000	86.987	0.011496	504.32	573.29	2.1891	0.79850	1.1287	296.01	4.8062	21.150	0.028590	vapor
408.33	6.0000	86.466	0.011565	505.78	575.17	2.1937	0.79910	1.1269	296.86	4.7579	21.218	0.028699	vapor
410.00	6.0000	85.954	0.011634	507.24	577.05	2.1983	0.79971	1.1252	297.71	4.7102	21.285	0.028808	vapor
411.67	6.0000	85.449	0.011703	508.70	578.92	2.2029	0.80034	1.1236	298.55	4.6632	21.353	0.028918	vapor
413.33	6.0000	84.952	0.011771	510.16	580.79	2.2074	0.80098	1.1220	299.38	4.6169	21.421	0.029029	vapor
415.00	6.0000	84.462	0.011840	511.62	582.66	2.2119	0.80163	1.1205	300.21	4.5713	21.488	0.029140	vapor
416.67	6.0000	83.980	0.011908	513.08	584.53	2.2164	0.80229	1.1191	301.04	4.5263	21.556	0.029252	vapor
418.33	6.0000	83.505	0.011975	514.54	586.39	2.2209	0.80296	1.1177	301.86	4.4820	21.624	0.029364	vapor
420.00	6.0000	83.036	0.012043	516.00	588.25	2.2253	0.80365	1.1164	302.67	4.4382	21.691	0.029477	vapor
421.67	6.0000	82.575	0.012110	517.45	590.11	2.2297	0.80435	1.1152	303.48	4.3952	21.759	0.029590	vapor
423.33	6.0000	82.119	0.012177	518.91	591.97	2.2341	0.80505	1.1140	304.28	4.3527	21.826	0.029704	vapor
425.00	6.0000	81.670	0.012244	520.36	593.83	2.2385	0.80577	1.1129	305.08	4.3108	21.894	0.029818	vapor
426.67	6.0000	81.228	0.012311	521.81	595.68	2.2428	0.80649	1.1119	305.87	4.2695	21.961	0.029933	vapor
428.33	6.0000	80.791	0.012378	523.27	597.53	2.2472	0.80723	1.1109	306.66	4.2287	22.029	0.030048	vapor
430.00	6.0000	80.360	0.012444	524.72	599.38	2.2515	0.80797	1.1099	307.45	4.1886	22.096	0.030163	vapor
431.67	6.0000	79.935	0.012510	526.17	601.23	2.2558	0.80872	1.1090	308.23	4.1489	22.163	0.030279	vapor
433.33	6.0000	79.516	0.012576	527.62	603.08	2.2601	0.80948	1.1081	309.01	4.1099	22.231	0.030395	vapor
435.00	6.0000	79.102	0.012642	529.08	604.93	2.2643	0.81024	1.1073	309.78	4.0713	22.298	0.030511	vapor
436.67	6.0000	78.694	0.012708	530.53	606.77	2.2685	0.81102	1.1065	310.54	4.0333	22.365	0.030628	vapor
438.33	6.0000	78.290	0.012773	531.98	608.61	2.2728	0.81180	1.1058	311.31	3.9957	22.432	0.030745	vapor
440.00	6.0000	77.892	0.012838	533.43	610.46	2.2769	0.81258	1.1051	312.07	3.9587	22.499	0.030862	vapor
441.67	6.0000	77.499	0.012903	534.88	612.30	2.2811	0.81337	1.1045	312.82	3.9222	22.567	0.030980	vapor
443.33	6.0000	77.111	0.012968	536.33	614.14	2.2853	0.81417	1.1039	313.57	3.8861	22.634	0.031097	vapor
445.00	6.0000	76.728	0.013033	537.78	615.98	2.2894	0.81497	1.1033	314.32	3.8506	22.701	0.031215	vapor
446.67	6.0000	76.349	0.013098	539.23	617.82	2.2935	0.81578	1.1028	315.06	3.8155	22.768	0.031333	vapor
448.33	6.0000	75.975	0.013162	540.68	619.65	2.2977	0.81660	1.1023	315.80	3.7808	22.835	0.031451	vapor
450.00	6.0000	75.605	0.013227	542.13	621.49	2.3017	0.81742	1.1018	316.54	3.7466	22.901	0.031570	vapor
451.67	6.0000	75.240	0.013291	543.58	623.33	2.3058	0.81824	1.1014	317.27	3.7128	22.968	0.031688	vapor
453.33	6.0000	74.879	0.013355	545.03	625.16	2.3099	0.81907	1.1010	318.00	3.6795	23.035	0.031806	vapor
455.00	6.0000	74.522	0.013419	546.48	627.00	2.3139	0.81990	1.1006	318.72	3.6466	23.102	0.031923	vapor
456.67	6.0000	74.170	0.013483	547.94	628.83	2.3179	0.82074	1.1002	319.44	3.6141	23.168	0.032036	vapor
458.33	6.0000	73.821	0.013546	549.39	630.66	2.3219	0.82158	1.0999	320.16	3.5821	23.235	0.032158	vapor
460.00	6.0000	73.477	0.013610	550.84	632.50	2.3259	0.82242	1.0996	320.88	3.5504	23.301	0.032281	vapor
461.67	6.0000	73.136	0.013673	552.29	634.33	2.3299	0.82327	1.0994	321.59	3.5191	23.368	0.032404	vapor
463.33	6.0000	72.799	0.013736	553.74	636.16	2.3339	0.82412	1.0991	322.30	3.4883	23.434	0.032527	vapor
465.00	6.0000	72.466	0.013800	555.20	637.99	2.3378	0.82497	1.0989	323.00	3.4578	23.501	0.032651	vapor
466.67	6.0000	72.137	0.013863	556.65	639.83	2.3417	0.82583	1.0987	323.70	3.4277	23.567	0.032774	vapor
468.33	6.0000	71.811	0.013925	558.10	641.66	2.3457	0.82669	1.0986	324.40	3.3979	23.633	0.032898	vapor
470.00	6.0000	71.488	0.013988	559.56	643.49	2.3496	0.82755	1.0984	325.10	3.3685	23.699	0.033022	vapor
471.67	6.0000	71.170	0.014051	561.01	645.32	2.3535	0.82841	1.0983	325.79	3.3395	23.765	0.033146	vapor
473.33	6.0000	70.854	0.014113	562.47	647.15	2.3573	0.82928	1.0982	326.48	3.3108	23.831	0.033270	vapor
475.00	6.0000	70.542	0.014176	563.92	648.98	2.3612	0.83015	1.0981	327.17	3.2825	23.897	0.033394	vapor
476.67	6.0000	70.233	0.014238	565.38	650.81	2.3650	0.83102	1.0981	327.85	3.2545	23.963	0.033519	vapor
478.33	6.0000	69.928	0.014300	566.84	652.64	2.3689	0.83189	1.0981	328.53	3.2269	24.029	0.033644	vapor
480.00	6.0000	69.625	0.014363	568.29	654.47	2.3727	0.83277	1.0980	329.21	3.1996	24.095	0.033768	vapor
481.67	6.0000	69.326	0.014425	569.75	656.30	2.3765	0.83364	1.0980	329.89	3.1726	24.161	0.033893	vapor
483.33	6.0000	69.030	0.014487	571.21	658.13	2.3803	0.83452	1.0981	330.56	3.1459	24.226	0.034018	vapor
485.00	6.0000	68.736	0.014548	572.67	659.96	2.3841	0.83540	1.0981	331.23	3.1195	24.292	0.034143	vapor
486.67	6.0000	68.446	0.014610	574.13	661.79	2.3878	0.83628	1.0981	331.90	3.0935	24.357	0.034269	vapor
488.33	6.0000	68.158	0.014672	575.59	663.62	2.3916	0.83716	1.0982	332.56	3.0677	24.423	0.034394	vapor
490.00	6.0000	67.874	0.014733	577.05	665.45	2.3953	0.83805	1.0983	333.23	3.0423	24.488	0.034519	vapor
491.67	6.0000	67.592	0.014795	578.51	667.28	2.3991	0.83893	1.0984	333.89	3.0171	24.553	0.034645	vapor
493.33	6.0000	67.313	0.014856	579.98	669.11	2.4028	0.83982	1.0985	334.54	2.9922	24.619	0.034771	vapor
495.00	6.0000	67.037	0.014917	581.44	670.94	2.4065	0.84070	1.0986	335.20	2.9677	24.684	0.034896	vapor
496.67	6.0000	66.763	0.014978	582.90	672.77	2.4102	0.84159	1.0988	335.85	2.9434	24.749	0.035022	vapor
498.33	6.0000	66.492	0.015039	584.37	674.60	2.4139	0.84248	1.0989	336.50	2.9193	24.814	0.035148	vapor
500.00	6.0000	66.223	0.015100	585.83	676.44	2.4175	0.84337	1.0991	337.15	2.8956	24.879	0.035274	vapor
501.67	6.0000	65.957	0.015161	587.30	678.27	2.4212	0.84426	1.0993	337.79	2.8721	24.944	0.035401	vapor
503.33	6.0000	65.694	0.015222	588.77	680.10	2.4248	0.84515	1.0995	338.44	2.8489	25.009	0.035527	vapor
505.00	6.0000	65.433	0.015283	590.24	681.93	2.4285	0.84603	1.0997	339.08	2.8259	25.073	0.035653	vapor
506.67	6.0000	65.174	0.015344	591.70	683.77	2.4321	0.84692	1.0999	339.72	2.8032	25.138	0.035780	vapor
508.33	6.0000	64.918	0.015404	593.17	685.60	2.4357	0.84782	1.1001	340.35	2.7807	25.203	0.035906	vapor
510.00	6.0000	64.664	0.015465	594.65	687.43	2.4393	0.84871	1.1004	340.99	2.7585	25.267	0.036033	vapor
511.67	6.0000	64.412	0.015525	596.12	689.27	2.4429	0.84960	1.1006	341.62	2.7365	25.332	0.036159	vapor
513.33	6.0000	64.163	0.015585	597.59	691.10	2.4465	0.85049	1.1009	342.25	2.7148	25.396	0.036286	vapor
515.00	6.0000	63.915	0.015646	599.06	692.94	2.4500	0.85138	1.1011	342.88	2.6933	25.460	0.036413	vapor
516.67	6.0000	63.670	0.015706	600.54	694.77	2.4536	0.85227	1.1014	343.50	2.6720	25.525	0.036540	vapor
518.33	6.0000	63.428	0.015766	602.01	696.61	2.4571	0.85316	1.1017	344.12	2.6510	25.589	0.036667	vapor
520.00	6.0000	63.187	0.015826	603.49	698.44	2.4607	0.85405	1.1020	344.75	2.6302	25.653	0.036794	vapor
521.67	6.0000	62.948	0.015886	604.97	700.28	2.4642	0.85494	1.1023	345.37	2.6096	25.717	0.036921	vapor
523.33	6.0000	62.712	0.015946	606.44	702.12	2.4677	0.85583	1.1026	345.98	2.5892	25.781	0.037048	vapor
525.00	6.0000	62.477	0.016006	607.92	703.96	2.4712	0.85672	1.1030	346.60	2.5691	25.845	0.037175	vapor
526.67	6.0000	62.245	0.016066	609.40	705.80	2.4747	0.85761	1.1033	347.21	2.5492	25.909	0.037302	vapor
528.33	6.0000	62.015	0.016125	610.88	707.63	2.4782	0.85849	1.1036	347.82	2.5294	25.972	0.037430	vapor
530.00	6.0000	61.786	0.016185	612.37	709.47	2.4817	0.85938	1.1040	348.43	2.5099	26.036	0.037557	vapor
531.67	6.0000	61.559	0.016244	613.85	711.31	2.4852	0.86027	1.1043	349.04	2.4906	26.100	0.037684	vapor
533.33	6.0000	61.335	0.016304	615.33	713.16	2.4886	0.86116	1.1047	349.65	2.4715	26.163	0.037812	vapor
535.00	6.0000	61.112	0.016363	616.82	715.00	2.4921	0.86204	1.1051	350.25	2.4525	26.227	0.037939	vapor
536.67	6.0000	60.891	0.016423	618.30	716.84	2.4955	0.86293	1.1054	350.85	2.4338	26.290	0.038067	vapor
538.33	6.0000	60.672	0.016482	619.79	718.68	2.4989	0.86381	1.1058	351.45	2.4153	26.353	0.038194	vapor
540.00	6.0000	60.454	0.016541	621.28	720.53	2.5024	0.86470	1.1062	352.05	2.3969	26.417	0.038322	vapor
541.67	6.0000	60.239	0.016601	622.77	722.37	2.5058	0.86558	1.1066	352.65	2.3788	26.480	0.038450	vapor
543.33	6.0000	60.025	0.016660	624.26	724.21	2.5092	0.86646	1.1070	353.24	2.3608	26.543	0.038577	vapor
545.00	6.0000	59.813	0.016719	625.75	726.06	2.5126	0.86734	1.1074	353.84	2.3430	26.606	0.038705	vapor
546.67	6.0000	59.602	0.016778	627.24	727.91	2.5159	0.86822	1.1079	354.43	2.3254	26.669	0.038833	vapor
548.33	6.0000	59.393	0.016837	628.73	729.75	2.5193	0.86910	1.1083	355.02	2.3079	26.732	0.038960	vapor
550.00	6.0000	59.186	0.016896	630.22	731.60	2.5227	0.86998	1.1087	355.60	2.2907	26.795	0.039088	vapor
551.67	6.0000	58.981	0.016955	631.72	733.45	2.5260	0.87086	1.1091	356.19	2.2736	26.857	0.039216	vapor
553.33	6.0000	58.777	0.017013	633.22	735.30	2.5294	0.87173	1.1096	356.78	2.2566	26.920	0.039344	vapor
555.00	6.0000	58.575	0.017072	634.71	737.15	2.5327	0.87261	1.1100	357.36	2.2399	26.983	0.039472	vapor
556.67	6.0000	58.374	0.017131	636.21	739.00	2.5360	0.87348	1.1105	357.94	2.2233	27.045	0.039599	vapor
558.33	6.0000	58.175	0.017190	637.71	740.85	2.5394	0.87436	1.1109	358.52	2.2069	27.108	0.039727	vapor
560.00	6.0000	57.977	0.017248	639.21	742.70	2.5427	0.87523	1.1114	359.10	2.1906	27.170	0.039855	vapor
