Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	29.000	955.18	0.0010469	214.52	244.88	1.0621	0.91644	1.9328	677.54	0.099422	107.77	0.11675	liquid
301.67	29.000	948.88	0.0010539	217.54	248.10	1.0729	0.91581	1.9377	669.73	0.11197	105.86	0.11541	liquid
303.33	29.000	942.54	0.0010610	220.57	251.34	1.0836	0.91522	1.9427	661.98	0.12491	103.98	0.11408	liquid
305.00	29.000	936.15	0.0010682	223.60	254.58	1.0942	0.91465	1.9479	654.28	0.13823	102.15	0.11276	supercritical
306.67	29.000	929.73	0.0010756	226.64	257.83	1.1048	0.91411	1.9531	646.65	0.15196	100.36	0.11145	supercritical
308.33	29.000	923.26	0.0010831	229.68	261.09	1.1154	0.91357	1.9584	639.08	0.16610	98.611	0.11016	supercritical
310.00	29.000	916.75	0.0010908	232.72	264.36	1.1260	0.91304	1.9638	631.57	0.18067	96.897	0.10888	supercritical
311.67	29.000	910.19	0.0010987	235.77	267.63	1.1366	0.91252	1.9692	624.14	0.19567	95.219	0.10761	supercritical
313.33	29.000	903.60	0.0011067	238.83	270.92	1.1471	0.91199	1.9747	616.76	0.21111	93.578	0.10636	supercritical
315.00	29.000	896.96	0.0011149	241.88	274.22	1.1576	0.91145	1.9801	609.46	0.22700	91.970	0.10511	supercritical
316.67	29.000	890.28	0.0011232	244.95	277.52	1.1680	0.91093	1.9856	602.23	0.24334	90.396	0.10389	supercritical
318.33	29.000	883.56	0.0011318	248.01	280.83	1.1785	0.91041	1.9911	595.06	0.26014	88.855	0.10267	supercritical
320.00	29.000	876.79	0.0011405	251.08	284.16	1.1889	0.90990	1.9965	587.97	0.27740	87.345	0.10147	supercritical
321.67	29.000	869.99	0.0011494	254.16	287.49	1.1993	0.90942	2.0020	580.95	0.29512	85.867	0.10028	supercritical
323.33	29.000	863.15	0.0011586	257.23	290.83	1.2096	0.90896	2.0074	574.01	0.31332	84.418	0.099108	supercritical
325.00	29.000	856.26	0.0011679	260.31	294.18	1.2200	0.90855	2.0128	567.14	0.33200	82.999	0.097949	supercritical
326.67	29.000	849.34	0.0011774	263.40	297.54	1.2303	0.90817	2.0182	560.36	0.35116	81.608	0.096804	supercritical
328.33	29.000	842.38	0.0011871	266.48	300.91	1.2405	0.90784	2.0236	553.66	0.37081	80.246	0.095674	supercritical
330.00	29.000	835.38	0.0011971	269.57	304.29	1.2508	0.90755	2.0289	547.05	0.39095	78.910	0.094558	supercritical
331.67	29.000	828.35	0.0012072	272.66	307.67	1.2610	0.90731	2.0343	540.54	0.41159	77.602	0.093458	supercritical
333.33	29.000	821.28	0.0012176	275.76	311.07	1.2713	0.90710	2.0396	534.12	0.43274	76.319	0.092372	supercritical
335.00	29.000	814.18	0.0012282	278.85	314.47	1.2814	0.90692	2.0448	527.81	0.45438	75.062	0.091301	supercritical
336.67	29.000	807.05	0.0012391	281.95	317.88	1.2916	0.90677	2.0500	521.59	0.47653	73.831	0.090245	supercritical
338.33	29.000	799.89	0.0012502	285.05	321.30	1.3017	0.90664	2.0551	515.49	0.49918	72.624	0.089205	supercritical
340.00	29.000	792.71	0.0012615	288.15	324.73	1.3118	0.90652	2.0601	509.50	0.52231	71.441	0.088180	supercritical
341.67	29.000	785.49	0.0012731	291.25	328.17	1.3219	0.90641	2.0649	503.63	0.54592	70.282	0.087171	supercritical
343.33	29.000	778.26	0.0012849	294.35	331.62	1.3320	0.90630	2.0694	497.87	0.56999	69.146	0.086177	supercritical
345.00	29.000	771.00	0.0012970	297.45	335.07	1.3420	0.90619	2.0738	492.24	0.59449	68.034	0.085198	supercritical
346.67	29.000	763.73	0.0013094	300.56	338.53	1.3520	0.90607	2.0778	486.73	0.61939	66.945	0.084236	supercritical
348.33	29.000	756.44	0.0013220	303.66	341.99	1.3620	0.90594	2.0815	481.35	0.64467	65.878	0.083289	supercritical
350.00	29.000	749.14	0.0013349	306.75	345.47	1.3719	0.90581	2.0847	476.11	0.67029	64.834	0.082358	supercritical
351.67	29.000	741.84	0.0013480	309.85	348.94	1.3819	0.90567	2.0876	470.99	0.69620	63.813	0.081443	supercritical
353.33	29.000	734.53	0.0013614	312.94	352.42	1.3917	0.90551	2.0899	466.02	0.72236	62.813	0.080544	supercritical
355.00	29.000	727.23	0.0013751	316.03	355.91	1.4016	0.90535	2.0918	461.19	0.74873	61.837	0.079661	supercritical
356.67	29.000	719.93	0.0013890	319.11	359.40	1.4114	0.90519	2.0930	456.49	0.77525	60.882	0.078795	supercritical
358.33	29.000	712.64	0.0014032	322.19	362.89	1.4211	0.90501	2.0937	451.94	0.80188	59.949	0.077945	supercritical
360.00	29.000	705.37	0.0014177	325.26	366.37	1.4308	0.90483	2.0937	447.54	0.82856	59.039	0.077111	supercritical
361.67	29.000	698.12	0.0014324	328.32	369.86	1.4405	0.90465	2.0932	443.28	0.85526	58.151	0.076293	supercritical
363.33	29.000	690.90	0.0014474	331.38	373.35	1.4501	0.90446	2.0919	439.17	0.88193	57.285	0.075492	supercritical
365.00	29.000	683.70	0.0014626	334.42	376.84	1.4597	0.90427	2.0901	435.20	0.90852	56.440	0.074708	supercritical
366.67	29.000	676.55	0.0014781	337.45	380.32	1.4692	0.90408	2.0876	431.37	0.93499	55.618	0.073939	supercritical
368.33	29.000	669.43	0.0014938	340.47	383.80	1.4787	0.90388	2.0845	427.69	0.96131	54.818	0.073188	supercritical
370.00	29.000	662.36	0.0015097	343.48	387.27	1.4881	0.90368	2.0807	424.15	0.98743	54.039	0.072453	supercritical
371.67	29.000	655.35	0.0015259	346.48	390.73	1.4974	0.90348	2.0764	420.75	1.0133	53.282	0.071734	supercritical
373.33	29.000	648.38	0.0015423	349.46	394.19	1.5067	0.90328	2.0715	417.49	1.0390	52.546	0.071031	supercritical
375.00	29.000	641.48	0.0015589	352.43	397.64	1.5159	0.90308	2.0660	414.37	1.0643	51.831	0.070345	supercritical
376.67	29.000	634.64	0.0015757	355.38	401.07	1.5251	0.90287	2.0600	411.37	1.0893	51.137	0.069675	supercritical
378.33	29.000	627.87	0.0015927	358.31	404.50	1.5342	0.90266	2.0535	408.51	1.1140	50.464	0.069020	supercritical
380.00	29.000	621.16	0.0016099	361.23	407.92	1.5432	0.90244	2.0465	405.78	1.1382	49.811	0.068382	supercritical
381.67	29.000	614.53	0.0016272	364.13	411.32	1.5521	0.90222	2.0391	403.18	1.1621	49.178	0.067758	supercritical
383.33	29.000	607.98	0.0016448	367.02	414.71	1.5610	0.90200	2.0312	400.69	1.1855	48.566	0.067150	supercritical
385.00	29.000	601.51	0.0016625	369.88	418.09	1.5698	0.90177	2.0230	398.33	1.2084	47.972	0.066558	supercritical
386.67	29.000	595.12	0.0016803	372.73	421.46	1.5785	0.90154	2.0144	396.09	1.2308	47.398	0.065979	supercritical
388.33	29.000	588.81	0.0016983	375.56	424.81	1.5871	0.90130	2.0054	393.96	1.2527	46.842	0.065416	supercritical
390.00	29.000	582.59	0.0017165	378.36	428.14	1.5957	0.90105	1.9961	391.95	1.2741	46.305	0.064867	supercritical
391.67	29.000	576.45	0.0017347	381.15	431.46	1.6042	0.90081	1.9865	390.04	1.2948	45.785	0.064332	supercritical
393.33	29.000	570.41	0.0017531	383.92	434.76	1.6126	0.90055	1.9766	388.24	1.3150	45.284	0.063811	supercritical
395.00	29.000	564.45	0.0017716	386.67	438.05	1.6209	0.90029	1.9665	386.54	1.3345	44.799	0.063304	supercritical
396.67	29.000	558.59	0.0017902	389.40	441.32	1.6292	0.90003	1.9561	384.94	1.3534	44.331	0.062810	supercritical
398.33	29.000	552.82	0.0018089	392.11	444.57	1.6374	0.89976	1.9456	383.43	1.3716	43.880	0.062329	supercritical
400.00	29.000	547.14	0.0018277	394.80	447.80	1.6455	0.89949	1.9348	382.02	1.3892	43.444	0.061861	supercritical
401.67	29.000	541.55	0.0018465	397.47	451.02	1.6535	0.89921	1.9239	380.70	1.4061	43.024	0.061405	supercritical
403.33	29.000	536.06	0.0018655	400.12	454.22	1.6615	0.89893	1.9129	379.46	1.4222	42.619	0.060962	supercritical
405.00	29.000	530.66	0.0018844	402.75	457.40	1.6693	0.89865	1.9017	378.31	1.4377	42.228	0.060531	supercritical
406.67	29.000	525.36	0.0019035	405.36	460.56	1.6771	0.89837	1.8905	377.23	1.4525	41.852	0.060113	supercritical
408.33	29.000	520.14	0.0019225	407.94	463.70	1.6848	0.89809	1.8791	376.23	1.4665	41.490	0.059705	supercritical
410.00	29.000	515.02	0.0019417	410.51	466.82	1.6924	0.89781	1.8678	375.31	1.4799	41.141	0.059309	supercritical
411.67	29.000	509.99	0.0019608	413.06	469.92	1.7000	0.89753	1.8564	374.45	1.4925	40.805	0.058925	supercritical
413.33	29.000	505.06	0.0019800	415.59	473.01	1.7075	0.89725	1.8450	373.67	1.5044	40.481	0.058551	supercritical
415.00	29.000	500.21	0.0019992	418.10	476.07	1.7149	0.89698	1.8336	372.94	1.5156	40.170	0.058188	supercritical
416.67	29.000	495.45	0.0020183	420.59	479.12	1.7222	0.89671	1.8222	372.28	1.5261	39.871	0.057835	supercritical
418.33	29.000	490.79	0.0020375	423.06	482.15	1.7295	0.89644	1.8109	371.68	1.5360	39.583	0.057492	supercritical
420.00	29.000	486.21	0.0020567	425.51	485.16	1.7366	0.89619	1.7996	371.13	1.5451	39.306	0.057159	supercritical
421.67	29.000	481.71	0.0020759	427.94	488.15	1.7437	0.89593	1.7884	370.64	1.5537	39.039	0.056837	supercritical
423.33	29.000	477.30	0.0020951	430.36	491.12	1.7508	0.89569	1.7773	370.20	1.5615	38.783	0.056523	supercritical
425.00	29.000	472.97	0.0021143	432.76	494.07	1.7577	0.89545	1.7663	369.80	1.5687	38.537	0.056218	supercritical
426.67	29.000	468.73	0.0021334	435.14	497.00	1.7646	0.89522	1.7555	369.46	1.5754	38.300	0.055923	supercritical
428.33	29.000	464.56	0.0021526	437.50	499.92	1.7714	0.89500	1.7447	369.15	1.5814	38.073	0.055636	supercritical
430.00	29.000	460.48	0.0021717	439.84	502.82	1.7782	0.89479	1.7341	368.89	1.5868	37.854	0.055357	supercritical
431.67	29.000	456.47	0.0021907	442.17	505.70	1.7849	0.89459	1.7236	368.67	1.5917	37.644	0.055087	supercritical
433.33	29.000	452.54	0.0022098	444.48	508.57	1.7915	0.89440	1.7133	368.49	1.5960	37.443	0.054824	supercritical
435.00	29.000	448.68	0.0022288	446.78	511.41	1.7981	0.89422	1.7031	368.34	1.5998	37.249	0.054569	supercritical
436.67	29.000	444.90	0.0022477	449.06	514.24	1.8046	0.89405	1.6931	368.22	1.6030	37.063	0.054320	supercritical
438.33	29.000	441.18	0.0022666	451.32	517.06	1.8110	0.89390	1.6832	368.14	1.6058	36.884	0.054079	supercritical
