Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	27.000	945.67	0.0010575	216.77	245.33	1.0707	0.91624	1.9642	659.49	0.13182	104.94	0.11457	liquid
301.67	27.000	939.10	0.0010648	219.85	248.60	1.0815	0.91569	1.9703	651.42	0.14599	103.03	0.11320	liquid
303.33	27.000	932.49	0.0010724	222.94	251.89	1.0924	0.91517	1.9765	643.40	0.16062	101.15	0.11185	liquid
305.00	27.000	925.82	0.0010801	226.03	255.19	1.1033	0.91468	1.9829	635.44	0.17573	99.313	0.11051	supercritical
306.67	27.000	919.10	0.0010880	229.13	258.50	1.1141	0.91421	1.9895	627.54	0.19134	97.517	0.10917	supercritical
308.33	27.000	912.33	0.0010961	232.23	261.82	1.1249	0.91375	1.9961	619.70	0.20747	95.758	0.10786	supercritical
310.00	27.000	905.51	0.0011043	235.34	265.16	1.1357	0.91329	2.0029	611.93	0.22413	94.037	0.10655	supercritical
311.67	27.000	898.64	0.0011128	238.46	268.50	1.1464	0.91283	2.0097	604.22	0.24133	92.351	0.10526	supercritical
313.33	27.000	891.71	0.0011214	241.58	271.86	1.1572	0.91236	2.0166	596.58	0.25908	90.700	0.10398	supercritical
315.00	27.000	884.73	0.0011303	244.71	275.22	1.1679	0.91189	2.0236	589.01	0.27739	89.083	0.10271	supercritical
316.67	27.000	877.70	0.0011393	247.84	278.60	1.1786	0.91142	2.0305	581.51	0.29627	87.498	0.10146	supercritical
318.33	27.000	870.62	0.0011486	250.98	281.99	1.1893	0.91096	2.0375	574.08	0.31574	85.945	0.10022	supercritical
320.00	27.000	863.48	0.0011581	254.12	285.39	1.1999	0.91052	2.0445	566.73	0.33579	84.424	0.098988	supercritical
321.67	27.000	856.29	0.0011678	257.28	288.81	1.2106	0.91010	2.0515	559.45	0.35644	82.932	0.097775	supercritical
323.33	27.000	849.05	0.0011778	260.43	292.23	1.2212	0.90971	2.0586	552.26	0.37769	81.470	0.096576	supercritical
325.00	27.000	841.76	0.0011880	263.59	295.67	1.2318	0.90937	2.0656	545.15	0.39956	80.037	0.095392	supercritical
326.67	27.000	834.42	0.0011984	266.76	299.12	1.2424	0.90908	2.0727	538.13	0.42205	78.633	0.094222	supercritical
328.33	27.000	827.03	0.0012091	269.93	302.58	1.2529	0.90883	2.0797	531.20	0.44518	77.255	0.093066	supercritical
330.00	27.000	819.59	0.0012201	273.11	306.05	1.2635	0.90864	2.0868	524.38	0.46894	75.905	0.091926	supercritical
331.67	27.000	812.11	0.0012314	276.29	309.53	1.2740	0.90848	2.0939	517.65	0.49336	74.581	0.090801	supercritical
333.33	27.000	804.59	0.0012429	279.47	313.03	1.2845	0.90836	2.1009	511.04	0.51842	73.283	0.089690	supercritical
335.00	27.000	797.02	0.0012547	282.66	316.54	1.2950	0.90826	2.1079	504.54	0.54413	72.011	0.088596	supercritical
336.67	27.000	789.41	0.0012668	285.85	320.06	1.3055	0.90819	2.1148	498.16	0.57049	70.763	0.087517	supercritical
338.33	27.000	781.76	0.0012792	289.05	323.59	1.3160	0.90812	2.1216	491.90	0.59748	69.540	0.086453	supercritical
340.00	27.000	774.07	0.0012919	292.25	327.13	1.3264	0.90806	2.1281	485.77	0.62508	68.342	0.085406	supercritical
341.67	27.000	766.35	0.0013049	295.45	330.68	1.3368	0.90800	2.1344	479.78	0.65327	67.168	0.084374	supercritical
343.33	27.000	758.61	0.0013182	298.65	334.24	1.3472	0.90792	2.1403	473.92	0.68202	66.018	0.083359	supercritical
345.00	27.000	750.83	0.0013319	301.85	337.81	1.3576	0.90783	2.1458	468.20	0.71129	64.892	0.082359	supercritical
346.67	27.000	743.04	0.0013458	305.06	341.39	1.3680	0.90773	2.1509	462.63	0.74103	63.789	0.081377	supercritical
348.33	27.000	735.23	0.0013601	308.26	344.98	1.3783	0.90761	2.1554	457.21	0.77118	62.710	0.080411	supercritical
350.00	27.000	727.41	0.0013747	311.46	348.58	1.3886	0.90747	2.1593	451.95	0.80171	61.655	0.079461	supercritical
351.67	27.000	719.58	0.0013897	314.66	352.18	1.3988	0.90731	2.1625	446.84	0.83253	60.624	0.078529	supercritical
353.33	27.000	711.75	0.0014050	317.85	355.79	1.4091	0.90713	2.1650	441.88	0.86360	59.617	0.077613	supercritical
355.00	27.000	703.93	0.0014206	321.04	359.40	1.4193	0.90694	2.1668	437.09	0.89485	58.633	0.076715	supercritical
356.67	27.000	696.12	0.0014365	324.22	363.01	1.4294	0.90674	2.1677	432.47	0.92622	57.674	0.075835	supercritical
358.33	27.000	688.34	0.0014528	327.40	366.62	1.4395	0.90652	2.1678	428.00	0.95764	56.738	0.074972	supercritical
360.00	27.000	680.57	0.0014693	330.56	370.23	1.4496	0.90630	2.1670	423.70	0.98907	55.827	0.074126	supercritical
361.67	27.000	672.84	0.0014862	333.72	373.84	1.4596	0.90606	2.1655	419.56	1.0204	54.940	0.073299	supercritical
363.33	27.000	665.15	0.0015034	336.86	377.45	1.4695	0.90582	2.1630	415.58	1.0517	54.077	0.072489	supercritical
365.00	27.000	657.51	0.0015209	339.99	381.05	1.4794	0.90558	2.1598	411.76	1.0828	53.238	0.071697	supercritical
366.67	27.000	649.92	0.0015387	343.11	384.65	1.4893	0.90532	2.1557	408.11	1.1136	52.424	0.070923	supercritical
368.33	27.000	642.39	0.0015567	346.21	388.24	1.4990	0.90507	2.1509	404.60	1.1442	51.633	0.070167	supercritical
370.00	27.000	634.92	0.0015750	349.29	391.82	1.5087	0.90480	2.1453	401.26	1.1745	50.866	0.069428	supercritical
371.67	27.000	627.52	0.0015936	352.36	395.39	1.5184	0.90454	2.1390	398.07	1.2044	50.123	0.068707	supercritical
373.33	27.000	620.19	0.0016124	355.41	398.95	1.5279	0.90426	2.1319	395.03	1.2339	49.403	0.068004	supercritical
375.00	27.000	612.95	0.0016315	358.45	402.50	1.5374	0.90398	2.1242	392.14	1.2629	48.706	0.067318	supercritical
376.67	27.000	605.79	0.0016507	361.46	406.03	1.5468	0.90370	2.1159	389.39	1.2914	48.032	0.066649	supercritical
378.33	27.000	598.71	0.0016702	364.45	409.55	1.5561	0.90340	2.1070	386.79	1.3194	47.381	0.065998	supercritical
380.00	27.000	591.73	0.0016900	367.42	413.05	1.5654	0.90310	2.0975	384.33	1.3467	46.752	0.065363	supercritical
381.67	27.000	584.85	0.0017098	370.37	416.54	1.5745	0.90279	2.0875	382.00	1.3734	46.144	0.064745	supercritical
383.33	27.000	578.06	0.0017299	373.30	420.01	1.5836	0.90247	2.0770	379.81	1.3994	45.558	0.064143	supercritical
385.00	27.000	571.38	0.0017502	376.21	423.46	1.5926	0.90213	2.0661	377.75	1.4247	44.993	0.063557	supercritical
386.67	27.000	564.80	0.0017706	379.09	426.90	1.6015	0.90179	2.0548	375.81	1.4492	44.448	0.062987	supercritical
388.33	27.000	558.32	0.0017911	381.95	430.31	1.6103	0.90144	2.0430	373.99	1.4730	43.923	0.062432	supercritical
390.00	27.000	551.95	0.0018118	384.79	433.71	1.6190	0.90109	2.0310	372.29	1.4960	43.418	0.061893	supercritical
391.67	27.000	545.69	0.0018325	387.60	437.08	1.6276	0.90072	2.0186	370.70	1.5181	42.932	0.061369	supercritical
393.33	27.000	539.54	0.0018534	390.39	440.44	1.6362	0.90034	2.0060	369.21	1.5393	42.464	0.060859	supercritical
395.00	27.000	533.50	0.0018744	393.16	443.77	1.6446	0.89996	1.9931	367.84	1.5597	42.014	0.060365	supercritical
396.67	27.000	527.57	0.0018955	395.90	447.08	1.6530	0.89957	1.9800	366.56	1.5792	41.582	0.059884	supercritical
398.33	27.000	521.75	0.0019166	398.62	450.37	1.6613	0.89918	1.9668	365.37	1.5978	41.167	0.059417	supercritical
400.00	27.000	516.05	0.0019378	401.31	453.64	1.6695	0.89878	1.9534	364.28	1.6155	40.768	0.058965	supercritical
401.67	27.000	510.45	0.0019591	403.99	456.88	1.6776	0.89838	1.9399	363.28	1.6323	40.385	0.058525	supercritical
403.33	27.000	504.96	0.0019803	406.63	460.10	1.6856	0.89798	1.9264	362.36	1.6482	40.017	0.058099	supercritical
405.00	27.000	499.59	0.0020017	409.26	463.30	1.6935	0.89757	1.9128	361.52	1.6631	39.664	0.057685	supercritical
406.67	27.000	494.32	0.0020230	411.86	466.48	1.7013	0.89717	1.8992	360.75	1.6772	39.326	0.057285	supercritical
408.33	27.000	489.15	0.0020443	414.43	469.63	1.7090	0.89677	1.8856	360.06	1.6903	39.001	0.056896	supercritical
410.00	27.000	484.10	0.0020657	416.99	472.76	1.7167	0.89638	1.8721	359.43	1.7026	38.690	0.056520	supercritical
411.67	27.000	479.14	0.0020871	419.52	475.87	1.7243	0.89599	1.8587	358.87	1.7141	38.392	0.056155	supercritical
413.33	27.000	474.29	0.0021084	422.03	478.96	1.7318	0.89560	1.8453	358.38	1.7247	38.106	0.055802	supercritical
415.00	27.000	469.55	0.0021297	424.52	482.02	1.7392	0.89522	1.8320	357.94	1.7344	37.832	0.055460	supercritical
416.67	27.000	464.90	0.0021510	426.99	485.07	1.7465	0.89485	1.8189	357.55	1.7434	37.570	0.055130	supercritical
418.33	27.000	460.34	0.0021723	429.43	488.09	1.7537	0.89449	1.8060	357.22	1.7516	37.318	0.054809	supercritical
420.00	27.000	455.89	0.0021935	431.86	491.09	1.7609	0.89414	1.7931	356.94	1.7590	37.078	0.054500	supercritical
421.67	27.000	451.52	0.0022147	434.27	494.06	1.7679	0.89380	1.7805	356.70	1.7657	36.847	0.054200	supercritical
423.33	27.000	447.25	0.0022359	436.65	497.02	1.7749	0.89348	1.7681	356.51	1.7716	36.627	0.053910	supercritical
425.00	27.000	443.07	0.0022570	439.02	499.96	1.7819	0.89316	1.7558	356.36	1.7769	36.415	0.053629	supercritical
426.67	27.000	438.97	0.0022781	441.37	502.87	1.7887	0.89286	1.7438	356.25	1.7815	36.213	0.053358	supercritical
428.33	27.000	434.96	0.0022991	443.70	505.77	1.7955	0.89256	1.7320	356.17	1.7855	36.019	0.053096	supercritical
430.00	27.000	431.03	0.0023200	446.01	508.65	1.8022	0.89229	1.7203	356.14	1.7889	35.834	0.052842	supercritical
431.67	27.000	427.18	0.0023409	448.30	511.50	1.8088	0.89203	1.7089	356.13	1.7916	35.657	0.052597	supercritical
433.33	27.000	423.42	0.0023617	450.58	514.34	1.8154	0.89178	1.6978	356.16	1.7938	35.488	0.052359	supercritical
435.00	27.000	419.73	0.0023825	452.84	517.16	1.8219	0.89154	1.6868	356.22	1.7955	35.325	0.052129	supercritical
436.67	27.000	416.11	0.0024032	455.08	519.97	1.8283	0.89133	1.6761	356.30	1.7966	35.170	0.051906	supercritical
438.33	27.000	412.57	0.0024238	457.31	522.75	1.8347	0.89112	1.6656	356.42	1.7972	35.022	0.051690	supercritical
440.00	27.000	409.10	0.0024444	459.52	525.52	1.8410	0.89094	1.6554	356.56	1.7973	34.880	0.051480	supercritical
441.67	27.000	405.70	0.0024649	461.72	528.27	1.8472	0.89076	1.6453	356.72	1.7970	34.745	0.051277	supercritical
443.33	27.000	402.36	0.0024853	463.90	531.00	1.8534	0.89061	1.6355	356.90	1.7962	34.615	0.051078	supercritical
445.00	27.000	399.10	0.0025057	466.07	533.72	1.8595	0.89047	1.6259	357.11	1.7950	34.492	0.050884	supercritical
446.67	27.000	395.89	0.0025259	468.22	536.42	1.8656	0.89034	1.6166	357.33	1.7934	34.374	0.050694	supercritical
448.33	27.000	392.75	0.0025462	470.36	539.11	1.8716	0.89023	1.6074	357.58	1.7914	34.261	0.050507	supercritical
450.00	27.000	389.67	0.0025663	472.49	541.78	1.8775	0.89014	1.5985	357.84	1.7890	34.153	0.050320	supercritical
451.67	27.000	386.65	0.0025863	474.61	544.44	1.8834	0.89006	1.5898	358.12	1.7863	34.050	0.050131	supercritical
453.33	27.000	383.68	0.0026063	476.71	547.08	1.8893	0.89000	1.5813	358.42	1.7833	33.952	0.049933	supercritical
455.00	27.000	380.77	0.0026262	478.80	549.71	1.8950	0.88995	1.5730	358.73	1.7799	33.859	0.049709	supercritical
456.67	27.000	377.92	0.0026461	480.88	552.32	1.9008	0.88992	1.5649	359.05	1.7762	33.770	0.049390	supercritical
458.33	27.000	375.12	0.0026658	482.95	554.93	1.9065	0.88990	1.5570	359.39	1.7723	33.685	0.049306	supercritical
460.00	27.000	372.36	0.0026855	485.01	557.51	1.9121	0.88990	1.5493	359.74	1.7680	33.604	0.049226	supercritical
461.67	27.000	369.66	0.0027052	487.05	560.09	1.9177	0.88991	1.5418	360.11	1.7636	33.527	0.049152	supercritical
463.33	27.000	367.01	0.0027247	489.09	562.65	1.9232	0.88994	1.5344	360.48	1.7588	33.454	0.049081	supercritical
465.00	27.000	364.41	0.0027442	491.11	565.21	1.9287	0.88998	1.5273	360.87	1.7539	33.384	0.049015	supercritical
466.67	27.000	361.85	0.0027636	493.13	567.74	1.9342	0.89004	1.5203	361.27	1.7487	33.318	0.048954	supercritical
468.33	27.000	359.34	0.0027829	495.13	570.27	1.9396	0.89011	1.5135	361.67	1.7433	33.255	0.048896	supercritical
470.00	27.000	356.87	0.0028022	497.13	572.79	1.9450	0.89020	1.5069	362.09	1.7377	33.195	0.048843	supercritical
471.67	27.000	354.44	0.0028213	499.12	575.30	1.9503	0.89030	1.5004	362.51	1.7319	33.139	0.048793	supercritical
473.33	27.000	352.06	0.0028405	501.10	577.79	1.9556	0.89041	1.4941	362.95	1.7259	33.085	0.048747	supercritical
475.00	27.000	349.71	0.0028595	503.07	580.28	1.9608	0.89053	1.4879	363.39	1.7198	33.035	0.048705	supercritical
476.67	27.000	347.40	0.0028785	505.03	582.75	1.9660	0.89067	1.4820	363.83	1.7135	32.987	0.048666	supercritical
478.33	27.000	345.14	0.0028974	506.99	585.22	1.9712	0.89082	1.4761	364.29	1.7071	32.942	0.048630	supercritical
480.00	27.000	342.91	0.0029162	508.93	587.67	1.9763	0.89099	1.4704	364.75	1.7005	32.899	0.048598	supercritical
481.67	27.000	340.71	0.0029350	510.87	590.12	1.9814	0.89116	1.4649	365.22	1.6938	32.859	0.048570	supercritical
483.33	27.000	338.56	0.0029537	512.80	592.55	1.9864	0.89135	1.4594	365.69	1.6869	32.822	0.048544	supercritical
485.00	27.000	336.43	0.0029724	514.73	594.98	1.9914	0.89155	1.4542	366.17	1.6800	32.786	0.048521	supercritical
486.67	27.000	334.34	0.0029909	516.65	597.40	1.9964	0.89176	1.4490	366.65	1.6729	32.753	0.048501	supercritical
488.33	27.000	332.29	0.0030095	518.56	599.81	2.0014	0.89198	1.4440	367.14	1.6658	32.722	0.048485	supercritical
490.00	27.000	330.26	0.0030279	520.46	602.22	2.0063	0.89222	1.4391	367.64	1.6585	32.693	0.048470	supercritical
491.67	27.000	328.27	0.0030463	522.36	604.61	2.0112	0.89246	1.4343	368.14	1.6512	32.667	0.048459	supercritical
493.33	27.000	326.31	0.0030646	524.25	607.00	2.0160	0.89272	1.4297	368.64	1.6438	32.642	0.048450	supercritical
495.00	27.000	324.37	0.0030829	526.14	609.38	2.0208	0.89299	1.4251	369.14	1.6362	32.619	0.048444	supercritical
496.67	27.000	322.47	0.0031011	528.02	611.75	2.0256	0.89326	1.4207	369.65	1.6287	32.598	0.048440	supercritical
498.33	27.000	320.59	0.0031192	529.89	614.11	2.0304	0.89355	1.4164	370.17	1.6210	32.578	0.048439	supercritical
500.00	27.000	318.75	0.0031373	531.76	616.47	2.0351	0.89384	1.4122	370.68	1.6133	32.561	0.048440	supercritical
501.67	27.000	316.93	0.0031553	533.62	618.82	2.0398	0.89415	1.4081	371.20	1.6056	32.545	0.048444	supercritical
503.33	27.000	315.13	0.0031733	535.48	621.16	2.0444	0.89447	1.4040	371.73	1.5978	32.530	0.048449	supercritical
505.00	27.000	313.36	0.0031912	537.34	623.50	2.0491	0.89479	1.4001	372.25	1.5899	32.518	0.048457	supercritical
506.67	27.000	311.62	0.0032090	539.18	625.83	2.0537	0.89512	1.3963	372.78	1.5820	32.506	0.048467	supercritical
508.33	27.000	309.90	0.0032268	541.03	628.15	2.0583	0.89547	1.3926	373.31	1.5741	32.497	0.048479	supercritical
510.00	27.000	308.21	0.0032446	542.87	630.47	2.0628	0.89582	1.3890	373.84	1.5661	32.488	0.048493	supercritical
511.67	27.000	306.54	0.0032623	544.70	632.78	2.0673	0.89617	1.3854	374.38	1.5581	32.481	0.048509	supercritical
513.33	27.000	304.89	0.0032799	546.53	635.09	2.0718	0.89654	1.3820	374.91	1.5501	32.475	0.048526	supercritical
515.00	27.000	303.26	0.0032975	548.36	637.39	2.0763	0.89692	1.3786	375.45	1.5420	32.471	0.048546	supercritical
516.67	27.000	301.66	0.0033150	550.18	639.68	2.0808	0.89730	1.3753	375.99	1.5339	32.468	0.048568	supercritical
518.33	27.000	300.08	0.0033325	552.00	641.97	2.0852	0.89769	1.3721	376.53	1.5259	32.466	0.048591	supercritical
520.00	27.000	298.52	0.0033499	553.81	644.26	2.0896	0.89809	1.3690	377.07	1.5177	32.465	0.048616	supercritical
521.67	27.000	296.98	0.0033673	555.62	646.54	2.0940	0.89849	1.3659	377.62	1.5096	32.465	0.048642	supercritical
523.33	27.000	295.46	0.0033846	557.43	648.81	2.0983	0.89891	1.3630	378.16	1.5015	32.467	0.048671	supercritical
525.00	27.000	293.96	0.0034019	559.23	651.08	2.1026	0.89932	1.3601	378.71	1.4934	32.469	0.048701	supercritical
526.67	27.000	292.48	0.0034191	561.03	653.35	2.1069	0.89975	1.3572	379.25	1.4852	32.473	0.048732	supercritical
528.33	27.000	291.01	0.0034363	562.83	655.60	2.1112	0.90018	1.3544	379.80	1.4771	32.477	0.048765	supercritical
530.00	27.000	289.57	0.0034534	564.62	657.86	2.1155	0.90062	1.3517	380.35	1.4689	32.483	0.048800	supercritical
531.67	27.000	288.15	0.0034705	566.41	660.11	2.1197	0.90107	1.3491	380.90	1.4608	32.489	0.048835	supercritical
533.33	27.000	286.74	0.0034875	568.19	662.36	2.1239	0.90152	1.3465	381.45	1.4527	32.497	0.048873	supercritical
535.00	27.000	285.35	0.0035045	569.98	664.60	2.1281	0.90197	1.3440	382.00	1.4445	32.505	0.048911	supercritical
536.67	27.000	283.98	0.0035214	571.76	666.84	2.1323	0.90243	1.3416	382.55	1.4364	32.514	0.048952	supercritical
538.33	27.000	282.62	0.0035383	573.54	669.07	2.1365	0.90290	1.3392	383.11	1.4283	32.524	0.048993	supercritical
540.00	27.000	281.28	0.0035552	575.31	671.30	2.1406	0.90338	1.3368	383.66	1.4202	32.535	0.049036	supercritical
541.67	27.000	279.96	0.0035720	577.08	673.53	2.1447	0.90385	1.3346	384.21	1.4121	32.547	0.049080	supercritical
543.33	27.000	278.65	0.0035888	578.85	675.75	2.1488	0.90434	1.3323	384.76	1.4040	32.559	0.049125	supercritical
545.00	27.000	277.36	0.0036055	580.62	677.97	2.1529	0.90483	1.3302	385.32	1.3960	32.573	0.049171	supercritical
546.67	27.000	276.08	0.0036222	582.38	680.18	2.1570	0.90532	1.3280	385.87	1.3879	32.587	0.049219	supercritical
548.33	27.000	274.82	0.0036388	584.15	682.40	2.1610	0.90582	1.3260	386.42	1.3799	32.601	0.049267	supercritical
550.00	27.000	273.57	0.0036554	585.91	684.60	2.1650	0.90632	1.3240	386.98	1.3719	32.617	0.049317	supercritical
