Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	18.000	891.26	0.0011220	229.47	249.67	1.1177	0.91921	2.1996	560.99	0.36167	90.518	0.10317	liquid
301.67	18.000	882.72	0.0011329	232.96	253.35	1.1300	0.91944	2.2185	550.91	0.39070	88.501	0.10162	liquid
303.33	18.000	874.04	0.0011441	236.47	257.06	1.1422	0.91973	2.2384	540.84	0.42133	86.518	0.10008	liquid
305.00	18.000	865.20	0.0011558	240.01	260.81	1.1546	0.92007	2.2593	530.80	0.45367	84.567	0.098545	supercritical
306.67	18.000	856.20	0.0011680	243.57	264.60	1.1669	0.92043	2.2812	520.79	0.48780	82.645	0.097019	supercritical
308.33	18.000	847.02	0.0011806	247.17	268.42	1.1794	0.92079	2.3040	510.82	0.52384	80.753	0.095502	supercritical
310.00	18.000	837.68	0.0011938	250.79	272.28	1.1919	0.92116	2.3277	500.89	0.56189	78.888	0.093992	supercritical
311.67	18.000	828.15	0.0012075	254.44	276.18	1.2044	0.92153	2.3523	491.02	0.60204	77.050	0.092491	supercritical
313.33	18.000	818.43	0.0012219	258.12	280.12	1.2170	0.92192	2.3778	481.22	0.64441	75.237	0.090998	supercritical
315.00	18.000	808.52	0.0012368	261.84	284.10	1.2297	0.92235	2.4043	471.51	0.68910	73.449	0.089515	supercritical
316.67	18.000	798.41	0.0012525	265.59	288.13	1.2425	0.92283	2.4318	461.88	0.73624	71.686	0.088042	supercritical
318.33	18.000	788.10	0.0012689	269.37	292.21	1.2553	0.92340	2.4603	452.36	0.78596	69.946	0.086579	supercritical
320.00	18.000	777.58	0.0012860	273.19	296.33	1.2682	0.92405	2.4899	442.97	0.83836	68.230	0.085127	supercritical
321.67	18.000	766.85	0.0013040	277.04	300.51	1.2812	0.92481	2.5206	433.71	0.89358	66.537	0.083688	supercritical
323.33	18.000	755.91	0.0013229	280.92	304.74	1.2943	0.92567	2.5523	424.61	0.95169	64.866	0.082262	supercritical
325.00	18.000	744.75	0.0013427	284.85	309.02	1.3075	0.92661	2.5848	415.68	1.0128	63.220	0.080849	supercritical
326.67	18.000	733.38	0.0013636	288.81	313.35	1.3209	0.92763	2.6178	406.95	1.0768	61.596	0.079452	supercritical
328.33	18.000	721.80	0.0013854	292.81	317.74	1.3343	0.92870	2.6509	398.45	1.1438	59.998	0.078070	supercritical
330.00	18.000	710.02	0.0014084	296.84	322.19	1.3478	0.92978	2.6836	390.19	1.2136	58.426	0.076704	supercritical
331.67	18.000	698.05	0.0014326	300.90	326.69	1.3614	0.93084	2.7154	382.21	1.2862	56.881	0.075356	supercritical
333.33	18.000	685.90	0.0014579	305.00	331.24	1.3751	0.93183	2.7457	374.54	1.3613	55.367	0.074028	supercritical
335.00	18.000	673.61	0.0014845	309.12	335.84	1.3888	0.93268	2.7740	367.21	1.4388	53.885	0.072720	supercritical
336.67	18.000	661.19	0.0015124	313.26	340.49	1.4026	0.93333	2.7998	360.22	1.5187	52.437	0.071434	supercritical
338.33	18.000	648.67	0.0015416	317.42	345.17	1.4165	0.93373	2.8224	353.60	1.6006	51.027	0.070172	supercritical
340.00	18.000	636.08	0.0015721	321.59	349.89	1.4304	0.93381	2.8413	347.37	1.6843	49.658	0.068933	supercritical
341.67	18.000	623.46	0.0016039	325.77	354.64	1.4444	0.93356	2.8557	341.52	1.7693	48.331	0.067720	supercritical
343.33	18.000	610.85	0.0016371	329.94	359.41	1.4583	0.93297	2.8649	336.06	1.8552	47.050	0.066531	supercritical
345.00	18.000	598.29	0.0016714	334.10	364.19	1.4722	0.93206	2.8682	331.01	1.9413	45.817	0.065368	supercritical
346.67	18.000	585.83	0.0017070	338.24	368.96	1.4860	0.93089	2.8654	326.35	2.0270	44.635	0.064232	supercritical
348.33	18.000	573.51	0.0017437	342.35	373.73	1.4997	0.92950	2.8565	322.09	2.1115	43.507	0.063124	supercritical
350.00	18.000	561.37	0.0017814	346.42	378.48	1.5133	0.92797	2.8416	318.22	2.1944	42.433	0.062044	supercritical
351.67	18.000	549.46	0.0018200	350.44	383.20	1.5268	0.92634	2.8213	314.72	2.2750	41.415	0.060994	supercritical
353.33	18.000	537.81	0.0018594	354.42	387.88	1.5401	0.92465	2.7960	311.58	2.3530	40.453	0.059976	supercritical
355.00	18.000	526.44	0.0018995	358.33	392.52	1.5532	0.92294	2.7664	308.78	2.4279	39.546	0.058990	supercritical
356.67	18.000	515.39	0.0019403	362.18	397.10	1.5660	0.92122	2.7331	306.30	2.4993	38.694	0.058036	supercritical
358.33	18.000	504.67	0.0019815	365.96	401.63	1.5787	0.91950	2.6966	304.12	2.5671	37.895	0.057116	supercritical
360.00	18.000	494.30	0.0020231	369.68	406.09	1.5911	0.91778	2.6576	302.23	2.6308	37.147	0.056229	supercritical
361.67	18.000	484.28	0.0020649	373.32	410.49	1.6033	0.91606	2.6166	300.60	2.6904	36.450	0.055376	supercritical
363.33	18.000	474.62	0.0021069	376.89	414.81	1.6152	0.91434	2.5741	299.22	2.7458	35.799	0.054556	supercritical
365.00	18.000	465.32	0.0021491	380.38	419.07	1.6269	0.91261	2.5308	298.05	2.7970	35.193	0.053771	supercritical
366.67	18.000	456.37	0.0021912	383.81	423.25	1.6383	0.91088	2.4869	297.10	2.8441	34.630	0.053019	supercritical
368.33	18.000	447.78	0.0022333	387.16	427.36	1.6495	0.90914	2.4430	296.32	2.8870	34.106	0.052300	supercritical
370.00	18.000	439.52	0.0022752	390.44	431.39	1.6605	0.90739	2.3994	295.72	2.9260	33.620	0.051614	supercritical
371.67	18.000	431.59	0.0023170	393.65	435.35	1.6711	0.90565	2.3564	295.26	2.9611	33.168	0.050960	supercritical
373.33	18.000	423.99	0.0023586	396.79	439.25	1.6816	0.90391	2.3141	294.95	2.9926	32.749	0.050338	supercritical
375.00	18.000	416.69	0.0023999	399.87	443.07	1.6918	0.90219	2.2728	294.75	3.0205	32.360	0.049746	supercritical
376.67	18.000	409.68	0.0024409	402.89	446.82	1.7018	0.90049	2.2327	294.67	3.0451	31.999	0.049184	supercritical
378.33	18.000	402.96	0.0024816	405.84	450.51	1.7116	0.89881	2.1938	294.68	3.0666	31.664	0.048651	supercritical
380.00	18.000	396.51	0.0025220	408.74	454.14	1.7211	0.89716	2.1561	294.78	3.0851	31.353	0.048145	supercritical
381.67	18.000	390.30	0.0025621	411.58	457.70	1.7305	0.89555	2.1198	294.96	3.1008	31.064	0.047666	supercritical
383.33	18.000	384.35	0.0026018	414.37	461.20	1.7396	0.89398	2.0849	295.21	3.1139	30.796	0.047212	supercritical
385.00	18.000	378.62	0.0026412	417.11	464.65	1.7486	0.89245	2.0513	295.52	3.1245	30.547	0.046783	supercritical
