Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	28.000	950.51	0.0010521	215.63	245.08	1.0663	0.91632	1.9479	668.64	0.11509	106.37	0.11568	liquid
301.67	28.000	944.08	0.0010592	218.68	248.34	1.0771	0.91573	1.9534	660.70	0.12840	104.45	0.11432	liquid
303.33	28.000	937.60	0.0010665	221.73	251.60	1.0879	0.91517	1.9590	652.82	0.14214	102.58	0.11298	liquid
305.00	28.000	931.08	0.0010740	224.79	254.87	1.0987	0.91464	1.9647	645.00	0.15631	100.75	0.11165	supercritical
306.67	28.000	924.52	0.0010816	227.86	258.14	1.1094	0.91413	1.9706	637.24	0.17094	98.954	0.11033	supercritical
308.33	28.000	917.91	0.0010894	230.93	261.43	1.1201	0.91363	1.9765	629.54	0.18602	97.200	0.10902	supercritical
310.00	28.000	911.25	0.0010974	234.01	264.73	1.1308	0.91313	1.9825	621.91	0.20157	95.482	0.10773	supercritical
311.67	28.000	904.54	0.0011055	237.09	268.04	1.1414	0.91264	1.9886	614.34	0.21761	93.801	0.10645	supercritical
313.33	28.000	897.79	0.0011139	240.17	271.36	1.1520	0.91214	1.9947	606.84	0.23414	92.156	0.10518	supercritical
315.00	28.000	890.98	0.0011224	243.27	274.69	1.1626	0.91163	2.0009	599.41	0.25117	90.544	0.10393	supercritical
316.67	28.000	884.14	0.0011310	246.36	278.03	1.1732	0.91113	2.0071	592.05	0.26870	88.965	0.10269	supercritical
318.33	28.000	877.24	0.0011399	249.46	281.38	1.1838	0.91064	2.0132	584.76	0.28675	87.419	0.10146	supercritical
320.00	28.000	870.30	0.0011490	252.57	284.74	1.1943	0.91016	2.0194	577.54	0.30532	85.904	0.10025	supercritical
321.67	28.000	863.31	0.0011583	255.68	288.11	1.2048	0.90970	2.0256	570.40	0.32442	84.420	0.099047	supercritical
323.33	28.000	856.28	0.0011678	258.79	291.49	1.2153	0.90928	2.0317	563.33	0.34405	82.965	0.097862	supercritical
325.00	28.000	849.20	0.0011776	261.91	294.89	1.2257	0.90890	2.0379	556.35	0.36422	81.540	0.096691	supercritical
326.67	28.000	842.08	0.0011875	265.04	298.29	1.2362	0.90856	2.0440	549.45	0.38494	80.143	0.095534	supercritical
328.33	28.000	834.91	0.0011977	268.16	301.70	1.2466	0.90827	2.0502	542.65	0.40621	78.774	0.094392	supercritical
330.00	28.000	827.71	0.0012082	271.29	305.12	1.2570	0.90802	2.0564	535.93	0.42804	77.431	0.093264	supercritical
331.67	28.000	820.46	0.0012188	274.43	308.55	1.2674	0.90782	2.0625	529.32	0.45044	76.116	0.092152	supercritical
333.33	28.000	813.18	0.0012297	277.56	312.00	1.2777	0.90765	2.0686	522.80	0.47341	74.827	0.091054	supercritical
335.00	28.000	805.85	0.0012409	280.70	315.45	1.2880	0.90751	2.0747	516.40	0.49695	73.563	0.089972	supercritical
336.67	28.000	798.50	0.0012524	283.85	318.91	1.2984	0.90740	2.0806	510.10	0.52106	72.324	0.088905	supercritical
338.33	28.000	791.11	0.0012641	286.99	322.38	1.3086	0.90730	2.0865	503.92	0.54573	71.110	0.087854	supercritical
340.00	28.000	783.68	0.0012760	290.14	325.87	1.3189	0.90721	2.0922	497.86	0.57094	69.920	0.086819	supercritical
341.67	28.000	776.23	0.0012883	293.29	329.36	1.3292	0.90712	2.0977	491.93	0.59669	68.754	0.085799	supercritical
343.33	28.000	768.75	0.0013008	296.44	332.86	1.3394	0.90702	2.1029	486.12	0.62293	67.612	0.084794	supercritical
345.00	28.000	761.25	0.0013136	299.59	336.37	1.3496	0.90692	2.1078	480.44	0.64966	66.493	0.083806	supercritical
346.67	28.000	753.73	0.0013267	302.74	339.88	1.3597	0.90681	2.1123	474.90	0.67682	65.398	0.082834	supercritical
348.33	28.000	746.20	0.0013401	305.88	343.41	1.3699	0.90669	2.1164	469.50	0.70438	64.325	0.081878	supercritical
350.00	28.000	738.65	0.0013538	309.03	346.94	1.3800	0.90656	2.1200	464.24	0.73230	63.276	0.080938	supercritical
351.67	28.000	731.10	0.0013678	312.18	350.47	1.3901	0.90641	2.1231	459.12	0.76051	62.250	0.080015	supercritical
353.33	28.000	723.54	0.0013821	315.32	354.02	1.4001	0.90625	2.1255	454.15	0.78898	61.247	0.079108	supercritical
355.00	28.000	715.99	0.0013967	318.45	357.56	1.4101	0.90608	2.1274	449.34	0.81763	60.267	0.078218	supercritical
356.67	28.000	708.45	0.0014115	321.58	361.11	1.4201	0.90589	2.1285	444.67	0.84643	59.310	0.077345	supercritical
358.33	28.000	700.92	0.0014267	324.71	364.65	1.4300	0.90570	2.1290	440.15	0.87532	58.376	0.076488	supercritical
360.00	28.000	693.41	0.0014421	327.82	368.20	1.4399	0.90550	2.1287	435.79	0.90423	57.465	0.075649	supercritical
361.67	28.000	685.93	0.0014579	330.93	371.75	1.4497	0.90530	2.1277	431.59	0.93313	56.577	0.074826	supercritical
363.33	28.000	678.48	0.0014739	334.03	375.29	1.4595	0.90509	2.1260	427.53	0.96195	55.712	0.074021	supercritical
365.00	28.000	671.07	0.0014902	337.11	378.84	1.4692	0.90487	2.1235	423.63	0.99066	54.870	0.073233	supercritical
366.67	28.000	663.70	0.0015067	340.19	382.37	1.4789	0.90466	2.1203	419.88	1.0192	54.051	0.072461	supercritical
368.33	28.000	656.39	0.0015235	343.25	385.90	1.4885	0.90443	2.1165	416.28	1.0476	53.254	0.071707	supercritical
370.00	28.000	649.12	0.0015405	346.29	389.43	1.4981	0.90421	2.1119	412.83	1.0757	52.481	0.070971	supercritical
371.67	28.000	641.92	0.0015578	349.32	392.94	1.5075	0.90398	2.1067	409.53	1.1035	51.730	0.070251	supercritical
373.33	28.000	634.78	0.0015754	352.34	396.45	1.5169	0.90374	2.1008	406.37	1.1310	51.001	0.069548	supercritical
375.00	28.000	627.70	0.0015931	355.34	399.94	1.5263	0.90351	2.0944	403.35	1.1581	50.294	0.068861	supercritical
376.67	28.000	620.70	0.0016111	358.32	403.43	1.5356	0.90326	2.0873	400.47	1.1848	49.610	0.068192	supercritical
378.33	28.000	613.78	0.0016293	361.28	406.90	1.5448	0.90301	2.0797	397.73	1.2111	48.946	0.067538	supercritical
380.00	28.000	606.94	0.0016476	364.23	410.36	1.5539	0.90276	2.0716	395.12	1.2368	48.304	0.066901	supercritical
381.67	28.000	600.18	0.0016662	367.15	413.81	1.5629	0.90250	2.0631	392.64	1.2621	47.683	0.066280	supercritical
383.33	28.000	593.50	0.0016849	370.06	417.24	1.5719	0.90223	2.0540	390.30	1.2868	47.082	0.065675	supercritical
385.00	28.000	586.92	0.0017038	372.95	420.65	1.5808	0.90196	2.0445	388.07	1.3110	46.502	0.065085	supercritical
386.67	28.000	580.43	0.0017229	375.81	424.05	1.5896	0.90168	2.0347	385.97	1.3345	45.941	0.064510	supercritical
388.33	28.000	574.03	0.0017421	378.66	427.44	1.5983	0.90139	2.0245	383.99	1.3574	45.400	0.063951	supercritical
390.00	28.000	567.73	0.0017614	381.48	430.80	1.6070	0.90110	2.0139	382.12	1.3796	44.877	0.063406	supercritical
391.67	28.000	561.53	0.0017809	384.28	434.15	1.6155	0.90079	2.0030	380.36	1.4011	44.373	0.062876	supercritical
393.33	28.000	555.42	0.0018004	387.07	437.48	1.6240	0.90048	1.9919	378.71	1.4219	43.887	0.062361	supercritical
395.00	28.000	549.41	0.0018201	389.82	440.79	1.6324	0.90017	1.9805	377.16	1.4420	43.419	0.061859	supercritical
396.67	28.000	543.51	0.0018399	392.56	444.08	1.6407	0.89985	1.9688	375.71	1.4613	42.968	0.061371	supercritical
398.33	28.000	537.70	0.0018598	395.28	447.35	1.6490	0.89952	1.9570	374.36	1.4798	42.533	0.060897	supercritical
400.00	28.000	532.00	0.0018797	397.97	450.60	1.6571	0.89919	1.9450	373.10	1.4976	42.115	0.060436	supercritical
401.67	28.000	526.40	0.0018997	400.64	453.83	1.6652	0.89885	1.9329	371.93	1.5145	41.712	0.059988	supercritical
