Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	13.000	844.82	0.0011837	239.95	255.34	1.1558	0.92969	2.5175	482.56	0.63642	80.171	0.094810	liquid
301.67	13.000	833.59	0.0011996	243.98	259.57	1.1699	0.93146	2.5671	469.77	0.69270	77.922	0.093023	liquid
303.33	13.000	821.95	0.0012166	248.08	263.89	1.1842	0.93339	2.6213	456.91	0.75395	75.683	0.091231	liquid
305.00	13.000	809.87	0.0012348	252.26	268.31	1.1987	0.93544	2.6807	444.00	0.82069	73.451	0.089434	supercritical
306.67	13.000	797.31	0.0012542	256.53	272.83	1.2135	0.93762	2.7457	431.04	0.89358	71.224	0.087630	supercritical
308.33	13.000	784.23	0.0012751	260.89	277.47	1.2285	0.93992	2.8171	418.08	0.97333	68.998	0.085821	supercritical
310.00	13.000	770.59	0.0012977	265.36	282.23	1.2439	0.94237	2.8959	405.12	1.0608	66.771	0.084007	supercritical
311.67	13.000	756.31	0.0013222	269.94	287.13	1.2597	0.94499	2.9834	392.21	1.1571	64.539	0.082190	supercritical
313.33	13.000	741.36	0.0013489	274.64	292.18	1.2759	0.94779	3.0811	379.34	1.2634	62.300	0.080373	supercritical
315.00	13.000	725.64	0.0013781	279.49	297.40	1.2925	0.95077	3.1899	366.57	1.3810	60.050	0.078559	supercritical
316.67	13.000	709.11	0.0014102	284.49	302.82	1.3096	0.95392	3.3102	353.91	1.5110	57.787	0.076749	supercritical
318.33	13.000	691.69	0.0014457	289.65	308.44	1.3274	0.95727	3.4409	341.43	1.6543	55.513	0.074947	supercritical
320.00	13.000	673.34	0.0014851	294.99	314.29	1.3457	0.96088	3.5795	329.24	1.8116	53.230	0.073156	supercritical
321.67	13.000	654.05	0.0015289	300.50	320.38	1.3646	0.96488	3.7230	317.45	1.9828	50.948	0.071383	supercritical
323.33	13.000	633.85	0.0015777	306.19	326.70	1.3843	0.96934	3.8681	306.22	2.1680	48.679	0.069633	supercritical
325.00	13.000	612.82	0.0016318	312.06	333.27	1.4045	0.97418	4.0102	295.72	2.3663	46.439	0.067912	supercritical
326.67	13.000	591.08	0.0016918	318.07	340.06	1.4254	0.97901	4.1393	286.11	2.5758	44.250	0.066215	supercritical
328.33	13.000	568.87	0.0017579	324.20	347.05	1.4467	0.98328	4.2394	277.59	2.7924	42.137	0.064526	supercritical
