Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	26.000	940.64	0.0010631	217.96	245.60	1.0751	0.91621	1.9818	650.07	0.14976	103.49	0.11344	liquid
301.67	26.000	933.93	0.0010707	221.07	248.91	1.0861	0.91570	1.9886	641.84	0.16486	101.57	0.11206	liquid
303.33	26.000	927.16	0.0010786	224.19	252.23	1.0971	0.91523	1.9955	633.68	0.18048	99.689	0.11069	liquid
305.00	26.000	920.34	0.0010866	227.31	255.56	1.1080	0.91479	2.0027	625.57	0.19664	97.849	0.10934	supercritical
306.67	26.000	913.46	0.0010947	230.44	258.91	1.1190	0.91437	2.0100	617.52	0.21336	96.048	0.10799	supercritical
308.33	26.000	906.52	0.0011031	233.58	262.26	1.1299	0.91395	2.0175	609.53	0.23067	94.284	0.10666	supercritical
310.00	26.000	899.52	0.0011117	236.73	265.63	1.1408	0.91354	2.0251	601.60	0.24856	92.557	0.10534	supercritical
311.67	26.000	892.47	0.0011205	239.88	269.01	1.1517	0.91311	2.0328	593.74	0.26707	90.865	0.10403	supercritical
313.33	26.000	885.35	0.0011295	243.04	272.41	1.1625	0.91269	2.0406	585.95	0.28620	89.207	0.10274	supercritical
315.00	26.000	878.18	0.0011387	246.21	275.82	1.1734	0.91225	2.0485	578.23	0.30596	87.583	0.10146	supercritical
316.67	26.000	870.95	0.0011482	249.38	279.24	1.1842	0.91182	2.0564	570.58	0.32637	85.991	0.10019	supercritical
318.33	26.000	863.65	0.0011579	252.57	282.67	1.1950	0.91140	2.0643	563.00	0.34744	84.430	0.098931	supercritical
320.00	26.000	856.30	0.0011678	255.76	286.12	1.2058	0.91100	2.0723	555.50	0.36918	82.900	0.097690	supercritical
321.67	26.000	848.89	0.0011780	258.95	289.58	1.2166	0.91062	2.0803	548.08	0.39160	81.400	0.096462	supercritical
323.33	26.000	841.42	0.0011885	262.15	293.05	1.2274	0.91029	2.0883	540.74	0.41471	79.929	0.095248	supercritical
325.00	26.000	833.90	0.0011992	265.36	296.54	1.2381	0.91000	2.0964	533.50	0.43853	78.487	0.094049	supercritical
326.67	26.000	826.31	0.0012102	268.58	300.04	1.2489	0.90976	2.1045	526.34	0.46306	77.072	0.092864	supercritical
328.33	26.000	818.67	0.0012215	271.80	303.55	1.2596	0.90957	2.1127	519.29	0.48832	75.685	0.091694	supercritical
330.00	26.000	810.98	0.0012331	275.02	307.08	1.2703	0.90943	2.1209	512.34	0.51432	74.325	0.090539	supercritical
