Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	25.000	935.42	0.0010690	219.19	245.92	1.0797	0.91623	2.0008	640.35	0.16903	102.01	0.11229	liquid
301.67	25.000	928.55	0.0010769	222.34	249.26	1.0908	0.91578	2.0084	631.97	0.18518	100.08	0.11089	liquid
303.33	25.000	921.62	0.0010850	225.49	252.62	1.1019	0.91536	2.0162	623.64	0.20191	98.197	0.10951	liquid
305.00	25.000	914.62	0.0010933	228.65	255.98	1.1130	0.91497	2.0242	615.36	0.21925	96.352	0.10814	supercritical
306.67	25.000	907.57	0.0011018	231.82	259.36	1.1240	0.91460	2.0325	607.15	0.23722	94.544	0.10678	supercritical
308.33	25.000	900.44	0.0011106	234.99	262.76	1.1351	0.91424	2.0409	598.99	0.25585	92.774	0.10543	supercritical
310.00	25.000	893.25	0.0011195	238.18	266.17	1.1461	0.91387	2.0495	590.90	0.27515	91.040	0.10409	supercritical
311.67	25.000	886.00	0.0011287	241.37	269.59	1.1571	0.91350	2.0582	582.88	0.29513	89.340	0.10277	supercritical
313.33	25.000	878.68	0.0011381	244.57	273.03	1.1681	0.91312	2.0671	574.92	0.31583	87.674	0.10146	supercritical
315.00	25.000	871.29	0.0011477	247.79	276.48	1.1791	0.91273	2.0760	567.03	0.33725	86.040	0.10016	supercritical
316.67	25.000	863.83	0.0011576	251.01	279.95	1.1901	0.91235	2.0850	559.21	0.35941	84.439	0.098876	supercritical
318.33	25.000	856.31	0.0011678	254.23	283.43	1.2011	0.91197	2.0940	551.47	0.38232	82.868	0.097604	supercritical
320.00	25.000	848.72	0.0011782	257.47	286.93	1.2120	0.91162	2.1032	543.81	0.40599	81.328	0.096346	supercritical
321.67	25.000	841.06	0.0011890	260.72	290.44	1.2230	0.91130	2.1123	536.23	0.43045	79.817	0.095102	supercritical
323.33	25.000	833.34	0.0012000	263.97	293.97	1.2339	0.91103	2.1216	528.74	0.45570	78.335	0.093872	supercritical
325.00	25.000	825.55	0.0012113	267.23	297.51	1.2448	0.91081	2.1309	521.34	0.48177	76.881	0.092656	supercritical
326.67	25.000	817.70	0.0012229	270.50	301.07	1.2558	0.91063	2.1403	514.04	0.50866	75.455	0.091455	supercritical
328.33	25.000	809.78	0.0012349	273.77	304.65	1.2667	0.91051	2.1497	506.85	0.53639	74.056	0.090269	supercritical
330.00	25.000	801.80	0.0012472	277.06	308.24	1.2776	0.91044	2.1592	499.77	0.56498	72.684	0.089098	supercritical
331.67	25.000	793.76	0.0012598	280.35	311.84	1.2885	0.91041	2.1688	492.81	0.59442	71.337	0.087942	supercritical
333.33	25.000	785.66	0.0012728	283.65	315.47	1.2994	0.91040	2.1782	485.98	0.62472	70.016	0.086802	supercritical
335.00	25.000	777.50	0.0012862	286.95	319.10	1.3103	0.91042	2.1876	479.28	0.65587	68.721	0.085677	supercritical
336.67	25.000	769.29	0.0012999	290.26	322.76	1.3211	0.91044	2.1968	472.72	0.68785	67.451	0.084569	supercritical
338.33	25.000	761.03	0.0013140	293.58	326.43	1.3320	0.91045	2.2057	466.31	0.72064	66.206	0.083477	supercritical
340.00	25.000	752.73	0.0013285	296.90	330.11	1.3429	0.91046	2.2143	460.05	0.75420	64.986	0.082401	supercritical
341.67	25.000	744.38	0.0013434	300.22	333.81	1.3537	0.91044	2.2225	453.94	0.78849	63.791	0.081342	supercritical
343.33	25.000	735.99	0.0013587	303.55	337.52	1.3646	0.91039	2.2300	448.00	0.82345	62.621	0.080300	supercritical
345.00	25.000	727.58	0.0013744	306.88	341.24	1.3754	0.91032	2.2369	442.23	0.85901	61.475	0.079276	supercritical
346.67	25.000	719.14	0.0013906	310.21	344.97	1.3862	0.91021	2.2430	436.63	0.89510	60.356	0.078268	supercritical
348.33	25.000	710.68	0.0014071	313.54	348.72	1.3969	0.91006	2.2482	431.21	0.93165	59.261	0.077279	supercritical
350.00	25.000	702.22	0.0014241	316.87	352.47	1.4077	0.90989	2.2525	425.97	0.96858	58.193	0.076308	supercritical
351.67	25.000	693.75	0.0014414	320.19	356.22	1.4184	0.90968	2.2558	420.91	1.0058	57.150	0.075355	supercritical
353.33	25.000	685.29	0.0014592	323.51	359.99	1.4291	0.90945	2.2580	416.04	1.0433	56.134	0.074420	supercritical
355.00	25.000	676.85	0.0014774	326.81	363.75	1.4397	0.90918	2.2591	411.36	1.0808	55.144	0.073505	supercritical
356.67	25.000	668.44	0.0014960	330.12	367.52	1.4503	0.90890	2.2590	406.85	1.1185	54.181	0.072608	supercritical
