Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	9.0000	780.97	0.0012805	253.66	265.18	1.2049	0.96396	3.3172	383.41	1.1832	68.222	0.085479	liquid
301.67	9.0000	762.48	0.0013115	259.08	270.89	1.2239	0.97279	3.5400	363.96	1.3384	65.213	0.083226	liquid
303.33	9.0000	741.93	0.0013478	264.89	277.02	1.2442	0.98395	3.8333	343.48	1.5268	62.057	0.080954	liquid
305.00	9.0000	718.62	0.0013915	271.20	283.73	1.2662	0.99855	4.2417	321.67	1.7625	58.694	0.078705	supercritical
306.67	9.0000	691.37	0.0014464	278.25	291.27	1.2909	1.0184	4.8510	298.18	2.0678	55.023	0.076576	supercritical
308.33	9.0000	658.07	0.0015196	286.42	300.10	1.3196	1.0459	5.8310	272.76	2.4795	50.880	0.074782	supercritical
310.00	9.0000	614.87	0.0016264	296.46	311.10	1.3552	1.0841	7.5290	245.74	3.0582	46.002	0.073714	supercritical
311.67	9.0000	555.12	0.0018014	309.74	325.95	1.4030	1.1340	10.590	219.80	3.8898	40.061	0.073770	supercritical
313.33	9.0000	476.75	0.0020975	327.26	346.13	1.4675	1.1599	12.803	204.08	4.9303	33.511	0.071585	supercritical
315.00	9.0000	408.37	0.0024487	343.89	365.93	1.5305	1.1250	10.383	202.46	5.8075	28.831	0.063772	supercritical
316.67	9.0000	364.14	0.0027462	355.95	380.67	1.5772	1.0782	7.5374	205.77	6.3312	26.295	0.055900	supercritical
318.33	9.0000	334.76	0.0029872	364.83	391.71	1.6120	1.0415	5.8623	209.37	6.6436	24.827	0.050404	supercritical
320.00	9.0000	313.45	0.0031903	371.85	400.56	1.6397	1.0132	4.8305	212.70	6.8329	23.877	0.046495	supercritical
321.67	9.0000	296.98	0.0033673	377.70	408.00	1.6629	0.99040	4.1451	215.79	6.9459	23.213	0.043598	supercritical
323.33	9.0000	283.65	0.0035254	382.76	414.49	1.6830	0.97145	3.6610	218.66	7.0096	22.724	0.041374	supercritical
325.00	9.0000	272.52	0.0036694	387.25	420.28	1.7009	0.95529	3.3024	221.37	7.0399	22.351	0.039619	supercritical
326.67	9.0000	262.99	0.0038024	391.32	425.54	1.7171	0.94130	3.0266	223.92	7.0469	22.059	0.038203	supercritical
328.33	9.0000	254.68	0.0039265	395.06	430.40	1.7319	0.92905	2.8080	226.36	7.0371	21.827	0.037039	supercritical
330.00	9.0000	247.32	0.0040433	398.53	434.92	1.7456	0.91826	2.6305	228.68	7.0146	21.640	0.036070	supercritical
331.67	9.0000	240.73	0.0041540	401.80	439.18	1.7585	0.90870	2.4837	230.90	6.9827	21.488	0.035253	supercritical
333.33	9.0000	234.76	0.0042596	404.88	443.22	1.7706	0.90020	2.3601	233.03	6.9435	21.364	0.034558	supercritical
335.00	9.0000	229.32	0.0043607	407.81	447.06	1.7821	0.89263	2.2548	235.08	6.8985	21.263	0.033962	supercritical
